GCD Test
Bias: 5000.000000
CV_N4789_21_LL_DIODEQUARTER_GR_Irradiated_Annealed_60C_40min
Date/Time: 5/7/2022 6:03:47 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 40 Minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.029E-11	1.692E-12	6.836E+6	3.550E+6	    0.0026	   14.9291	   10.0617	  -16.3352	
  -20.0000	9.068E-12	1.813E-12	1.011E+7	4.317E+6	   -0.0000	   14.9027	   10.0474	  -16.3725	
  -30.0000	7.959E-12	1.853E-12	1.275E+7	4.950E+6	   -0.0102	   14.9027	   10.0459	  -16.3744	
  -40.0000	7.151E-12	1.827E-12	1.493E+7	5.519E+6	   -0.0230	   14.9077	   10.0209	  -16.4002	
  -50.0000	6.517E-12	1.781E-12	1.686E+7	6.053E+6	   -0.0281	   14.9009	   10.0234	  -16.4024	
  -60.0000	6.011E-12	1.731E-12	1.854E+7	6.555E+6	   -0.0281	   14.9117	   10.0215	  -16.3964	
  -70.0000	5.598E-12	1.678E-12	2.010E+7	7.042E+6	   -0.0256	   14.8837	   10.0174	  -16.4228	
  -80.0000	5.255E-12	1.625E-12	2.153E+7	7.509E+6	   -0.0281	   14.8831	   10.0038	  -16.4394	
  -90.0000	4.960E-12	1.579E-12	2.281E+7	7.939E+6	   -0.0256	   14.8801	   10.0066	  -16.4384	
 -100.0000	4.707E-12	1.528E-12	2.400E+7	8.385E+6	   -0.0128	   14.8574	   10.0161	  -16.4445	
 -110.0000	4.378E-12	1.460E-12	2.462E+7	8.865E+6	   -0.0154	   14.8598	   10.0044	  -16.4566	
 -120.0000	4.222E-12	1.437E-12	2.630E+7	9.206E+6	   -0.0230	   14.8674	   10.0117	  -16.4421	
 -130.0000	4.046E-12	1.394E-12	2.733E+7	9.588E+6	   -0.0230	   14.8543	   10.0133	  -16.4503	
 -140.0000	3.879E-12	1.350E-12	2.834E+7	9.990E+6	   -0.0230	   14.8723	   10.0076	  -16.4432	
 -150.0000	3.728E-12	1.315E-12	2.929E+7	1.035E+7	   -0.0205	   14.8621	   10.0139	  -16.4435	
 -160.0000	3.589E-12	1.271E-12	3.025E+7	1.077E+7	   -0.0205	   14.8474	   10.0152	  -16.4533	
 -170.0000	3.454E-12	1.232E-12	3.104E+7	1.114E+7	   -0.0230	   14.8213	   10.0032	  -16.4877	
 -180.0000	3.326E-12	1.191E-12	3.198E+7	1.156E+7	    0.0102	   14.8290	    9.9930	  -16.4939	
 -190.0000	3.190E-12	1.145E-12	3.290E+7	1.203E+7	    0.0077	   14.8095	    9.9956	  -16.5058	
 -200.0000	3.073E-12	1.104E-12	3.392E+7	1.249E+7	    0.0026	   14.8095	    9.9994	  -16.5012	
 -220.0000	2.827E-12	1.011E-12	3.609E+7	1.364E+7	   -0.0026	   14.7928	    9.9883	  -16.5273	
 -240.0000	2.582E-12	9.210E-13	3.868E+7	1.508E+7	   -0.0051	   14.8046	   10.0063	  -16.4967	
 -260.0000	2.321E-12	8.312E-13	4.236E+7	1.716E+7	    0.0026	   14.8104	   10.0057	  -16.4930	
 -280.0000	2.053E-12	7.529E-13	4.667E+7	2.003E+7	    0.0026	   14.7705	    9.9994	  -16.5313	
 -300.0000	1.796E-12	6.932E-13	5.162E+7	2.361E+7	    0.0051	   14.7822	   10.0022	  -16.5189	
 -320.0000	1.560E-12	6.513E-13	5.762E+7	2.775E+7	    0.0026	   14.7430	   10.0022	  -16.5490	
 -340.0000	1.371E-12	6.234E-13	6.362E+7	3.217E+7	    0.0128	   14.7430	    9.9937	  -16.5592	
 -360.0000	1.228E-12	6.057E-13	6.989E+7	3.614E+7	    0.0128	   14.7071	    9.9981	  -16.5815	
 -380.0000	1.120E-12	5.939E-13	7.503E+7	3.973E+7	    0.0077	   14.7319	    9.9845	  -16.5786	
 -400.0000	1.037E-12	5.862E-13	8.038E+7	4.275E+7	    0.0051	   14.7338	    9.9892	  -16.5715	
 -440.0000	9.296E-13	5.759E-13	8.815E+7	4.746E+7	    0.0077	   14.7574	    9.9810	  -16.5632	
 -480.0000	8.576E-13	5.692E-13	9.432E+7	5.090E+7	    0.0026	   14.7550	    9.9978	  -16.5450	
 -520.0000	8.106E-13	5.641E-13	9.746E+7	5.321E+7	    0.0026	   14.7442	    9.9915	  -16.5609	
 -560.0000	7.682E-13	5.609E-13	9.953E+7	5.471E+7	   -0.0000	   14.7497	   10.0057	  -16.5397	
 -600.0000	7.378E-13	5.570E-13	1.002E+8	5.567E+7	    0.0026	   14.7275	   10.0038	  -16.5590	
 -640.0000	7.105E-13	5.544E-13	9.929E+7	5.620E+7	    0.0026	   14.7377	   10.0006	  -16.5549	
 -680.0000	6.885E-13	5.517E-13	9.739E+7	5.608E+7	    0.0026	   14.7383	   10.0019	  -16.5530	
 -720.0000	6.635E-13	5.497E-13	9.564E+7	5.584E+7	   -0.0000	   14.6966	   10.0000	  -16.5873	
 -760.0000	6.462E-13	5.476E-13	9.285E+7	5.537E+7	    0.0179	   14.6888	   10.0066	  -16.5853	
 -800.0000	6.173E-13	5.450E-13	8.952E+7	5.458E+7	    0.0256	   14.6651	   10.0016	  -16.6096	
 -840.0000	5.966E-13	5.427E-13	8.571E+7	5.382E+7	    0.0256	   14.6789	   10.0133	  -16.5851	
 -880.0000	5.728E-13	5.406E-13	8.241E+7	5.252E+7	    0.0077	   14.6816	    9.9975	  -16.6018	
 -920.0000	5.577E-13	5.376E-13	7.790E+7	5.105E+7	    0.0026	   14.6776	   10.0057	  -16.5951	
 -960.0000	5.282E-13	5.354E-13	7.295E+7	4.928E+7	   -0.0051	   14.6810	   10.0168	  -16.5793	
-1000.0000	5.025E-13	5.320E-13	6.750E+7	4.716E+7	   -0.0000	   14.6642	   10.0145	  -16.5949	
