GCD Test
Bias: 5000.000000
CV_N4789_21_LL_DIODEQUARTER_GR_Irradiated_Annealed_60C_70min
Date/Time: 5/23/2022 10:39:06 AM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 70 Minutes
Environment: 0C
Tester: Catherine Tiley

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.021E-11	1.739E-12	7.138E+6	3.655E+6	   -0.0051	   14.8208	    9.8472	  -16.6752	
  -20.0000	8.923E-12	1.888E-12	1.065E+7	4.443E+6	   -0.0051	   14.8092	    9.8362	  -16.6974	
  -30.0000	7.859E-12	1.898E-12	1.344E+7	5.095E+6	   -0.0026	   14.7898	    9.8485	  -16.6974	
  -40.0000	7.082E-12	1.867E-12	1.568E+7	5.670E+6	   -0.0077	   14.7781	    9.8390	  -16.7179	
  -50.0000	6.480E-12	1.820E-12	1.763E+7	6.205E+6	   -0.0077	   14.8003	    9.8498	  -16.6879	
  -60.0000	6.007E-12	1.767E-12	1.934E+7	6.709E+6	   -0.0102	   14.7998	    9.8438	  -16.6955	
  -70.0000	5.601E-12	1.714E-12	2.095E+7	7.185E+6	   -0.0051	   14.7998	    9.8501	  -16.6879	
  -80.0000	5.280E-12	1.665E-12	2.235E+7	7.635E+6	    0.0051	   14.7909	    9.8393	  -16.7076	
  -90.0000	5.001E-12	1.613E-12	2.361E+7	8.080E+6	   -0.0077	   14.7843	    9.8333	  -16.7200	
 -100.0000	4.746E-12	1.568E-12	2.486E+7	8.490E+6	   -0.0051	   14.7533	    9.8409	  -16.7346	
 -110.0000	4.534E-12	1.520E-12	2.606E+7	8.915E+6	   -0.0026	   14.7551	    9.8384	  -16.7363	
 -120.0000	4.279E-12	1.475E-12	2.726E+7	9.312E+6	   -0.0128	   14.7711	    9.8365	  -16.7263	
 -130.0000	4.105E-12	1.434E-12	2.817E+7	9.692E+6	   -0.0077	   14.7671	    9.8447	  -16.7194	
 -140.0000	3.947E-12	1.394E-12	2.921E+7	1.007E+7	   -0.0026	   14.7473	    9.8457	  -16.7334	
 -150.0000	3.795E-12	1.350E-12	3.014E+7	1.048E+7	   -0.0026	   14.7224	    9.8447	  -16.7537	
 -160.0000	3.664E-12	1.308E-12	3.110E+7	1.087E+7	   -0.0102	   14.7487	    9.8299	  -16.7515	
 -170.0000	3.523E-12	1.267E-12	3.209E+7	1.126E+7	   -0.0102	   14.7547	    9.8292	  -16.7477	
 -180.0000	3.397E-12	1.227E-12	3.301E+7	1.167E+7	   -0.0102	   14.7551	    9.8393	  -16.7352	
 -190.0000	3.268E-12	1.184E-12	3.393E+7	1.212E+7	   -0.0102	   14.7406	    9.8378	  -16.7481	
 -200.0000	3.143E-12	1.141E-12	3.510E+7	1.260E+7	   -0.0102	   14.7607	    9.8403	  -16.7297	
 -220.0000	2.895E-12	1.049E-12	3.757E+7	1.377E+7	   -0.0077	   14.7497	    9.8412	  -16.7370	
 -240.0000	2.642E-12	9.571E-13	4.053E+7	1.529E+7	   -0.0102	   14.7390	    9.8466	  -16.7387	
 -260.0000	2.386E-12	8.677E-13	4.444E+7	1.744E+7	   -0.0026	   14.7354	    9.8409	  -16.7484	
 -280.0000	2.121E-12	7.907E-13	4.906E+7	2.030E+7	   -0.0026	   14.7501	    9.8491	  -16.7271	
 -300.0000	1.854E-12	7.298E-13	5.464E+7	2.407E+7	   -0.0026	   14.7120	    9.8450	  -16.7613	
 -320.0000	1.623E-12	6.875E-13	6.095E+7	2.849E+7	   -0.0026	   14.6960	    9.8400	  -16.7797	
 -340.0000	1.423E-12	6.586E-13	6.776E+7	3.316E+7	   -0.0000	   14.6800	    9.8384	  -16.7939	
 -360.0000	1.275E-12	6.407E-13	7.462E+7	3.747E+7	    0.0026	   14.7124	    9.8216	  -16.7893	
 -380.0000	1.169E-12	6.290E-13	8.046E+7	4.121E+7	    0.0077	   14.6806	    9.8289	  -16.8049	
 -400.0000	1.096E-12	6.215E-13	8.609E+7	4.442E+7	    0.0102	   14.6378	    9.8330	  -16.8327	
 -440.0000	9.769E-13	6.108E-13	9.512E+7	4.937E+7	    0.0128	   14.6469	    9.8261	  -16.8342	
 -480.0000	9.115E-13	6.048E-13	1.011E+8	5.285E+7	    0.0077	   14.6663	    9.8276	  -16.8174	
 -520.0000	8.664E-13	6.002E-13	1.052E+8	5.532E+7	    0.0051	   14.6561	    9.8292	  -16.8233	
 -560.0000	8.346E-13	5.969E-13	1.072E+8	5.687E+7	    0.0051	   14.6378	    9.8321	  -16.8339	
 -600.0000	8.039E-13	5.939E-13	1.075E+8	5.787E+7	    0.0077	   14.6714	    9.8355	  -16.8039	
 -640.0000	7.774E-13	5.917E-13	1.063E+8	5.826E+7	    0.0077	   14.6499	    9.8289	  -16.8284	
 -680.0000	7.515E-13	5.894E-13	1.049E+8	5.833E+7	    0.0051	   14.6560	    9.8384	  -16.8123	
 -720.0000	7.438E-13	5.879E-13	1.025E+8	5.810E+7	    0.0102	   14.6592	    9.8324	  -16.8171	
 -760.0000	7.184E-13	5.853E-13	9.932E+7	5.781E+7	    0.0102	   14.6513	    9.8368	  -16.8178	
 -800.0000	7.062E-13	5.842E-13	9.594E+7	5.686E+7	    0.0077	   14.6351	    9.8441	  -16.8214	
 -840.0000	6.882E-13	5.823E-13	9.230E+7	5.583E+7	    0.0077	   14.6357	    9.8498	  -16.8141	
 -880.0000	6.641E-13	5.800E-13	8.772E+7	5.469E+7	    0.0026	   14.6479	    9.8428	  -16.8136	
 -920.0000	6.548E-13	5.781E-13	8.311E+7	5.313E+7	    0.0051	   14.6292	    9.8336	  -16.8386	
 -960.0000	6.281E-13	5.764E-13	7.805E+7	5.128E+7	    0.0051	   14.5998	    9.8352	  -16.8592	
-1000.0000	6.107E-13	5.734E-13	7.235E+7	4.918E+7	    0.0102	   14.5983	    9.8466	  -16.8467	
