GCD Test
Bias: 5000.000000
IV_N4789_21_LL_DIODEQUARTER_GR_Irradiated_Annealed_60C_40min
Date/Time: 5/7/2022 5:59:16 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 40 Minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.8620E-6	-2.8620E-6	-1.706863E-6	-1.706863E-6	   -0.0358	   15.1081	   11.6398	  -14.4426	
  -20.0000	-4.0020E-6	-4.0020E-6	-2.352633E-6	-2.352633E-6	   -0.0358	   15.1081	   11.6398	  -14.4426	
  -30.0000	-4.9330E-6	-4.9330E-6	-2.815022E-6	-2.815022E-6	   -0.0281	   15.1081	   11.5076	  -14.5812	
  -40.0000	-5.7700E-6	-5.7700E-6	-3.206520E-6	-3.206520E-6	   -0.0230	   15.1081	   11.5076	  -14.5812	
  -50.0000	-6.5420E-6	-6.5420E-6	-3.548156E-6	-3.548156E-6	   -0.0230	   15.1103	   11.3491	  -14.7474	
  -60.0000	-7.2660E-6	-7.2660E-6	-3.859969E-6	-3.859969E-6	   -0.0230	   15.1103	   11.2419	  -14.8623	
  -70.0000	-7.9320E-6	-7.9320E-6	-4.135969E-6	-4.135969E-6	   -0.0128	   15.1103	   11.2419	  -14.8623	
  -80.0000	-8.5380E-6	-8.5380E-6	-4.424326E-6	-4.424326E-6	   -0.0128	   15.0895	   11.0946	  -15.0380	
  -90.0000	-9.1650E-6	-9.1650E-6	-4.692313E-6	-4.692313E-6	   -0.0077	   15.0895	   11.0225	  -15.1167	
 -100.0000	-9.7160E-6	-9.7160E-6	-4.959564E-6	-4.959564E-6	    0.0077	   15.0895	   10.9070	  -15.1167	
 -110.0000	-1.0190E-5	-1.0190E-5	-5.162559E-6	-5.162559E-6	    0.0077	   15.0968	   10.9070	  -15.2380	
 -120.0000	-1.0680E-5	-1.0680E-5	-5.404830E-6	-5.404830E-6	    0.0128	   15.0590	   10.8491	  -15.3314	
 -130.0000	-1.1180E-5	-1.1180E-5	-5.635262E-6	-5.635262E-6	    0.0128	   15.0590	   10.8491	  -15.3314	
 -140.0000	-1.1660E-5	-1.1660E-5	-5.862184E-6	-5.862184E-6	    0.0128	   15.0760	   10.7492	  -15.4297	
 -150.0000	-1.2110E-5	-1.2110E-5	-6.064477E-6	-6.064477E-6	    0.0205	   15.0760	   10.6980	  -15.4872	
 -160.0000	-1.2560E-5	-1.2560E-5	-6.282158E-6	-6.282158E-6	    0.0333	   15.0760	   10.6980	  -15.4872	
 -170.0000	-1.3000E-5	-1.3000E-5	-6.480157E-6	-6.480157E-6	    0.0333	   15.0227	   10.6104	  -15.6272	
 -180.0000	-1.3380E-5	-1.3380E-5	-6.668250E-6	-6.668250E-6	    0.0409	   15.0227	   10.5708	  -15.6721	
 -190.0000	-1.3790E-5	-1.3790E-5	-6.854430E-6	-6.854430E-6	    0.0409	   15.0227	   10.5708	  -15.6721	
 -200.0000	-1.4210E-5	-1.4210E-5	-7.033114E-6	-7.033114E-6	    0.0409	   15.0417	   10.4946	  -15.7442	
 -220.0000	-1.4960E-5	-1.4960E-5	-7.385155E-6	-7.385155E-6	    0.0384	   15.0250	   10.4715	  -15.7835	
 -240.0000	-1.5740E-5	-1.5740E-5	-7.753477E-6	-7.753477E-6	    0.0384	   15.0250	   10.4715	  -15.7835	
 -260.0000	-1.6410E-5	-1.6410E-5	-8.062258E-6	-8.062258E-6	    0.0281	   15.0269	   10.4203	  -15.8409	
 -280.0000	-1.7090E-5	-1.7090E-5	-8.342889E-6	-8.342889E-6	    0.0230	   15.0468	   10.3871	  -15.8638	
 -300.0000	-1.7700E-5	-1.7700E-5	-8.590125E-6	-8.590125E-6	    0.0230	   15.0468	   10.3871	  -15.8638	
 -320.0000	-1.8270E-5	-1.8270E-5	-8.823106E-6	-8.823106E-6	    0.0205	   15.0509	   10.3507	  -15.9027	
 -340.0000	-1.8870E-5	-1.8870E-5	-9.082047E-6	-9.082047E-6	    0.0230	   15.0454	   10.3273	  -15.9341	
 -360.0000	-1.9410E-5	-1.9410E-5	-9.303475E-6	-9.303475E-6	    0.0230	   15.0454	   10.3273	  -15.9341	
 -380.0000	-1.9910E-5	-1.9910E-5	-9.451702E-6	-9.451702E-6	    0.0179	   15.0435	   10.3004	  -15.9668	
 -400.0000	-2.0380E-5	-2.0380E-5	-9.647750E-6	-9.647750E-6	    0.0179	   15.0343	   10.2783	  -15.9996	
 -440.0000	-2.1310E-5	-2.1310E-5	-9.970398E-6	-9.970398E-6	    0.0179	   15.0343	   10.2783	  -15.9996	
 -480.0000	-2.2180E-5	-2.2180E-5	-1.027206E-5	-1.027206E-5	    0.0179	   15.0470	   10.2552	  -16.0168	
 -520.0000	-2.3100E-5	-2.3100E-5	-1.059778E-5	-1.059778E-5	    0.0179	   15.0402	   10.2340	  -16.0467	
 -560.0000	-2.3940E-5	-2.3940E-5	-1.090010E-5	-1.090010E-5	    0.0179	   15.0402	   10.2340	  -16.0467	
 -600.0000	-2.4830E-5	-2.4830E-5	-1.118173E-5	-1.118173E-5	    0.0154	   15.0048	   10.2125	  -16.0991	
 -640.0000	-2.5770E-5	-2.5770E-5	-1.154924E-5	-1.154924E-5	    0.0154	   14.9966	   10.1996	  -16.1207	
 -680.0000	-2.6800E-5	-2.6800E-5	-1.184996E-5	-1.184996E-5	    0.0154	   14.9966	   10.1996	  -16.1207	
 -720.0000	-2.7650E-5	-2.7650E-5	-1.219749E-5	-1.219749E-5	    0.0307	   15.0122	   10.1809	  -16.1306	
 -760.0000	-2.8770E-5	-2.8770E-5	-1.256773E-5	-1.256773E-5	    0.0281	   14.9795	   10.1667	  -16.1725	
 -800.0000	-2.9800E-5	-2.9800E-5	-1.297322E-5	-1.297322E-5	    0.0281	   14.9795	   10.1667	  -16.1725	
 -840.0000	-3.1040E-5	-3.1040E-5	-1.342245E-5	-1.342245E-5	    0.0230	   14.9974	   10.1410	  -16.1889	
 -880.0000	-3.2300E-5	-3.2300E-5	-1.388559E-5	-1.388559E-5	    0.0281	   15.0151	   10.1528	  -16.1614	
 -920.0000	-3.3420E-5	-3.3420E-5	-1.431937E-5	-1.431937E-5	    0.0281	   15.0151	   10.1528	  -16.1614	
 -960.0000	-3.4930E-5	-3.4930E-5	-1.488907E-5	-1.488907E-5	    0.0230	   14.9865	   10.1341	  -16.2054	
-1000.0000	-3.6360E-5	-3.6360E-5	-1.548284E-5	-1.548284E-5	    0.0154	   14.9974	   10.1306	  -16.2012	
