GCD Test
Bias: 5000.000000
CV_N4789_21_UR_DIODE_GR_Irradiated_Annealed_60C_50min
Date/Time: 5/13/2022 1:10:26 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 50 Minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.501E-10	3.807E-11	5.029E+5	2.687E+5	    0.0026	   14.2063	   10.2638	  -16.6547	
  -20.0000	1.320E-10	4.042E-11	7.752E+5	3.340E+5	    0.0077	   14.1962	   10.2713	  -16.6537	
  -30.0000	1.184E-10	4.063E-11	9.816E+5	3.837E+5	    0.0128	   14.2090	   10.2698	  -16.6457	
  -40.0000	1.087E-10	4.027E-11	1.142E+6	4.242E+5	    0.0179	   14.2090	   10.2590	  -16.6581	
  -50.0000	1.015E-10	3.967E-11	1.270E+6	4.600E+5	    0.0154	   14.1717	   10.2587	  -16.6873	
  -60.0000	9.567E-11	3.894E-11	1.379E+6	4.935E+5	    0.0230	   14.1556	   10.2682	  -16.6886	
  -70.0000	9.101E-11	3.823E-11	1.473E+6	5.242E+5	    0.0230	   14.1514	   10.2596	  -16.7018	
  -80.0000	8.694E-11	3.755E-11	1.558E+6	5.528E+5	    0.0179	   14.1482	   10.2483	  -16.7175	
  -90.0000	8.339E-11	3.689E-11	1.639E+6	5.799E+5	    0.0230	   14.1452	   10.2438	  -16.7249	
 -100.0000	8.029E-11	3.616E-11	1.711E+6	6.084E+5	    0.0230	   14.1424	   10.2429	  -16.7282	
 -110.0000	7.759E-11	3.558E-11	1.774E+6	6.332E+5	    0.0281	   14.1424	   10.2492	  -16.7208	
 -120.0000	7.525E-11	3.495E-11	1.842E+6	6.594E+5	    0.0333	   14.1199	   10.2467	  -16.7411	
 -130.0000	7.282E-11	3.432E-11	1.894E+6	6.842E+5	    0.0051	   14.1293	   10.2511	  -16.7287	
