GCD Test
Bias: 5000.000000
IV_N4789_21_UR_DIODE_GR_Irradiated_Annealed_60C_20min
Date/Time: 5/7/2022 2:54:54 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 20 Minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.7090E-5	-2.7090E-5	-2.238891E-5	-2.238891E-5	    0.0051	   13.7556	   12.6964	  -14.4494	
  -20.0000	-4.0300E-5	-4.0300E-5	-3.103276E-5	-3.103276E-5	    0.0051	   13.7724	   12.6063	  -14.5226	
  -30.0000	-4.9300E-5	-4.9300E-5	-3.688328E-5	-3.688328E-5	    0.0026	   13.7464	   12.5022	  -14.6436	
  -40.0000	-5.6350E-5	-5.6350E-5	-4.187767E-5	-4.187767E-5	    0.0026	   13.7464	   12.5022	  -14.6436	
  -50.0000	-6.2230E-5	-6.2230E-5	-4.597201E-5	-4.597201E-5	   -0.0000	   13.7464	   12.3441	  -14.7977	
  -60.0000	-6.7820E-5	-6.7820E-5	-4.995022E-5	-4.995022E-5	   -0.0026	   13.7464	   12.1850	  -14.7977	
  -70.0000	-7.2700E-5	-7.2700E-5	-5.343385E-5	-5.343385E-5	   -0.0026	   13.7524	   12.1850	  -14.9499	
  -80.0000	-7.7760E-5	-7.7760E-5	-5.702698E-5	-5.702698E-5	   -0.0026	   13.7524	   12.1850	  -14.9499	
  -90.0000	-8.2120E-5	-8.2120E-5	-6.016161E-5	-6.016161E-5	   -0.0051	   13.7572	   11.9839	  -15.1471	
 -100.0000	-8.6320E-5	-8.6320E-5	-6.319395E-5	-6.319395E-5	   -0.0026	   13.7493	   11.8960	  -15.2421	
 -110.0000	-9.0180E-5	-9.0180E-5	-6.612624E-5	-6.612624E-5	   -0.0026	   13.7493	   11.8960	  -15.2421	
 -120.0000	-9.4110E-5	-9.4110E-5	-6.898363E-5	-6.898363E-5	   -0.0051	   13.7404	   11.7685	  -15.3789	
 -130.0000	-9.8030E-5	-9.8030E-5	-7.185664E-5	-7.185664E-5	   -0.0077	   13.7590	   11.6803	  -15.4549	
 -140.0000	-1.0170E-4	-1.0170E-4	-7.485598E-5	-7.485598E-5	   -0.0077	   13.7590	   11.6803	  -15.4549	
 -150.0000	-1.0540E-4	-1.0540E-4	-7.742237E-5	-7.742237E-5	   -0.0077	   13.7408	   11.6072	  -15.5446	
 -160.0000	-1.0910E-4	-1.0910E-4	-8.034593E-5	-8.034593E-5	   -0.0051	   13.7408	   11.5218	  -15.5446	
 -170.0000	-1.1240E-4	-1.1240E-4	-8.285935E-5	-8.285935E-5	   -0.0051	   13.7516	   11.5218	  -15.6248	
 -180.0000	-1.1570E-4	-1.1570E-4	-8.551218E-5	-8.551218E-5	   -0.0077	   13.7490	   11.4693	  -15.6818	
 -190.0000	-1.1930E-4	-1.1930E-4	-8.791364E-5	-8.791364E-5	   -0.0102	   13.7490	   11.4693	  -15.6818	
 -200.0000	-1.2220E-4	-1.2220E-4	-9.022421E-5	-9.022421E-5	   -0.0102	   13.7732	   11.4083	  -15.7270	
 -220.0000	-1.2870E-4	-1.2870E-4	-9.508240E-5	-9.508240E-5	   -0.0077	   13.7732	   11.3675	  -15.7700	
 -240.0000	-1.3460E-4	-1.3460E-4	-1.000510E-4	-1.000510E-4	   -0.0077	   13.7732	   11.3675	  -15.7700	
 -260.0000	-1.4060E-4	-1.4060E-4	-1.046558E-4	-1.046558E-4	   -0.0077	   13.7714	   11.3042	  -15.8383	
 -280.0000	-1.4630E-4	-1.4630E-4	-1.090872E-4	-1.090872E-4	   -0.0077	   13.7714	   11.2846	  -15.8591	
 -300.0000	-1.5150E-4	-1.5150E-4	-1.128463E-4	-1.128463E-4	   -0.0077	   13.7714	   11.2846	  -15.8591	
 -320.0000	-1.5700E-4	-1.5700E-4	-1.169553E-4	-1.169553E-4	   -0.0077	   13.7631	   11.2283	  -15.9254	
 -340.0000	-1.6140E-4	-1.6140E-4	-1.206449E-4	-1.206449E-4	   -0.0102	   13.7733	   11.2046	  -15.9428	
 -360.0000	-1.6610E-4	-1.6610E-4	-1.236079E-4	-1.236079E-4	   -0.0102	   13.7733	   11.2046	  -15.9428	
 -380.0000	-1.7070E-4	-1.7070E-4	-1.271554E-4	-1.271554E-4	   -0.0051	   13.7871	   11.1654	  -15.9741	
 -400.0000	-1.7420E-4	-1.7420E-4	-1.300337E-4	-1.300337E-4	   -0.0077	   13.7768	   11.1395	  -16.0100	
 -440.0000	-1.8190E-4	-1.8190E-4	-1.356644E-4	-1.356644E-4	   -0.0077	   13.7768	   11.1395	  -16.0100	
 -480.0000	-1.8910E-4	-1.8910E-4	-1.410266E-4	-1.410266E-4	    0.0051	   13.7742	   11.0889	  -16.0665	
 -520.0000	-1.9660E-4	-1.9660E-4	-1.464987E-4	-1.464987E-4	   -0.0000	   13.7765	   11.0952	  -16.0579	
 -560.0000	-2.0470E-4	-2.0470E-4	-1.527502E-4	-1.527502E-4	   -0.0000	   13.7765	   11.0952	  -16.0579	
 -600.0000	-2.1230E-4	-2.1230E-4	-1.580603E-4	-1.580603E-4	   -0.0026	   13.7772	   11.0579	  -16.0976	
 -640.0000	-2.2130E-4	-2.2130E-4	-1.651653E-4	-1.651653E-4	   -0.0051	   13.7659	   11.0468	  -16.1184	
 -680.0000	-2.3050E-4	-2.3050E-4	-1.721178E-4	-1.721178E-4	   -0.0051	   13.7659	   11.0468	  -16.1184	
 -720.0000	-2.4070E-4	-2.4070E-4	-1.803203E-4	-1.803203E-4	   -0.0026	   13.7588	   11.0114	  -16.1623	
 -760.0000	-2.5150E-4	-2.5150E-4	-1.886405E-4	-1.886405E-4	   -0.0026	   13.7588	   10.9953	  -16.1799	
 -800.0000	-2.6440E-4	-2.6440E-4	-1.982602E-4	-1.982602E-4	   -0.0026	   13.7622	   10.9633	  -16.2120	
 -840.0000	-2.7750E-4	-2.7750E-4	-2.080499E-4	-2.080499E-4	   -0.0026	   13.7622	   10.9633	  -16.2120	
 -880.0000	-2.9400E-4	-2.9400E-4	-2.214294E-4	-2.214294E-4	    0.0026	   13.7451	   10.9570	  -16.2322	
 -920.0000	-3.1350E-4	-3.1350E-4	-2.369249E-4	-2.369249E-4	    0.0026	   13.7507	   10.9402	  -16.2461	
 -960.0000	-3.3480E-4	-3.3480E-4	-2.534411E-4	-2.534411E-4	    0.0026	   13.7507	   10.9402	  -16.2461	
-1000.0000	-3.6100E-4	-3.6100E-4	-2.750588E-4	-2.750588E-4	    0.0026	   13.7355	   10.9288	  -16.2703	
