GCD Test
Bias: 5000.000000
IV_N4789_21_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_10min
Date/Time: 5/5/2022 4:05:43 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 10 Minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.3000E-6	-3.3000E-6	-1.671170E-6	-1.671170E-6	   -0.0102	   13.1928	   12.6325	  -14.9214	
  -20.0000	-5.2250E-6	-5.2250E-6	-2.275729E-6	-2.275729E-6	   -0.0102	   13.1897	   12.6325	  -14.9570	
  -30.0000	-6.6320E-6	-6.6320E-6	-2.701562E-6	-2.701562E-6	   -0.0051	   13.1894	   12.5253	  -15.0602	
  -40.0000	-7.7070E-6	-7.7070E-6	-3.043728E-6	-3.043728E-6	   -0.0051	   13.1894	   12.5253	  -15.0602	
  -50.0000	-8.6000E-6	-8.6000E-6	-3.356827E-6	-3.356827E-6	   -0.0077	   13.1848	   12.4058	  -15.1796	
  -60.0000	-9.3880E-6	-9.3880E-6	-3.639203E-6	-3.639203E-6	   -0.0000	   13.1910	   12.3128	  -15.2655	
  -70.0000	-1.0100E-5	-1.0100E-5	-3.883527E-6	-3.883527E-6	   -0.0000	   13.1910	   12.3128	  -15.2655	
  -80.0000	-1.0730E-5	-1.0730E-5	-4.121915E-6	-4.121915E-6	    0.0026	   13.1910	   12.2011	  -15.3752	
  -90.0000	-1.1330E-5	-1.1330E-5	-4.353929E-6	-4.353929E-6	   -0.0000	   13.2062	   12.1082	  -15.4553	
 -100.0000	-1.1920E-5	-1.1920E-5	-4.592538E-6	-4.592538E-6	   -0.0000	   13.2062	   12.1082	  -15.4553	
 -110.0000	-1.2460E-5	-1.2460E-5	-4.806606E-6	-4.806606E-6	   -0.0026	   13.1843	   12.0177	  -15.5627	
 -120.0000	-1.2980E-5	-1.2980E-5	-5.002306E-6	-5.002306E-6	   -0.0051	   13.1843	   11.9279	  -15.5627	
