GCD Test
Bias: 5000.000000
IV_N4789_21_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_70min
Date/Time: 5/23/2022 11:20:12 AM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 70 Minutes
Environment: 0C
Tester: Catherine Tiley

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.1240E-6	-3.1240E-6	-1.549782E-6	-1.549782E-6	    0.0026	   14.6963	   11.9254	  -14.4703	
  -20.0000	-4.8720E-6	-4.8720E-6	-2.085820E-6	-2.085820E-6	    0.0026	   14.6328	   11.7827	  -14.6660	
  -30.0000	-6.1440E-6	-6.1440E-6	-2.462295E-6	-2.462295E-6	    0.0026	   14.6328	   11.7827	  -14.6660	
  -40.0000	-7.0900E-6	-7.0900E-6	-2.752910E-6	-2.752910E-6	   -0.0000	   14.6296	   11.5500	  -14.9100	
  -50.0000	-7.8800E-6	-7.8800E-6	-3.013593E-6	-3.013593E-6	   -0.0000	   14.6296	   11.5500	  -14.9100	
  -60.0000	-8.5790E-6	-8.5790E-6	-3.262157E-6	-3.262157E-6	   -0.0026	   14.7467	   11.3678	  -15.0108	
  -70.0000	-9.2130E-6	-9.2130E-6	-3.490449E-6	-3.490449E-6	   -0.0026	   14.7316	   11.2748	  -15.1217	
  -80.0000	-9.7880E-6	-9.7880E-6	-3.708603E-6	-3.708603E-6	   -0.0026	   14.7316	   11.2748	  -15.1217	
  -90.0000	-1.0330E-5	-1.0330E-5	-3.912985E-6	-3.912985E-6	   -0.0026	   14.7084	   11.1556	  -15.2680	
 -100.0000	-1.0850E-5	-1.0850E-5	-4.114038E-6	-4.114038E-6	   -0.0026	   14.7170	   11.0898	  -15.3325	
 -110.0000	-1.1310E-5	-1.1310E-5	-4.294786E-6	-4.294786E-6	   -0.0026	   14.7170	   11.0898	  -15.3325	
 -120.0000	-1.1800E-5	-1.1800E-5	-4.490320E-6	-4.490320E-6	   -0.0051	   14.7695	   10.9892	  -15.4015	
 -130.0000	-1.2220E-5	-1.2220E-5	-4.668388E-6	-4.668388E-6	   -0.0051	   14.7059	   10.9333	  -15.5123	
 -140.0000	-1.2670E-5	-1.2670E-5	-4.825635E-6	-4.825635E-6	   -0.0051	   14.7059	   10.9333	  -15.5123	
 -150.0000	-1.3100E-5	-1.3100E-5	-5.020517E-6	-5.020517E-6	   -0.0026	   14.7561	   10.8327	  -15.5844	
 -160.0000	-1.3470E-5	-1.3470E-5	-5.189926E-6	-5.189926E-6	   -0.0051	   14.7299	   10.7824	  -15.6606	
 -170.0000	-1.3850E-5	-1.3850E-5	-5.345099E-6	-5.345099E-6	   -0.0051	   14.7299	   10.7824	  -15.6606	
 -180.0000	-1.4210E-5	-1.4210E-5	-5.511747E-6	-5.511747E-6	   -0.0051	   14.7299	   10.6939	  -15.7596	
 -190.0000	-1.4570E-5	-1.4570E-5	-5.681193E-6	-5.681193E-6	   -0.0051	   14.6904	   10.6439	  -15.8464	
 -200.0000	-1.4950E-5	-1.4950E-5	-5.819978E-6	-5.819978E-6	   -0.0051	   14.6904	   10.6439	  -15.8464	
 -220.0000	-1.5630E-5	-1.5630E-5	-6.125724E-6	-6.125724E-6	   -0.0051	   14.6904	   10.6439	  -15.8464	
 -240.0000	-1.6240E-5	-1.6240E-5	-6.403423E-6	-6.403423E-6	   -0.0051	   14.6746	   10.5750	  -15.9364	
 -260.0000	-1.6900E-5	-1.6900E-5	-6.687077E-6	-6.687077E-6	   -0.0000	   14.7720	   10.5506	  -15.8888	
 -280.0000	-1.7450E-5	-1.7450E-5	-6.935224E-6	-6.935224E-6	   -0.0000	   14.7720	   10.5506	  -15.8888	
