GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODE_GR_Irradiated_Annealed_60C_0min
Date/Time: 3/1/2022 11:22:52 AM
Sensor Name: DIODE
Type: 
Annealing Status: Irradiated and Annealed at 60C for 0 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.286E-10	4.173E-11	5.989E+5	2.241E+5	   -0.3889	   17.7844	   21.3906	   -4.5705	
  -20.0000	1.853E-10	4.409E-11	8.212E+5	2.646E+5	   -0.3301	   17.7532	   21.4121	   -4.5832	
  -30.0000	1.592E-10	4.441E-11	1.000E+6	3.022E+5	   -0.2507	   17.7532	   21.4361	   -4.5683	
  -40.0000	1.414E-10	4.387E-11	1.157E+6	3.394E+5	   -0.1868	   17.7407	   21.4507	   -4.5697	
  -50.0000	1.284E-10	4.306E-11	1.296E+6	3.756E+5	   -0.0691	   17.6848	   21.4450	   -4.6199	
  -60.0000	1.179E-10	4.211E-11	1.426E+6	4.109E+5	   -0.0205	   17.7149	   21.4510	   -4.5911	
  -70.0000	1.096E-10	4.113E-11	1.541E+6	4.456E+5	    0.0435	   17.6646	   21.4662	   -4.6236	
  -80.0000	1.027E-10	4.013E-11	1.650E+6	4.799E+5	    0.1331	   17.6952	   21.4760	   -4.5922	
  -90.0000	9.679E-11	3.913E-11	1.751E+6	5.142E+5	    0.1791	   17.6484	   21.4775	   -4.6302	
 -100.0000	9.171E-11	3.820E-11	1.845E+6	5.473E+5	    0.2226	   17.6484	   21.4965	   -4.6185	
 -110.0000	8.717E-11	3.730E-11	1.936E+6	5.803E+5	    0.2559	   17.6366	   21.5104	   -4.6198	
 -120.0000	8.339E-11	3.635E-11	2.027E+6	6.150E+5	    0.3224	   17.5860	   21.5354	   -4.6466	
 -130.0000	7.969E-11	3.546E-11	2.115E+6	6.489E+5	    0.3429	   17.6036	   21.5323	   -4.6339	
 -140.0000	7.638E-11	3.456E-11	2.197E+6	6.843E+5	    0.3659	   17.6035	   21.5512	   -4.6223	
 -150.0000	7.302E-11	3.358E-11	2.299E+6	7.238E+5	    0.3864	   17.5722	   21.5895	   -4.6249	
 -160.0000	6.986E-11	3.263E-11	2.402E+6	7.658E+5	    0.3889	   17.5442	   21.6022	   -4.6406	
 -170.0000	6.681E-11	3.164E-11	2.516E+6	8.133E+5	    0.3864	   17.5593	   21.6157	   -4.6197	
 -180.0000	6.366E-11	3.065E-11	2.656E+6	8.671E+5	    0.3864	   17.5425	   21.6306	   -4.6246	
 -190.0000	6.055E-11	2.959E-11	2.820E+6	9.345E+5	    0.3608	   17.5791	   21.6679	   -4.5712	
 -200.0000	5.744E-11	2.857E-11	3.008E+6	1.014E+6	    0.3531	   17.5356	   21.6749	   -4.6033	
 -220.0000	5.135E-11	2.673E-11	3.471E+6	1.224E+6	    0.3224	   17.5362	   21.6809	   -4.5991	
 -240.0000	4.566E-11	2.526E-11	4.010E+6	1.518E+6	    0.2891	   17.5521	   21.7128	   -4.5664	
 -260.0000	4.059E-11	2.422E-11	4.601E+6	1.894E+6	    0.2559	   17.5061	   21.7249	   -4.5975	
 -280.0000	3.627E-11	2.347E-11	5.218E+6	2.364E+6	    0.2252	   17.5051	   21.7214	   -4.6004	
