GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODE_GR_Irradiated_Annealed_60C_90min
Date/Time: 3/5/2022 4:38:53 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 90 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.812E-10	4.168E-11	6.411E+5	2.634E+5	    0.0409	   14.7189	   26.7628	   -4.1906	
  -20.0000	1.416E-10	4.222E-11	9.372E+5	3.384E+5	    0.0358	   14.7153	   26.7717	   -4.1892	
  -30.0000	1.200E-10	4.120E-11	1.173E+6	4.056E+5	    0.0281	   14.7156	   26.7859	   -4.1819	
  -40.0000	1.059E-10	3.990E-11	1.374E+6	4.668E+5	    0.0256	   14.7026	   26.7840	   -4.1940	
  -50.0000	9.593E-11	3.857E-11	1.553E+6	5.241E+5	    0.0230	   14.6952	   26.8033	   -4.1908	
  -60.0000	8.850E-11	3.724E-11	1.707E+6	5.790E+5	    0.0128	   14.6677	   26.7957	   -4.2181	
  -70.0000	8.243E-11	3.598E-11	1.850E+6	6.308E+5	    0.0026	   14.6677	   26.7903	   -4.2207	
  -80.0000	7.742E-11	3.481E-11	1.981E+6	6.803E+5	   -0.0026	   14.6608	   26.8074	   -4.2182	
  -90.0000	7.314E-11	3.366E-11	2.106E+6	7.288E+5	   -0.0051	   14.6658	   26.8346	   -4.2005	
 -100.0000	6.928E-11	3.242E-11	2.228E+6	7.821E+5	   -0.0102	   14.6531	   26.8571	   -4.2002	
 -110.0000	6.562E-11	3.120E-11	2.363E+6	8.390E+5	   -0.0128	   14.6498	   26.8703	   -4.1965	
 -120.0000	6.210E-11	2.988E-11	2.537E+6	9.111E+5	   -0.0179	   14.6459	   26.8868	   -4.1917	
 -130.0000	5.812E-11	2.845E-11	2.771E+6	1.009E+6	   -0.0205	   14.6483	   26.8871	   -4.1895	
 -140.0000	5.404E-11	2.706E-11	3.080E+6	1.147E+6	   -0.0205	   14.6362	   26.8941	   -4.1964	
 -150.0000	4.984E-11	2.582E-11	3.490E+6	1.337E+6	   -0.0281	   14.6169	   26.8877	   -4.2161	
 -160.0000	4.561E-11	2.478E-11	4.006E+6	1.601E+6	   -0.0333	   14.6191	   26.9026	   -4.2069	
 -170.0000	4.158E-11	2.399E-11	4.604E+6	1.943E+6	   -0.0358	   14.6128	   26.9029	   -4.2121	
 -180.0000	3.790E-11	2.341E-11	5.282E+6	2.364E+6	   -0.0307	   14.6107	   26.9020	   -4.2144	
 -190.0000	3.475E-11	2.297E-11	6.018E+6	2.871E+6	   -0.0333	   14.6006	   26.8982	   -4.2249	
 -200.0000	3.209E-11	2.266E-11	6.826E+6	3.457E+6	   -0.0333	   14.5985	   26.9013	   -4.2252	
 -220.0000	2.828E-11	2.225E-11	8.533E+6	4.767E+6	   -0.0333	   14.5817	   26.9127	   -4.2340	
 -240.0000	2.598E-11	2.203E-11	1.022E+7	6.146E+6	   -0.0307	   14.5800	   26.9282	   -4.2278	
 -260.0000	2.457E-11	2.189E-11	1.175E+7	7.449E+6	   -0.0281	   14.5809	   26.9364	   -4.2229	
 -280.0000	2.368E-11	2.181E-11	1.298E+7	8.611E+6	   -0.0333	   14.5639	   26.9336	   -4.2389	
