GCD Test
Bias: 5000.000000
IV_N4789_20_LL_DIODE_GR_Irradiated_Annealed_60C_0min
Date/Time: 3/1/2022 11:18:29 AM
Sensor Name: DIODE
Type: 
Annealing Status: Irradiated and Annealed at 60C for 0 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.3420E-5	-1.3420E-5	-1.109390E-5	-1.109390E-5	   -0.2840	   18.5987	   20.0844	   -4.7589	
  -20.0000	-1.9220E-5	-1.9220E-5	-1.569109E-5	-1.569109E-5	   -0.2840	   18.5663	   20.0844	   -4.7544	
  -30.0000	-2.3430E-5	-2.3430E-5	-1.931771E-5	-1.931771E-5	   -0.2840	   18.5663	   20.0844	   -4.7544	
  -40.0000	-2.7130E-5	-2.7130E-5	-2.226909E-5	-2.226909E-5	   -0.6294	   18.5469	   20.1445	   -4.7310	
  -50.0000	-3.0260E-5	-3.0260E-5	-2.486233E-5	-2.486233E-5	   -0.8110	   18.5172	   20.1847	   -4.7292	
  -60.0000	-3.2900E-5	-3.2900E-5	-2.714102E-5	-2.714102E-5	   -1.0259	   18.5172	   20.2312	   -4.7292	
  -70.0000	-3.5620E-5	-3.5620E-5	-2.938375E-5	-2.938375E-5	   -1.0259	   18.4710	   20.2312	   -4.7371	
  -80.0000	-3.8140E-5	-3.8140E-5	-3.141382E-5	-3.141382E-5	   -1.2049	   18.4393	   20.2568	   -4.7466	
  -90.0000	-4.0390E-5	-4.0390E-5	-3.330520E-5	-3.330520E-5	   -1.3840	   18.4393	   20.3052	   -4.7466	
 -100.0000	-4.2530E-5	-4.2530E-5	-3.515858E-5	-3.515858E-5	   -1.3840	   18.3962	   20.3052	   -4.7507	
 -110.0000	-4.4780E-5	-4.4780E-5	-3.690400E-5	-3.690400E-5	   -1.5169	   18.3694	   20.3257	   -4.7596	
 -120.0000	-4.6560E-5	-4.6560E-5	-3.854278E-5	-3.854278E-5	   -1.5169	   18.3694	   20.3257	   -4.7596	
 -130.0000	-4.8570E-5	-4.8570E-5	-4.008695E-5	-4.008695E-5	   -1.6806	   18.3220	   20.3744	   -4.7673	
 -140.0000	-5.0520E-5	-5.0520E-5	-4.167451E-5	-4.167451E-5	   -1.7752	   18.3220	   20.3991	   -4.7513	
 -150.0000	-5.2350E-5	-5.2350E-5	-4.325651E-5	-4.325651E-5	   -1.7752	   18.3220	   20.3991	   -4.7513	
 -160.0000	-5.4180E-5	-5.4180E-5	-4.486257E-5	-4.486257E-5	   -1.9159	   18.3027	   20.4497	   -4.7345	
 -170.0000	-5.6220E-5	-5.6220E-5	-4.637393E-5	-4.637393E-5	   -1.9824	   18.2751	   20.4867	   -4.7335	
 -180.0000	-5.7980E-5	-5.7980E-5	-4.779953E-5	-4.779953E-5	   -1.9824	   18.2751	   20.4867	   -4.7335	
 -190.0000	-5.9710E-5	-5.9710E-5	-4.926487E-5	-4.926487E-5	   -2.0770	   18.2362	   20.5225	   -4.7427	
 -200.0000	-6.1350E-5	-6.1350E-5	-5.064338E-5	-5.064338E-5	   -2.1179	   18.1868	   20.5629	   -4.7577	
 -220.0000	-6.4680E-5	-6.4680E-5	-5.326214E-5	-5.326214E-5	   -2.1179	   18.1868	   20.5629	   -4.7577	
 -240.0000	-6.7630E-5	-6.7630E-5	-5.560536E-5	-5.560536E-5	   -2.1537	   18.1868	   20.5977	   -4.7353	
 -260.0000	-7.0510E-5	-7.0510E-5	-5.791969E-5	-5.791969E-5	   -2.1665	   18.1647	   20.6392	   -4.7271	
 -280.0000	-7.3200E-5	-7.3200E-5	-6.006749E-5	-6.006749E-5	   -2.1665	   18.1647	   20.6392	   -4.7271	
 -300.0000	-7.5650E-5	-7.5650E-5	-6.183104E-5	-6.183104E-5	   -2.1537	   18.1291	   20.6920	   -4.7229	
 -320.0000	-7.8320E-5	-7.8320E-5	-6.400589E-5	-6.400589E-5	   -2.1256	   18.0861	   20.7394	   -4.7283	
 -340.0000	-8.0830E-5	-8.0830E-5	-6.587854E-5	-6.587854E-5	   -2.1256	   18.0861	   20.7394	   -4.7283	
 -360.0000	-8.3610E-5	-8.3610E-5	-6.807995E-5	-6.807995E-5	   -2.0744	   18.0556	   20.7748	   -4.7311	
 -380.0000	-8.6100E-5	-8.6100E-5	-7.004030E-5	-7.004030E-5	   -1.9926	   18.0556	   20.7748	   -4.7311	
 -400.0000	-8.8440E-5	-8.8440E-5	-7.174531E-5	-7.174531E-5	   -1.9926	   17.9761	   20.8343	   -4.7594	
 -440.0000	-9.3000E-5	-9.3000E-5	-7.552055E-5	-7.552055E-5	   -1.9261	   17.9761	   20.8719	   -4.7355	
 -480.0000	-9.7530E-5	-9.7530E-5	-7.850165E-5	-7.850165E-5	   -1.8443	   17.9766	   20.9273	   -4.7001	
 -520.0000	-1.0180E-4	-1.0180E-4	-8.157860E-5	-8.157860E-5	   -1.8443	   17.9766	   20.9273	   -4.7001	
 -560.0000	-1.0690E-4	-1.0690E-4	-8.478289E-5	-8.478289E-5	   -1.7471	   17.9968	   20.9658	   -4.6590	
 -600.0000	-1.1200E-4	-1.1200E-4	-8.844537E-5	-8.844537E-5	   -1.6602	   17.9917	   20.9991	   -4.6423	
 -640.0000	-1.1740E-4	-1.1740E-4	-9.237486E-5	-9.237486E-5	   -1.6602	   17.9917	   20.9991	   -4.6423	
 -680.0000	-1.2300E-4	-1.2300E-4	-9.561954E-5	-9.561954E-5	   -1.5527	   17.9632	   21.0332	   -4.6445	
 -720.0000	-1.2930E-4	-1.2930E-4	-9.966332E-5	-9.966332E-5	   -1.4863	   17.9575	   21.0614	   -4.6316	
