GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODEHALF_GR_Irradiated_Annealed_60C_100min
Date/Time: 3/5/2022 5:57:12 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 100 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.431E-11	9.715E-12	2.623E+6	1.064E+6	    0.0179	   14.9507	   26.5911	   -4.0776	
  -20.0000	3.467E-11	9.860E-12	3.830E+6	1.362E+6	    0.0256	   14.9686	   26.5895	   -4.0631	
  -30.0000	2.938E-11	9.600E-12	4.787E+6	1.625E+6	    0.0256	   14.9619	   26.5838	   -4.0716	
  -40.0000	2.600E-11	9.256E-12	5.555E+6	1.866E+6	    0.0435	   14.9489	   26.5595	   -4.0949	
  -50.0000	2.338E-11	8.894E-12	6.219E+6	2.094E+6	    0.0461	   14.9305	   26.5446	   -4.1181	
  -60.0000	2.152E-11	8.568E-12	6.820E+6	2.307E+6	    0.0512	   14.9154	   26.5364	   -4.1352	
  -70.0000	2.003E-11	8.267E-12	7.367E+6	2.508E+6	    0.0537	   14.9177	   26.5307	   -4.1360	
  -80.0000	1.877E-11	7.973E-12	7.903E+6	2.705E+6	    0.0588	   14.8939	   26.5250	   -4.1593	
  -90.0000	1.771E-11	7.683E-12	8.411E+6	2.901E+6	    0.0588	   14.8857	   26.5297	   -4.1639	
 -100.0000	1.675E-11	7.390E-12	8.906E+6	3.105E+6	    0.0563	   14.8972	   26.5291	   -4.1544	
 -110.0000	1.584E-11	7.079E-12	9.462E+6	3.337E+6	    0.0588	   14.9110	   26.5250	   -4.1446	
 -120.0000	1.496E-11	6.770E-12	1.028E+7	3.612E+6	    0.0537	   14.8739	   26.5247	   -4.1766	
 -130.0000	1.400E-11	6.421E-12	1.122E+7	3.994E+6	    0.0486	   14.8739	   26.5221	   -4.1778	
 -140.0000	1.299E-11	6.078E-12	1.251E+7	4.527E+6	    0.0486	   14.8572	   26.5231	   -4.1916	
 -150.0000	1.194E-11	5.772E-12	1.422E+7	5.258E+6	    0.0384	   14.8429	   26.5079	   -4.2114	
 -160.0000	1.090E-11	5.512E-12	1.634E+7	6.271E+6	    0.0384	   14.8418	   26.5079	   -4.2124	
 -170.0000	9.907E-12	5.315E-12	1.881E+7	7.556E+6	    0.0307	   14.8443	   26.4994	   -4.2145	
 -180.0000	8.988E-12	5.167E-12	2.168E+7	9.141E+6	    0.0205	   14.8500	   26.5082	   -4.2052	
 -190.0000	8.190E-12	5.058E-12	2.481E+7	1.103E+7	    0.0154	   14.8336	   26.5035	   -4.2216	
 -200.0000	7.520E-12	4.978E-12	2.826E+7	1.317E+7	    0.0128	   14.8319	   26.5158	   -4.2169	
 -220.0000	6.553E-12	4.875E-12	3.577E+7	1.796E+7	    0.0102	   14.8127	   26.5145	   -4.2339	
 -240.0000	5.966E-12	4.818E-12	4.320E+7	2.282E+7	   -0.0000	   14.8099	   26.5348	   -4.2262	
 -260.0000	5.612E-12	4.784E-12	5.020E+7	2.738E+7	    0.0051	   14.8019	   26.5398	   -4.2305	
 -280.0000	5.383E-12	4.763E-12	5.623E+7	3.134E+7	   -0.0026	   14.7928	   26.5515	   -4.2325	
 -300.0000	5.226E-12	4.748E-12	6.126E+7	3.472E+7	   -0.0128	   14.7822	   26.5481	   -4.2433	
 -320.0000	5.122E-12	4.738E-12	6.550E+7	3.748E+7	   -0.0154	   14.7818	   26.5582	   -4.2385	
 -340.0000	5.040E-12	4.731E-12	6.896E+7	3.965E+7	   -0.0154	   14.7726	   26.5689	   -4.2411	
 -360.0000	4.989E-12	4.725E-12	7.182E+7	4.164E+7	   -0.0230	   14.7621	   26.5769	   -4.2461	
 -380.0000	4.931E-12	4.720E-12	7.376E+7	4.338E+7	   -0.0256	   14.7749	   26.5696	   -4.2388	
 -400.0000	4.898E-12	4.715E-12	7.610E+7	4.466E+7	   -0.0307	   14.7530	   26.5623	   -4.2611	
 -440.0000	4.839E-12	4.708E-12	7.809E+7	4.646E+7	   -0.0358	   14.7324	   26.5686	   -4.2756	
 -480.0000	4.794E-12	4.702E-12	7.896E+7	4.768E+7	   -0.0358	   14.7406	   26.6028	   -4.2516	
 -520.0000	4.760E-12	4.698E-12	7.875E+7	4.826E+7	   -0.0409	   14.6948	   26.6082	   -4.2881	
 -560.0000	4.740E-12	4.694E-12	7.751E+7	4.834E+7	   -0.0435	   14.6948	   26.6151	   -4.2846	
 -600.0000	4.705E-12	4.689E-12	7.637E+7	4.826E+7	   -0.0435	   14.7072	   26.6512	   -4.2560	
 -640.0000	4.682E-12	4.686E-12	7.426E+7	4.770E+7	   -0.0435	   14.6989	   26.6758	   -4.2509	
 -680.0000	4.669E-12	4.684E-12	7.185E+7	4.728E+7	   -0.0409	   14.6999	   26.6749	   -4.2505	
 -720.0000	4.636E-12	4.680E-12	6.919E+7	4.648E+7	   -0.0384	   14.6866	   26.6806	   -4.2590	
 -760.0000	4.624E-12	4.678E-12	6.655E+7	4.540E+7	   -0.0307	   14.6641	   26.6954	   -4.2709	
 -800.0000	4.604E-12	4.675E-12	6.369E+7	4.443E+7	   -0.0281	   14.6656	   26.7119	   -4.2614	
 -840.0000	4.582E-12	4.671E-12	6.076E+7	4.317E+7	   -0.0205	   14.6492	   26.7321	   -4.2654	
 -880.0000	4.555E-12	4.668E-12	5.790E+7	4.194E+7	   -0.0179	   14.6423	   26.7397	   -4.2676	
 -920.0000	4.525E-12	4.664E-12	5.469E+7	4.036E+7	   -0.0154	   14.6466	   26.7562	   -4.2557	
 -960.0000	4.524E-12	4.662E-12	5.153E+7	3.892E+7	   -0.0128	   14.6336	   26.7679	   -4.2611	
-1000.0000	4.496E-12	4.658E-12	4.817E+7	3.711E+7	   -0.0051	   14.6291	   26.7941	   -4.2519	
