GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODEHALF_GR_Irradiated_Annealed_60C_10min
Date/Time: 3/3/2022 4:08:35 PM
Sensor Name: DIODEHALF
Type: 
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	5.163E-11	8.556E-12	2.393E+6	9.573E+5	    0.0333	   15.3283	   25.7514	   -4.1813	
  -20.0000	4.193E-11	9.323E-12	3.310E+6	1.120E+6	    0.0281	   15.3458	   25.7657	   -4.1590	
  -30.0000	3.593E-11	9.394E-12	4.080E+6	1.290E+6	    0.0281	   15.3322	   25.7824	   -4.1620	
  -40.0000	3.180E-11	9.276E-12	4.759E+6	1.453E+6	    0.0205	   15.3204	   25.7929	   -4.1667	
  -50.0000	2.862E-11	9.109E-12	5.349E+6	1.612E+6	    0.0154	   15.3022	   25.7992	   -4.1789	
  -60.0000	2.619E-11	8.897E-12	5.906E+6	1.768E+6	    0.0077	   15.3105	   25.8283	   -4.1569	
  -70.0000	2.437E-11	8.683E-12	6.408E+6	1.927E+6	   -0.0000	   15.2861	   25.8653	   -4.1587	
  -80.0000	2.268E-11	8.440E-12	6.894E+6	2.080E+6	   -0.0051	   15.2891	   25.8707	   -4.1534	
  -90.0000	2.134E-11	8.250E-12	7.330E+6	2.230E+6	   -0.0102	   15.2822	   25.8751	   -4.1570	
 -100.0000	2.020E-11	8.071E-12	7.779E+6	2.381E+6	   -0.0154	   15.2779	   25.8824	   -4.1569	
 -110.0000	1.913E-11	7.817E-12	8.168E+6	2.542E+6	   -0.0256	   15.2676	   25.9086	   -4.1523	
 -120.0000	1.823E-11	7.723E-12	8.652E+6	2.702E+6	   -0.0230	   15.2632	   25.9149	   -4.1528	
