GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODEHALF_GR_Irradiated_Annealed_60C_40min
Date/Time: 3/4/2022 11:27:25 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 40 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.541E-11	8.616E-12	2.461E+6	1.047E+6	   -0.0358	   14.6094	   26.2552	   -4.5381	
  -20.0000	3.635E-11	9.094E-12	3.494E+6	1.280E+6	   -0.0307	   14.5987	   26.2660	   -4.5418	
  -30.0000	3.099E-11	9.083E-12	4.354E+6	1.502E+6	   -0.0333	   14.5860	   26.2868	   -4.5421	
  -40.0000	2.732E-11	8.867E-12	5.101E+6	1.717E+6	   -0.0333	   14.5877	   26.3280	   -4.5200	
  -50.0000	2.453E-11	8.623E-12	5.741E+6	1.927E+6	   -0.0281	   14.5548	   26.3665	   -4.5287	
  -60.0000	2.244E-11	8.344E-12	6.333E+6	2.130E+6	   -0.0307	   14.5548	   26.3716	   -4.5262	
  -70.0000	2.078E-11	8.109E-12	6.885E+6	2.321E+6	   -0.0307	   14.5516	   26.3884	   -4.5205	
  -80.0000	1.942E-11	7.858E-12	7.401E+6	2.514E+6	   -0.0307	   14.5553	   26.4175	   -4.5028	
  -90.0000	1.829E-11	7.601E-12	7.886E+6	2.704E+6	   -0.0256	   14.5564	   26.4326	   -4.4942	
 -100.0000	1.727E-11	7.360E-12	8.358E+6	2.889E+6	   -0.0230	   14.5554	   26.4361	   -4.4933	
 -110.0000	1.632E-11	7.090E-12	8.852E+6	3.094E+6	   -0.0230	   14.5275	   26.4475	   -4.5114	
 -120.0000	1.550E-11	6.828E-12	9.487E+6	3.319E+6	   -0.0230	   14.5149	   26.4747	   -4.5087	
 -130.0000	1.458E-11	6.520E-12	1.018E+7	3.608E+6	   -0.0179	   14.5067	   26.4719	   -4.5171	
 -140.0000	1.362E-11	6.192E-12	1.108E+7	4.001E+6	   -0.0154	   14.5110	   26.4997	   -4.4995	
 -150.0000	1.260E-11	5.880E-12	1.232E+7	4.539E+6	   -0.0077	   14.5013	   26.5272	   -4.4941	
 -160.0000	1.154E-11	5.619E-12	1.383E+7	5.306E+6	   -0.0077	   14.4941	   26.5455	   -4.4910	
 -170.0000	1.058E-11	5.407E-12	1.578E+7	6.323E+6	   -0.0026	   14.4877	   26.5417	   -4.4984	
 -180.0000	9.670E-12	5.247E-12	1.804E+7	7.567E+6	    0.0026	   14.4988	   26.5595	   -4.4801	
 -190.0000	8.818E-12	5.109E-12	2.045E+7	8.962E+6	   -0.0026	   14.4873	   26.5686	   -4.4854	
 -200.0000	8.100E-12	5.014E-12	2.298E+7	1.057E+7	   -0.0000	   14.4797	   26.5886	   -4.4820	
 -220.0000	6.990E-12	4.899E-12	2.875E+7	1.445E+7	    0.0051	   14.4745	   26.6015	   -4.4799	
 -240.0000	6.252E-12	4.828E-12	3.484E+7	1.850E+7	    0.0128	   14.4657	   26.6224	   -4.4771	
 -260.0000	5.803E-12	4.785E-12	4.062E+7	2.240E+7	    0.0154	   14.4467	   26.6341	   -4.4875	
 -280.0000	5.505E-12	4.759E-12	4.578E+7	2.610E+7	    0.0154	   14.4524	   26.6268	   -4.4863	
 -300.0000	5.313E-12	4.741E-12	5.035E+7	2.919E+7	    0.0128	   14.4420	   26.6227	   -4.4972	
 -320.0000	5.176E-12	4.728E-12	5.413E+7	3.161E+7	    0.0128	   14.4359	   26.6335	   -4.4971	
 -340.0000	5.067E-12	4.717E-12	5.700E+7	3.374E+7	    0.0128	   14.4365	   26.6290	   -4.4988	
 -360.0000	4.997E-12	4.710E-12	5.949E+7	3.552E+7	    0.0154	   14.4435	   26.6262	   -4.4942	
 -380.0000	4.940E-12	4.705E-12	6.157E+7	3.705E+7	    0.0179	   14.4246	   26.6107	   -4.5181	
 -400.0000	4.885E-12	4.700E-12	6.302E+7	3.824E+7	    0.0205	   14.4212	   26.6110	   -4.5208	
 -440.0000	4.808E-12	4.692E-12	6.544E+7	4.002E+7	    0.0205	   14.4218	   26.6085	   -4.5216	
 -480.0000	4.758E-12	4.685E-12	6.621E+7	4.144E+7	    0.0128	   14.3896	   26.6018	   -4.5525	
 -520.0000	4.726E-12	4.680E-12	6.632E+7	4.203E+7	    0.0051	   14.4051	   26.6040	   -4.5381	
 -560.0000	4.690E-12	4.675E-12	6.532E+7	4.212E+7	    0.0077	   14.3933	   26.5886	   -4.5559	
 -600.0000	4.659E-12	4.671E-12	6.422E+7	4.212E+7	    0.0102	   14.3953	   26.5708	   -4.5630	
