File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_0min,-2.44E-05,-2.85E-05,-3.46E-05,414,0.00E+00
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_100min,-1.72E-05,-1.94E-05,-2.25E-05,269.1291291,1.38E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_10min,-2.37E-05,-2.64E-05,-3.16E-05,398.6186186,1.94E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_20min,-2.21E-05,-2.52E-05,-2.94E-05,315.0950951,1.81E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_30min,-2.09E-05,-2.38E-05,-2.78E-05,300.5205205,1.70E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_40min,-1.99E-05,-2.26E-05,-2.62E-05,282.022022,1.61E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_50min,-1.94E-05,-2.21E-05,-2.57E-05,280.3403403,1.56E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_60min,-1.86E-05,-2.11E-05,-2.45E-05,272.4924925,1.50E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_70min,-1.83E-05,-2.07E-05,-2.39E-05,271.9319319,1.47E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_80min,-1.81E-05,-2.05E-05,-2.37E-05,270.2902903,1.46E-05
N4789_20_LL_DIODEHALF_GR_Irradiated_60C_90min,-1.78E-05,-2.01E-05,-2.33E-05,270.8108108,1.44E-05
