GCD Test
Bias: 5000.000000
IV_N4789_20_LL_DIODEHALF_GR_Irradiated_Annealed_60C_30min
Date/Time: 3/4/2022 9:32:19 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-4.2390E-6	-4.2390E-6	-3.224318E-6	-3.224318E-6	   -0.0102	   13.9298	   26.6145	   -4.9398	
  -20.0000	-6.2530E-6	-6.2530E-6	-4.595457E-6	-4.595457E-6	   -0.0128	   13.9298	   26.6793	   -4.9398	
  -30.0000	-7.8670E-6	-7.8670E-6	-5.641049E-6	-5.641049E-6	   -0.0128	   13.8993	   26.6793	   -4.9338	
  -40.0000	-9.2700E-6	-9.2700E-6	-6.585327E-6	-6.585327E-6	   -0.0128	   13.9283	   26.7236	   -4.8872	
  -50.0000	-1.0470E-5	-1.0470E-5	-7.389121E-6	-7.389121E-6	   -0.0077	   13.9283	   26.7862	   -4.8872	
  -60.0000	-1.1570E-5	-1.1570E-5	-8.111253E-6	-8.111253E-6	   -0.0077	   13.9366	   26.7862	   -4.8491	
  -70.0000	-1.2610E-5	-1.2610E-5	-8.809296E-6	-8.809296E-6	   -0.0051	   13.9414	   26.8261	   -4.8254	
  -80.0000	-1.3570E-5	-1.3570E-5	-9.456957E-6	-9.456957E-6	   -0.0077	   13.9414	   26.8653	   -4.8254	
  -90.0000	-1.4470E-5	-1.4470E-5	-1.009687E-5	-1.009687E-5	   -0.0077	   13.9267	   26.8653	   -4.8187	
 -100.0000	-1.5340E-5	-1.5340E-5	-1.069634E-5	-1.069634E-5	   -0.0026	   13.9422	   26.9035	   -4.7866	
 -110.0000	-1.6210E-5	-1.6210E-5	-1.125816E-5	-1.125816E-5	   -0.0026	   13.9422	   26.9035	   -4.7866	
 -120.0000	-1.6980E-5	-1.6980E-5	-1.180207E-5	-1.180207E-5	   -0.0026	   13.9454	   26.9342	   -4.7688	
 -130.0000	-1.7720E-5	-1.7720E-5	-1.233098E-5	-1.233098E-5	   -0.0026	   13.9454	   26.9535	   -4.7593	
 -140.0000	-1.8420E-5	-1.8420E-5	-1.279244E-5	-1.279244E-5	   -0.0000	   13.9454	   26.9535	   -4.7593	
 -150.0000	-1.9110E-5	-1.9110E-5	-1.324537E-5	-1.324537E-5	   -0.0000	   13.9624	   26.9760	   -4.7338	
 -160.0000	-1.9710E-5	-1.9710E-5	-1.362728E-5	-1.362728E-5	    0.0051	   13.9624	   26.9842	   -4.7298	
 -170.0000	-2.0330E-5	-2.0330E-5	-1.402711E-5	-1.402711E-5	    0.0051	   13.9624	   26.9842	   -4.7298	
 -180.0000	-2.0870E-5	-2.0870E-5	-1.437262E-5	-1.437262E-5	    0.0077	   13.9608	   27.0288	   -4.7093	
 -190.0000	-2.1380E-5	-2.1380E-5	-1.468271E-5	-1.468271E-5	    0.0077	   13.9580	   27.0402	   -4.7061	
 -200.0000	-2.1850E-5	-2.1850E-5	-1.498213E-5	-1.498213E-5	    0.0077	   13.9580	   27.0402	   -4.7061	
 -220.0000	-2.2670E-5	-2.2670E-5	-1.545706E-5	-1.545706E-5	    0.0077	   13.9462	   27.0813	   -4.6962	
 -240.0000	-2.3470E-5	-2.3470E-5	-1.593142E-5	-1.593142E-5	    0.0077	   13.9560	   27.0955	   -4.6809	
 -260.0000	-2.4110E-5	-2.4110E-5	-1.627985E-5	-1.627985E-5	    0.0077	   13.9560	   27.0955	   -4.6809	
 -280.0000	-2.4720E-5	-2.4720E-5	-1.660082E-5	-1.660082E-5	    0.0051	   13.9550	   27.1401	   -4.6600	
 -300.0000	-2.5320E-5	-2.5320E-5	-1.697047E-5	-1.697047E-5	    0.0026	   13.9578	   27.1600	   -4.6478	
