GCD Test
Bias: 5000.000000
IV_N4789_20_LL_DIODEHALF_GR_Irradiated_Annealed_60C_90min
Date/Time: 3/5/2022 4:42:40 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 90 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-4.2070E-6	-4.2070E-6	-3.189322E-6	-3.189322E-6	   -0.0077	   14.3941	   26.6743	   -4.5126	
  -20.0000	-6.0910E-6	-6.0910E-6	-4.449051E-6	-4.449051E-6	   -0.0102	   14.3703	   26.6951	   -4.5227	
  -30.0000	-7.6130E-6	-7.6130E-6	-5.401741E-6	-5.401741E-6	   -0.0077	   14.3495	   26.7201	   -4.5281	
  -40.0000	-8.8850E-6	-8.8850E-6	-6.218696E-6	-6.218696E-6	   -0.0077	   14.3495	   26.7201	   -4.5281	
  -50.0000	-1.0030E-5	-1.0030E-5	-6.943000E-6	-6.943000E-6	   -0.0051	   14.3516	   26.7574	   -4.5078	
  -60.0000	-1.1040E-5	-1.1040E-5	-7.597786E-6	-7.597786E-6	   -0.0051	   14.3469	   26.7827	   -4.4993	
  -70.0000	-1.1990E-5	-1.1990E-5	-8.219349E-6	-8.219349E-6	   -0.0051	   14.3469	   26.7827	   -4.4993	
  -80.0000	-1.2870E-5	-1.2870E-5	-8.820001E-6	-8.820001E-6	   -0.0077	   14.3575	   26.8311	   -4.4663	
  -90.0000	-1.3700E-5	-1.3700E-5	-9.345918E-6	-9.345918E-6	   -0.0077	   14.3755	   26.8650	   -4.4342	
 -100.0000	-1.4500E-5	-1.4500E-5	-9.897429E-6	-9.897429E-6	   -0.0077	   14.3755	   26.8650	   -4.4342	
 -110.0000	-1.5260E-5	-1.5260E-5	-1.037286E-5	-1.037286E-5	   -0.0102	   14.3755	   26.9099	   -4.4120	
 -120.0000	-1.5930E-5	-1.5930E-5	-1.085290E-5	-1.085290E-5	   -0.0026	   14.3622	   26.9352	   -4.4110	
 -130.0000	-1.6620E-5	-1.6620E-5	-1.132129E-5	-1.132129E-5	   -0.0026	   14.3622	   26.9352	   -4.4110	
 -140.0000	-1.7240E-5	-1.7240E-5	-1.171471E-5	-1.171471E-5	   -0.0077	   14.3562	   26.9481	   -4.4098	
 -150.0000	-1.7800E-5	-1.7800E-5	-1.202668E-5	-1.202668E-5	   -0.0000	   14.3562	   26.9880	   -4.4098	
 -160.0000	-1.8300E-5	-1.8300E-5	-1.232389E-5	-1.232389E-5	   -0.0000	   14.3689	   26.9880	   -4.3793	
 -170.0000	-1.8770E-5	-1.8770E-5	-1.264555E-5	-1.264555E-5	   -0.0026	   14.3551	   27.0133	   -4.3787	
 -180.0000	-1.9200E-5	-1.9200E-5	-1.287271E-5	-1.287271E-5	   -0.0026	   14.3551	   27.0329	   -4.3787	
 -190.0000	-1.9590E-5	-1.9590E-5	-1.307514E-5	-1.307514E-5	   -0.0026	   14.3329	   27.0329	   -4.3881	
 -200.0000	-1.9920E-5	-1.9920E-5	-1.331007E-5	-1.331007E-5	   -0.0051	   14.3321	   27.0478	   -4.3815	
 -220.0000	-2.0550E-5	-2.0550E-5	-1.366327E-5	-1.366327E-5	   -0.0077	   14.3321	   27.0478	   -4.3815	
 -240.0000	-2.1140E-5	-2.1140E-5	-1.397190E-5	-1.397190E-5	   -0.0077	   14.3544	   27.0712	   -4.3510	
 -260.0000	-2.1640E-5	-2.1640E-5	-1.424063E-5	-1.424063E-5	   -0.0051	   14.3544	   27.0892	   -4.3421	
 -280.0000	-2.2110E-5	-2.2110E-5	-1.448116E-5	-1.448116E-5	   -0.0051	   14.3544	   27.0892	   -4.3421	
 -300.0000	-2.2560E-5	-2.2560E-5	-1.472989E-5	-1.472989E-5	   -0.0051	   14.3648	   27.1303	   -4.3131	
 -320.0000	-2.3010E-5	-2.3010E-5	-1.497611E-5	-1.497611E-5	   -0.0051	   14.3541	   27.1452	   -4.3151	
 -340.0000	-2.3470E-5	-2.3470E-5	-1.519550E-5	-1.519550E-5	   -0.0051	   14.3541	   27.1452	   -4.3151	
 -360.0000	-2.3860E-5	-2.3860E-5	-1.540328E-5	-1.540328E-5	   -0.0026	   14.3522	   27.1575	   -4.3106	
 -380.0000	-2.4260E-5	-2.4260E-5	-1.557335E-5	-1.557335E-5	   -0.0051	   14.3414	   27.1670	   -4.3152	
 -400.0000	-2.4660E-5	-2.4660E-5	-1.575229E-5	-1.575229E-5	   -0.0051	   14.3414	   27.1670	   -4.3152	
 -440.0000	-2.5430E-5	-2.5430E-5	-1.616692E-5	-1.616692E-5	   -0.0026	   14.3338	   27.1869	   -4.3121	
 -480.0000	-2.6180E-5	-2.6180E-5	-1.655647E-5	-1.655647E-5	   -0.0026	   14.3356	   27.2065	   -4.3010	
 -520.0000	-2.6960E-5	-2.6960E-5	-1.695554E-5	-1.695554E-5	   -0.0026	   14.3356	   27.2065	   -4.3010	
 -560.0000	-2.7760E-5	-2.7760E-5	-1.734732E-5	-1.734732E-5	   -0.0051	   14.3188	   27.2299	   -4.3040	
 -600.0000	-2.8610E-5	-2.8610E-5	-1.778224E-5	-1.778224E-5	   -0.0000	   14.3235	   27.2378	   -4.2961	
 -640.0000	-2.9430E-5	-2.9430E-5	-1.820339E-5	-1.820339E-5	   -0.0000	   14.3235	   27.2378	   -4.2961	
 -680.0000	-3.0360E-5	-3.0360E-5	-1.869235E-5	-1.869235E-5	   -0.0026	   14.3321	   27.2672	   -4.2744	
 -720.0000	-3.1200E-5	-3.1200E-5	-1.915375E-5	-1.915375E-5	    0.0026	   14.3053	   27.2830	   -4.2897	
 -760.0000	-3.2260E-5	-3.2260E-5	-1.964873E-5	-1.964873E-5	    0.0026	   14.3053	   27.2830	   -4.2897	
 -800.0000	-3.3210E-5	-3.3210E-5	-2.010749E-5	-2.010749E-5	   -0.0026	   14.3083	   27.3207	   -4.2689	
 -840.0000	-3.4460E-5	-3.4460E-5	-2.070796E-5	-2.070796E-5	   -0.0000	   14.3198	   27.3226	   -4.2580	
 -880.0000	-3.5580E-5	-3.5580E-5	-2.121054E-5	-2.121054E-5	   -0.0000	   14.3198	   27.3226	   -4.2580	
 -920.0000	-3.6810E-5	-3.6810E-5	-2.187841E-5	-2.187841E-5	   -0.0026	   14.3042	   27.3466	   -4.2597	
 -960.0000	-3.8120E-5	-3.8120E-5	-2.259120E-5	-2.259120E-5	   -0.0026	   14.3042	   27.3466	   -4.2597	
-1000.0000	-3.9580E-5	-3.9580E-5	-2.329389E-5	-2.329389E-5	   -0.0026	   14.2975	   27.3732	   -4.2527	
