GCD Test
Bias: 5000.000000
CV_N4789_20_LL_DIODEQUARTER_GR_Irradiated_Annealed_60C_60min
Date/Time: 3/4/2022 2:43:00 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 60 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.343E-11	2.291E-12	8.957E+6	3.408E+6	   -0.0077	   13.9194	   27.0142	   -4.7519	
  -20.0000	1.003E-11	2.245E-12	1.302E+7	4.391E+6	   -0.0102	   13.9134	   27.0272	   -4.7507	
  -30.0000	8.294E-12	2.118E-12	1.630E+7	5.305E+6	   -0.0051	   13.9134	   27.0512	   -4.7390	
  -40.0000	7.117E-12	1.984E-12	1.924E+7	6.175E+6	   -0.0026	   13.8980	   27.0800	   -4.7381	
  -50.0000	6.289E-12	1.863E-12	2.182E+7	6.988E+6	   -0.0102	   13.8921	   27.0838	   -4.7414	
  -60.0000	5.680E-12	1.756E-12	2.405E+7	7.753E+6	   -0.0077	   13.8891	   27.1040	   -4.7340	
  -70.0000	5.194E-12	1.656E-12	2.618E+7	8.488E+6	   -0.0051	   13.8745	   27.1214	   -4.7381	
  -80.0000	4.807E-12	1.567E-12	2.803E+7	9.183E+6	   -0.0000	   13.8749	   27.1550	   -4.7214	
  -90.0000	4.481E-12	1.482E-12	2.987E+7	9.862E+6	   -0.0077	   13.8823	   27.1686	   -4.7085	
 -100.0000	4.191E-12	1.401E-12	3.171E+7	1.055E+7	   -0.0026	   13.8756	   27.1860	   -4.7058	
 -110.0000	3.935E-12	1.316E-12	3.357E+7	1.129E+7	   -0.0000	   13.8725	   27.2128	   -4.6954	
 -120.0000	3.711E-12	1.236E-12	3.600E+7	1.209E+7	   -0.0026	   13.8632	   27.2315	   -4.6943	
 -130.0000	3.438E-12	1.143E-12	3.884E+7	1.316E+7	   -0.0077	   13.8719	   27.2552	   -4.6753	
 -140.0000	3.168E-12	1.046E-12	4.284E+7	1.464E+7	   -0.0051	   13.8768	   27.2748	   -4.6616	
 -150.0000	2.892E-12	9.551E-13	4.789E+7	1.664E+7	   -0.0051	   13.8625	   27.2992	   -4.6621	
 -160.0000	2.613E-12	8.773E-13	5.442E+7	1.930E+7	   -0.0077	   13.8562	   27.3071	   -4.6637	
 -170.0000	2.333E-12	8.133E-13	6.247E+7	2.273E+7	   -0.0026	   13.8519	   27.3302	   -4.6562	
 -180.0000	2.081E-12	7.645E-13	7.178E+7	2.682E+7	   -0.0077	   13.8506	   27.3409	   -4.6521	
 -190.0000	1.856E-12	7.294E-13	8.197E+7	3.156E+7	   -0.0026	   13.8506	   27.3539	   -4.6458	
 -200.0000	1.656E-12	7.025E-13	9.340E+7	3.680E+7	   -0.0026	   13.8394	   27.3653	   -4.6499	
 -220.0000	1.355E-12	6.670E-13	1.187E+8	4.811E+7	   -0.0051	   13.8394	   27.3729	   -4.6463	
 -240.0000	1.172E-12	6.472E-13	1.447E+8	5.906E+7	   -0.0026	   13.8269	   27.4140	   -4.6372	
 -260.0000	1.054E-12	6.351E-13	1.719E+8	6.858E+7	   -0.0000	   13.8321	   27.4323	   -4.6238	
 -280.0000	9.734E-13	6.277E-13	1.951E+8	7.660E+7	   -0.0026	   13.8339	   27.4560	   -4.6108	
 -300.0000	9.275E-13	6.218E-13	2.162E+8	8.277E+7	   -0.0000	   13.8376	   27.4725	   -4.5998	
