GCD Test
Bias: 5000.000000
IV_N4789_20_LL_DIODEQUARTER_GR_Irradiated_Annealed_60C_20min
Date/Time: 3/3/2022 5:27:49 PM
Sensor Name: DIODEQUARTER
Type: 
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.5510E-6	-1.5510E-6	-9.304669E-7	-9.304669E-7	   -0.0102	   14.8863	   26.5778	   -4.1393	
  -20.0000	-2.3040E-6	-2.3040E-6	-1.325645E-6	-1.325645E-6	   -0.0128	   14.8962	   26.6268	   -4.1064	
  -30.0000	-2.9640E-6	-2.9640E-6	-1.637331E-6	-1.637331E-6	   -0.0128	   14.8962	   26.6268	   -4.1064	
  -40.0000	-3.5300E-6	-3.5300E-6	-1.901720E-6	-1.901720E-6	   -0.0102	   14.8958	   26.6951	   -4.0727	
  -50.0000	-4.0190E-6	-4.0190E-6	-2.138876E-6	-2.138876E-6	   -0.0077	   14.9031	   26.7347	   -4.0468	
  -60.0000	-4.4820E-6	-4.4820E-6	-2.360443E-6	-2.360443E-6	   -0.0077	   14.9031	   26.7821	   -4.0468	
  -70.0000	-4.8680E-6	-4.8680E-6	-2.561053E-6	-2.561053E-6	   -0.0077	   14.8822	   26.7821	   -4.0411	
  -80.0000	-5.2630E-6	-5.2630E-6	-2.757095E-6	-2.757095E-6	   -0.0077	   14.8822	   26.7821	   -4.0411	
  -90.0000	-5.6150E-6	-5.6150E-6	-2.940730E-6	-2.940730E-6	   -0.0102	   14.8753	   26.8479	   -4.0144	
 -100.0000	-5.9610E-6	-5.9610E-6	-3.122660E-6	-3.122660E-6	   -0.0077	   14.8696	   26.8754	   -4.0057	
 -110.0000	-6.2870E-6	-6.2870E-6	-3.277538E-6	-3.277538E-6	   -0.0128	   14.8696	   26.8754	   -4.0057	
 -120.0000	-6.6100E-6	-6.6100E-6	-3.442665E-6	-3.442665E-6	   -0.0128	   14.8957	   26.9197	   -3.9614	
 -130.0000	-6.9140E-6	-6.9140E-6	-3.598939E-6	-3.598939E-6	   -0.0077	   14.8957	   26.9276	   -3.9575	
 -140.0000	-7.1760E-6	-7.1760E-6	-3.732182E-6	-3.732182E-6	   -0.0077	   14.8957	   26.9478	   -3.9575	
 -150.0000	-7.4630E-6	-7.4630E-6	-3.867856E-6	-3.867856E-6	   -0.0077	   14.9034	   26.9478	   -3.9409	
 -160.0000	-7.7320E-6	-7.7320E-6	-4.006793E-6	-4.006793E-6	   -0.0077	   14.8983	   26.9595	   -3.9395	
 -170.0000	-7.9730E-6	-7.9730E-6	-4.110181E-6	-4.110181E-6	   -0.0102	   14.8983	   26.9934	   -3.9395	
 -180.0000	-8.2140E-6	-8.2140E-6	-4.227355E-6	-4.227355E-6	   -0.0102	   14.8974	   26.9934	   -3.9236	
 -190.0000	-8.4370E-6	-8.4370E-6	-4.312235E-6	-4.312235E-6	   -0.0051	   14.8932	   27.0041	   -3.9219	
 -200.0000	-8.6620E-6	-8.6620E-6	-4.412389E-6	-4.412389E-6	   -0.0102	   14.8932	   27.0269	   -3.9219	
 -220.0000	-9.0010E-6	-9.0010E-6	-4.559914E-6	-4.559914E-6	   -0.0102	   14.8948	   27.0269	   -3.9093	
 -240.0000	-9.3390E-6	-9.3390E-6	-4.673302E-6	-4.673302E-6	   -0.0102	   14.8816	   27.0440	   -3.9122	
 -260.0000	-9.6280E-6	-9.6280E-6	-4.806621E-6	-4.806621E-6	   -0.0077	   14.8816	   27.0753	   -3.9122	
 -280.0000	-9.9270E-6	-9.9270E-6	-4.913225E-6	-4.913225E-6	   -0.0077	   14.8603	   27.0753	   -3.9151	
 -300.0000	-1.0190E-5	-1.0190E-5	-5.007584E-6	-5.007584E-6	   -0.0077	   14.8625	   27.0844	   -3.9087	
 -320.0000	-1.0430E-5	-1.0430E-5	-5.108510E-6	-5.108510E-6	   -0.0077	   14.8605	   27.1082	   -3.8988	
 -340.0000	-1.0650E-5	-1.0650E-5	-5.202778E-6	-5.202778E-6	   -0.0077	   14.8605	   27.1082	   -3.8988	
 -360.0000	-1.0910E-5	-1.0910E-5	-5.273992E-6	-5.273992E-6	   -0.0051	   14.8527	   27.1243	   -3.8975	
 -380.0000	-1.1130E-5	-1.1130E-5	-5.349842E-6	-5.349842E-6	   -0.0051	   14.8527	   27.1243	   -3.8975	
 -400.0000	-1.1370E-5	-1.1370E-5	-5.459150E-6	-5.459150E-6	   -0.0051	   14.8420	   27.1537	   -3.8923	
