GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_0min
Date/Time: 3/1/2022 11:46:32 AM
Sensor Name: DIODE
Type: 
Annealing Status: Irradiated and Annealed at 60C for 0 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.813E-10	4.017E-11	5.983E+5	2.600E+5	    0.0026	   15.7014	   24.2799	   -4.6440	
  -20.0000	1.426E-10	4.101E-11	8.567E+5	3.293E+5	    0.0026	   15.6979	   24.2830	   -4.6453	
  -30.0000	1.201E-10	4.012E-11	1.083E+6	3.964E+5	    0.0026	   15.7267	   24.2875	   -4.6185	
  -40.0000	1.057E-10	3.895E-11	1.272E+6	4.583E+5	    0.0077	   15.7107	   24.2963	   -4.6273	
  -50.0000	9.534E-11	3.765E-11	1.440E+6	5.175E+5	    0.0026	   15.6971	   24.3201	   -4.6258	
  -60.0000	8.747E-11	3.643E-11	1.591E+6	5.728E+5	   -0.0000	   15.6743	   24.3400	   -4.6343	
  -70.0000	8.131E-11	3.529E-11	1.729E+6	6.242E+5	    0.0026	   15.6673	   24.3431	   -4.6385	
  -80.0000	7.614E-11	3.415E-11	1.860E+6	6.753E+5	   -0.0000	   15.6673	   24.3355	   -4.6426	
  -90.0000	7.185E-11	3.300E-11	1.980E+6	7.259E+5	   -0.0000	   15.6368	   24.3422	   -4.6649	
 -100.0000	6.805E-11	3.183E-11	2.097E+6	7.777E+5	    0.0051	   15.6418	   24.3653	   -4.6481	
 -110.0000	6.438E-11	3.057E-11	2.223E+6	8.362E+5	    0.0026	   15.6226	   24.3805	   -4.6561	
 -120.0000	6.089E-11	2.927E-11	2.377E+6	9.057E+5	   -0.0000	   15.6378	   24.3928	   -4.6366	
 -130.0000	5.702E-11	2.782E-11	2.566E+6	1.005E+6	   -0.0026	   15.6272	   24.4377	   -4.6212	
 -140.0000	5.273E-11	2.636E-11	2.843E+6	1.154E+6	   -0.0026	   15.6388	   24.4424	   -4.6088	
 -150.0000	4.842E-11	2.513E-11	3.200E+6	1.362E+6	   -0.0026	   15.6388	   24.4529	   -4.6032	
 -160.0000	4.413E-11	2.415E-11	3.649E+6	1.650E+6	   -0.0026	   15.6136	   24.4652	   -4.6179	
 -170.0000	4.001E-11	2.345E-11	4.195E+6	2.020E+6	   -0.0051	   15.5905	   24.4627	   -4.6388	
 -180.0000	3.633E-11	2.295E-11	4.824E+6	2.470E+6	   -0.0051	   15.6050	   24.4510	   -4.6328	
 -190.0000	3.325E-11	2.259E-11	5.527E+6	2.993E+6	   -0.0051	   15.6057	   24.4671	   -4.6235	
 -200.0000	3.081E-11	2.234E-11	6.253E+6	3.555E+6	   -0.0102	   15.5990	   24.4481	   -4.6395	
 -220.0000	2.748E-11	2.203E-11	7.743E+6	4.756E+6	   -0.0051	   15.5709	   24.4320	   -4.6720	
 -240.0000	2.553E-11	2.186E-11	9.137E+6	5.907E+6	   -0.0102	   15.5530	   24.4127	   -4.6976	
 -260.0000	2.433E-11	2.175E-11	1.030E+7	6.939E+6	   -0.0077	   15.5851	   24.4067	   -4.6737	
 -280.0000	2.351E-11	2.168E-11	1.132E+7	7.831E+6	   -0.0128	   15.5855	   24.4225	   -4.6648	
 -300.0000	2.295E-11	2.163E-11	1.219E+7	8.635E+6	   -0.0102	   15.5991	   24.4194	   -4.6550	
 -320.0000	2.254E-11	2.160E-11	1.283E+7	9.277E+6	   -0.0102	   15.6115	   24.4326	   -4.6373	
 -340.0000	2.201E-11	2.154E-11	1.327E+7	9.735E+6	   -0.0077	   15.6034	   24.4437	   -4.6381	
 -360.0000	2.180E-11	2.151E-11	1.372E+7	1.016E+7	   -0.0051	   15.5655	   24.4602	   -4.6613	
 -380.0000	2.156E-11	2.149E-11	1.412E+7	1.057E+7	   -0.0077	   15.5559	   24.4677	   -4.6654	
 -400.0000	2.138E-11	2.147E-11	1.435E+7	1.087E+7	   -0.0077	   15.5807	   24.4570	   -4.6502	
 -440.0000	2.111E-11	2.144E-11	1.465E+7	1.133E+7	   -0.0102	   15.5513	   24.4855	   -4.6597	
 -480.0000	2.094E-11	2.142E-11	1.473E+7	1.159E+7	   -0.0051	   15.5227	   24.4886	   -4.6822	
 -520.0000	2.071E-11	2.140E-11	1.464E+7	1.167E+7	   -0.0051	   15.5227	   24.4842	   -4.6846	
 -560.0000	2.062E-11	2.138E-11	1.449E+7	1.171E+7	   -0.0026	   15.5212	   24.4880	   -4.6838	
 -600.0000	2.042E-11	2.136E-11	1.409E+7	1.161E+7	   -0.0026	   15.5288	   24.4962	   -4.6729	
 -640.0000	2.027E-11	2.135E-11	1.364E+7	1.139E+7	   -0.0026	   15.5383	   24.5022	   -4.6617	
 -680.0000	2.013E-11	2.132E-11	1.312E+7	1.120E+7	    0.0026	   15.4971	   24.5057	   -4.6947	
 -720.0000	1.997E-11	2.131E-11	1.269E+7	1.095E+7	   -0.0000	   15.4844	   24.5262	   -4.6944	
 -760.0000	1.989E-11	2.129E-11	1.224E+7	1.062E+7	    0.0026	   15.4882	   24.5240	   -4.6924	
 -800.0000	1.989E-11	2.128E-11	1.183E+7	1.029E+7	    0.0026	   15.4836	   24.5288	   -4.6937	
 -840.0000	1.969E-11	2.126E-11	1.130E+7	9.937E+6	    0.0077	   15.4735	   24.5177	   -4.7083	
 -880.0000	1.962E-11	2.124E-11	1.073E+7	9.559E+6	    0.0051	   15.4627	   24.5168	   -4.7179	
 -920.0000	1.954E-11	2.123E-11	1.014E+7	9.121E+6	    0.0051	   15.4627	   24.5215	   -4.7153	
 -960.0000	1.941E-11	2.121E-11	9.518E+6	8.695E+6	    0.0051	   15.4685	   24.5209	   -4.7107	
-1000.0000	1.915E-11	2.119E-11	8.985E+6	8.228E+6	    0.0051	   15.4549	   24.5417	   -4.7110	
