GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_10min
Date/Time: 3/3/2022 4:25:35 PM
Sensor Name: DIODE
Type: 
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.754E-10	4.002E-11	6.108E+5	2.670E+5	   -0.0051	   14.5111	   27.5127	   -4.0016	
  -20.0000	1.373E-10	4.069E-11	8.853E+5	3.422E+5	   -0.0051	   14.4987	   27.5329	   -4.0025	
  -30.0000	1.160E-10	3.980E-11	1.118E+6	4.126E+5	   -0.0026	   14.4987	   27.5291	   -4.0044	
  -40.0000	1.022E-10	3.860E-11	1.314E+6	4.768E+5	   -0.0051	   14.5017	   27.5332	   -3.9998	
  -50.0000	9.232E-11	3.727E-11	1.487E+6	5.380E+5	   -0.0077	   14.4902	   27.5028	   -4.0243	
  -60.0000	8.491E-11	3.604E-11	1.641E+6	5.942E+5	   -0.0077	   14.5012	   27.4991	   -4.0167	
  -70.0000	7.906E-11	3.492E-11	1.781E+6	6.456E+5	   -0.0051	   14.4913	   27.4997	   -4.0250	
  -80.0000	7.424E-11	3.375E-11	1.912E+6	6.975E+5	   -0.0051	   14.5011	   27.5016	   -4.0156	
  -90.0000	7.013E-11	3.255E-11	2.034E+6	7.508E+5	   -0.0026	   14.4712	   27.4877	   -4.0480	
 -100.0000	6.640E-11	3.136E-11	2.156E+6	8.040E+5	   -0.0051	   14.4712	   27.4924	   -4.0457	
 -110.0000	6.281E-11	3.008E-11	2.285E+6	8.653E+5	   -0.0051	   14.4715	   27.4918	   -4.0458	
 -120.0000	5.919E-11	2.864E-11	2.459E+6	9.493E+5	   -0.0051	   14.4644	   27.5025	   -4.0467	
 -130.0000	5.505E-11	2.711E-11	2.689E+6	1.073E+6	   -0.0026	   14.4681	   27.5117	   -4.0390	
 -140.0000	5.071E-11	2.572E-11	3.006E+6	1.252E+6	   -0.0077	   14.4572	   27.5183	   -4.0452	
 -150.0000	4.616E-11	2.459E-11	3.443E+6	1.508E+6	   -0.0026	   14.4549	   27.5436	   -4.0350	
 -160.0000	4.182E-11	2.373E-11	3.972E+6	1.858E+6	   -0.0051	   14.4320	   27.5326	   -4.0600	
 -170.0000	3.776E-11	2.314E-11	4.612E+6	2.298E+6	   -0.0051	   14.4502	   27.5278	   -4.0467	
 -180.0000	3.434E-11	2.272E-11	5.336E+6	2.824E+6	   -0.0051	   14.4374	   27.5101	   -4.0662	
 -190.0000	3.161E-11	2.244E-11	6.096E+6	3.403E+6	   -0.0026	   14.4425	   27.5079	   -4.0629	
 -200.0000	2.951E-11	2.224E-11	6.912E+6	4.035E+6	   -0.0000	   14.4330	   27.5193	   -4.0655	
 -220.0000	2.671E-11	2.199E-11	8.496E+6	5.291E+6	   -0.0000	   14.4450	   27.5278	   -4.0511	
 -240.0000	2.507E-11	2.184E-11	9.903E+6	6.475E+6	   -0.0000	   14.4285	   27.5332	   -4.0627	
 -260.0000	2.405E-11	2.176E-11	1.112E+7	7.515E+6	   -0.0000	   14.4279	   27.5443	   -4.0578	
 -280.0000	2.337E-11	2.170E-11	1.213E+7	8.396E+6	    0.0051	   14.4296	   27.5515	   -4.0529	
 -300.0000	2.286E-11	2.166E-11	1.299E+7	9.157E+6	    0.0051	   14.4407	   27.5683	   -4.0353	
 -320.0000	2.251E-11	2.162E-11	1.367E+7	9.826E+6	   -0.0000	   14.4188	   27.5661	   -4.0551	
 -340.0000	2.222E-11	2.159E-11	1.426E+7	1.037E+7	    0.0051	   14.3908	   27.5651	   -4.0797	
 -360.0000	2.199E-11	2.158E-11	1.473E+7	1.086E+7	    0.0026	   14.4068	   27.5901	   -4.0539	
 -380.0000	2.159E-11	2.152E-11	1.491E+7	1.113E+7	    0.0077	   14.4128	   27.6139	   -4.0373	
 -400.0000	2.143E-11	2.151E-11	1.519E+7	1.142E+7	    0.0026	   14.3871	   27.6360	   -4.0488	
