GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_30min
Date/Time: 3/4/2022 10:29:41 AM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 30 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.708E-10	4.087E-11	6.299E+5	2.704E+5	    0.0051	   12.9328	   29.2913	   -4.5320	
  -20.0000	1.328E-10	4.131E-11	9.265E+5	3.524E+5	    0.0077	   12.9313	   29.2998	   -4.5295	
  -30.0000	1.123E-10	4.036E-11	1.171E+6	4.250E+5	    0.0102	   12.9381	   29.3039	   -4.5218	
  -40.0000	9.902E-11	3.896E-11	1.378E+6	4.917E+5	    0.0051	   12.9370	   29.2922	   -4.5280	
  -50.0000	8.994E-11	3.758E-11	1.548E+6	5.524E+5	    0.0102	   12.9385	   29.2827	   -4.5310	
  -60.0000	8.297E-11	3.626E-11	1.701E+6	6.090E+5	    0.0051	   12.9265	   29.2780	   -4.5435	
  -70.0000	7.745E-11	3.508E-11	1.841E+6	6.605E+5	    0.0051	   12.9311	   29.2666	   -4.5447	
  -80.0000	7.298E-11	3.384E-11	1.964E+6	7.129E+5	    0.0051	   12.9320	   29.2505	   -4.5512	
  -90.0000	6.908E-11	3.264E-11	2.081E+6	7.636E+5	    0.0026	   12.9374	   29.2502	   -4.5467	
 -100.0000	6.540E-11	3.137E-11	2.205E+6	8.185E+5	    0.0026	   12.9414	   29.2492	   -4.5437	
 -110.0000	6.172E-11	2.996E-11	2.343E+6	8.859E+5	   -0.0000	   12.9260	   29.2236	   -4.5686	
 -120.0000	5.802E-11	2.846E-11	2.532E+6	9.765E+5	   -0.0026	   12.9354	   29.2132	   -4.5652	
 -130.0000	5.369E-11	2.690E-11	2.797E+6	1.113E+6	   -0.0000	   12.9310	   29.1891	   -4.5799	
 -140.0000	4.915E-11	2.543E-11	3.165E+6	1.328E+6	   -0.0051	   12.9284	   29.1616	   -4.5946	
 -150.0000	4.436E-11	2.432E-11	3.684E+6	1.631E+6	   -0.0051	   12.9365	   29.1420	   -4.5965	
 -160.0000	3.990E-11	2.351E-11	4.310E+6	2.048E+6	   -0.0051	   12.9300	   29.1116	   -4.6159	
 -170.0000	3.592E-11	2.297E-11	5.052E+6	2.556E+6	   -0.0051	   12.9307	   29.1063	   -4.6177	
 -180.0000	3.272E-11	2.260E-11	5.870E+6	3.156E+6	   -0.0026	   12.9246	   29.0769	   -4.6364	
 -190.0000	3.028E-11	2.235E-11	6.732E+6	3.817E+6	   -0.0000	   12.9306	   29.0670	   -4.6356	
 -200.0000	2.845E-11	2.218E-11	7.613E+6	4.471E+6	    0.0026	   12.9306	   29.0519	   -4.6425	
 -220.0000	2.607E-11	2.196E-11	9.251E+6	5.777E+6	   -0.0026	   12.9108	   29.0383	   -4.6659	
 -240.0000	2.471E-11	2.184E-11	1.067E+7	6.931E+6	   -0.0026	   12.9216	   28.9804	   -4.6829	
 -260.0000	2.383E-11	2.176E-11	1.183E+7	7.962E+6	   -0.0026	   12.9220	   28.9715	   -4.6866	
 -280.0000	2.320E-11	2.171E-11	1.285E+7	8.821E+6	   -0.0000	   12.9173	   28.9583	   -4.6968	
 -300.0000	2.278E-11	2.167E-11	1.368E+7	9.554E+6	   -0.0026	   12.9147	   28.9295	   -4.7121	
 -320.0000	2.244E-11	2.164E-11	1.435E+7	1.016E+7	   -0.0051	   12.9238	   28.9102	   -4.7131	
 -340.0000	2.216E-11	2.161E-11	1.484E+7	1.070E+7	   -0.0051	   12.9238	   28.9083	   -4.7139	
 -360.0000	2.196E-11	2.159E-11	1.525E+7	1.118E+7	   -0.0051	   12.9215	   28.8909	   -4.7239	
 -380.0000	2.159E-11	2.153E-11	1.548E+7	1.139E+7	   -0.0000	   12.9135	   28.8571	   -4.7463	
 -400.0000	2.143E-11	2.152E-11	1.576E+7	1.169E+7	   -0.0000	   12.9095	   28.8498	   -4.7531	
 -440.0000	2.119E-11	2.149E-11	1.597E+7	1.213E+7	   -0.0000	   12.9183	   28.8371	   -4.7513	
 -480.0000	2.098E-11	2.147E-11	1.597E+7	1.234E+7	    0.0077	   12.9171	   28.8223	   -4.7591	
 -520.0000	2.083E-11	2.144E-11	1.582E+7	1.240E+7	    0.0051	   12.9095	   28.8121	   -4.7703	
 -560.0000	2.069E-11	2.142E-11	1.550E+7	1.242E+7	    0.0026	   12.9121	   28.8027	   -4.7724	
 -600.0000	2.053E-11	2.141E-11	1.514E+7	1.229E+7	    0.0026	   12.9204	   28.8093	   -4.7622	
 -640.0000	2.043E-11	2.139E-11	1.472E+7	1.216E+7	    0.0051	   12.9091	   28.8058	   -4.7736	
 -680.0000	2.031E-11	2.137E-11	1.421E+7	1.188E+7	    0.0051	   12.9180	   28.8109	   -4.7635	
 -720.0000	2.019E-11	2.136E-11	1.367E+7	1.162E+7	    0.0077	   12.9254	   28.8090	   -4.7581	
 -760.0000	2.009E-11	2.134E-11	1.325E+7	1.125E+7	    0.0051	   12.9189	   28.7948	   -4.7702	
 -800.0000	1.990E-11	2.132E-11	1.263E+7	1.101E+7	    0.0077	   12.9230	   28.8001	   -4.7642	
 -840.0000	1.968E-11	2.130E-11	1.195E+7	1.051E+7	    0.0051	   12.9130	   28.7973	   -4.7741	
 -880.0000	1.972E-11	2.129E-11	1.143E+7	1.011E+7	    0.0051	   12.9111	   28.7998	   -4.7746	
 -920.0000	1.955E-11	2.127E-11	1.068E+7	9.648E+6	    0.0051	   12.9248	   28.7982	   -4.7634	
 -960.0000	1.914E-11	2.125E-11	9.955E+6	9.195E+6	    0.0077	   12.9166	   28.7932	   -4.7729	
-1000.0000	1.903E-11	2.123E-11	9.380E+6	8.652E+6	    0.0026	   12.9080	   28.7932	   -4.7803	
