GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_80min
Date/Time: 3/5/2022 3:36:56 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.607E-10	4.042E-11	6.773E+5	2.904E+5	   -0.0026	   13.0737	   28.9627	   -4.5594	
  -20.0000	1.254E-10	4.079E-11	1.016E+6	3.809E+5	   -0.0077	   13.0741	   28.9671	   -4.5571	
  -30.0000	1.070E-10	3.975E-11	1.279E+6	4.564E+5	   -0.0077	   13.0827	   28.9832	   -4.5423	
  -40.0000	9.550E-11	3.851E-11	1.488E+6	5.199E+5	   -0.0051	   13.0749	   29.0054	   -4.5389	
  -50.0000	8.737E-11	3.710E-11	1.661E+6	5.803E+5	   -0.0000	   13.0829	   29.0085	   -4.5306	
  -60.0000	8.120E-11	3.588E-11	1.811E+6	6.335E+5	   -0.0077	   13.0829	   29.0164	   -4.5270	
  -70.0000	7.625E-11	3.462E-11	1.944E+6	6.863E+5	   -0.0051	   13.0716	   29.0114	   -4.5390	
  -80.0000	7.198E-11	3.341E-11	2.071E+6	7.378E+5	   -0.0026	   13.0629	   29.0373	   -4.5347	
  -90.0000	6.818E-11	3.222E-11	2.197E+6	7.892E+5	   -0.0077	   13.0677	   29.0332	   -4.5324	
 -100.0000	6.466E-11	3.093E-11	2.322E+6	8.471E+5	   -0.0102	   13.0739	   29.0525	   -4.5183	
 -110.0000	6.097E-11	2.951E-11	2.480E+6	9.200E+5	   -0.0102	   13.0688	   29.0708	   -4.5144	
 -120.0000	5.727E-11	2.804E-11	2.694E+6	1.020E+6	   -0.0102	   13.0719	   29.0939	   -4.5011	
 -130.0000	5.293E-11	2.653E-11	3.009E+6	1.172E+6	   -0.0077	   13.0719	   29.1214	   -4.4886	
 -140.0000	4.836E-11	2.516E-11	3.452E+6	1.408E+6	   -0.0102	   13.0633	   29.1259	   -4.4941	
 -150.0000	4.364E-11	2.412E-11	4.040E+6	1.742E+6	   -0.0051	   13.0622	   29.1373	   -4.4898	
 -160.0000	3.921E-11	2.338E-11	4.760E+6	2.191E+6	   -0.0026	   13.0569	   29.1376	   -4.4943	
 -170.0000	3.530E-11	2.285E-11	5.600E+6	2.774E+6	   -0.0051	   13.0559	   29.1610	   -4.4845	
 -180.0000	3.213E-11	2.251E-11	6.550E+6	3.437E+6	   -0.0051	   13.0494	   29.1818	   -4.4807	
 -190.0000	2.975E-11	2.227E-11	7.546E+6	4.165E+6	   -0.0026	   13.0582	   29.2103	   -4.4601	
 -200.0000	2.798E-11	2.211E-11	8.575E+6	4.945E+6	   -0.0026	   13.0477	   29.2087	   -4.4700	
 -220.0000	2.572E-11	2.190E-11	1.050E+7	6.435E+6	   -0.0026	   13.0537	   29.2144	   -4.4622	
