File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_UR_DIODE_GR_Irradiated_60C_0min,-8.393369e-05,-9.757075e-05,-0.0001165531,257.6176176176176,6.513044864864865e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_100min,-6.671887e-05,-7.652226e-05,-9.034662e-05,232.6826826826827,5.194976090590591e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_10min,-8.011482e-05,-9.220652e-05,-0.0001096049,244.35435435435437,6.186325608108109e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_20min,-8.313976e-05,-9.697394e-05,-0.0001180545,236.3963963963964,6.285193702702703e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_30min,-7.950911e-05,-9.32746e-05,-0.0001125763,234.8048048048048,6.030280930930931e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_40min,-7.418948e-05,-8.502504e-05,-0.0001005004,232.15215215215215,5.713007870870871e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_50min,-7.237701e-05,-8.329986e-05,-9.879302e-05,232.15215215215215,5.590158933933934e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_60min,-7.11633e-05,-8.222632e-05,-9.708246e-05,231.0910910910911,5.5152213593593594e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_70min,-6.946366e-05,-7.978062e-05,-9.410507e-05,231.6216216216216,5.391427594594594e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_80min,-6.856369e-05,-7.891582e-05,-9.309725e-05,231.6216216216216,5.3270277297297297e-05
N4789_20_UR_DIODE_GR_Irradiated_60C_90min,-6.760541e-05,-7.757072e-05,-9.133103e-05,232.15215215215215,5.273840037037037e-05
