GCD Test
Bias: 5000.000000
IV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_40min
Date/Time: 3/4/2022 11:39:01 AM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 40 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.6920E-5	-1.6920E-5	-1.331097E-5	-1.331097E-5	   -0.0026	   13.9566	   26.4987	   -4.9744	
  -20.0000	-2.5070E-5	-2.5070E-5	-1.909714E-5	-1.909714E-5	   -0.0000	   13.9774	   26.5585	   -4.9268	
  -30.0000	-3.0480E-5	-3.0480E-5	-2.313590E-5	-2.313590E-5	   -0.0000	   13.9774	   26.5585	   -4.9268	
  -40.0000	-3.5070E-5	-3.5070E-5	-2.658018E-5	-2.658018E-5	   -0.0051	   13.9661	   26.6221	   -4.9050	
  -50.0000	-3.9060E-5	-3.9060E-5	-2.959283E-5	-2.959283E-5	   -0.0077	   13.9655	   26.6543	   -4.8895	
  -60.0000	-4.2610E-5	-4.2610E-5	-3.240666E-5	-3.240666E-5	   -0.0077	   13.9655	   26.6543	   -4.8895	
  -70.0000	-4.5870E-5	-4.5870E-5	-3.503342E-5	-3.503342E-5	   -0.0051	   13.9618	   26.6977	   -4.8712	
  -80.0000	-4.9020E-5	-4.9020E-5	-3.750856E-5	-3.750856E-5	   -0.0051	   13.9765	   26.7157	   -4.8497	
  -90.0000	-5.1990E-5	-5.1990E-5	-3.970076E-5	-3.970076E-5	   -0.0051	   13.9765	   26.7157	   -4.8497	
 -100.0000	-5.4780E-5	-5.4780E-5	-4.189883E-5	-4.189883E-5	   -0.0077	   13.9768	   26.7505	   -4.8323	
 -110.0000	-5.7390E-5	-5.7390E-5	-4.401174E-5	-4.401174E-5	   -0.0051	   13.9858	   26.7786	   -4.8108	
 -120.0000	-6.0010E-5	-6.0010E-5	-4.595966E-5	-4.595966E-5	   -0.0051	   13.9858	   26.7786	   -4.8108	
 -130.0000	-6.2000E-5	-6.2000E-5	-4.759199E-5	-4.759199E-5	    0.0026	   13.9858	   26.7887	   -4.8058	
 -140.0000	-6.4000E-5	-6.4000E-5	-4.913301E-5	-4.913301E-5	   -0.0026	   13.9858	   26.7951	   -4.8058	
 -150.0000	-6.5910E-5	-6.5910E-5	-5.070026E-5	-5.070026E-5	   -0.0026	   13.9994	   26.7951	   -4.7909	
 -160.0000	-6.7470E-5	-6.7470E-5	-5.172774E-5	-5.172774E-5	   -0.0026	   13.9994	   26.7951	   -4.7909	
 -170.0000	-6.8840E-5	-6.8840E-5	-5.276301E-5	-5.276301E-5	   -0.0026	   14.0034	   26.8251	   -4.7727	
 -180.0000	-7.0090E-5	-7.0090E-5	-5.351627E-5	-5.351627E-5	   -0.0000	   13.9905	   26.8352	   -4.7788	
 -190.0000	-7.1140E-5	-7.1140E-5	-5.439017E-5	-5.439017E-5	   -0.0000	   13.9905	   26.8352	   -4.7788	
 -200.0000	-7.2230E-5	-7.2230E-5	-5.497645E-5	-5.497645E-5	   -0.0000	   13.9981	   26.8457	   -4.7672	
 -220.0000	-7.3940E-5	-7.3940E-5	-5.639076E-5	-5.639076E-5	    0.0026	   13.9756	   26.8672	   -4.7758	
 -240.0000	-7.5860E-5	-7.5860E-5	-5.760753E-5	-5.760753E-5	    0.0026	   13.9756	   26.8672	   -4.7758	
