GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODEHALF_GR_Irradiated_Annealed_60C_100min
Date/Time: 3/5/2022 6:21:25 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 100 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.930E-11	9.394E-12	2.711E+6	1.167E+6	   -0.0026	   13.8490	   28.5025	   -4.1019	
  -20.0000	3.073E-11	9.502E-12	4.067E+6	1.523E+6	    0.0026	   13.8469	   28.5114	   -4.0996	
  -30.0000	2.630E-11	9.236E-12	5.113E+6	1.816E+6	    0.0077	   13.8439	   28.5256	   -4.0956	
  -40.0000	2.340E-11	8.895E-12	5.894E+6	2.066E+6	    0.0051	   13.8171	   28.5354	   -4.1142	
  -50.0000	2.143E-11	8.554E-12	6.563E+6	2.293E+6	    0.0051	   13.8171	   28.5316	   -4.1160	
  -60.0000	1.989E-11	8.234E-12	7.160E+6	2.503E+6	    0.0026	   13.8199	   28.5364	   -4.1114	
  -70.0000	1.865E-11	7.929E-12	7.685E+6	2.703E+6	    0.0026	   13.8086	   28.5525	   -4.1135	
  -80.0000	1.760E-11	7.630E-12	8.198E+6	2.899E+6	   -0.0051	   13.8008	   28.5550	   -4.1191	
  -90.0000	1.665E-11	7.319E-12	8.698E+6	3.105E+6	   -0.0051	   13.8116	   28.5576	   -4.1086	
 -100.0000	1.577E-11	6.992E-12	9.193E+6	3.336E+6	   -0.0077	   13.7923	   28.5452	   -4.1311	
 -110.0000	1.484E-11	6.644E-12	9.845E+6	3.621E+6	   -0.0051	   13.7915	   28.5348	   -4.1366	
 -120.0000	1.393E-11	6.306E-12	1.082E+7	3.989E+6	   -0.0051	   13.7915	   28.5465	   -4.1311	
 -130.0000	1.285E-11	5.934E-12	1.210E+7	4.573E+6	   -0.0000	   13.7951	   28.5525	   -4.1253	
 -140.0000	1.172E-11	5.607E-12	1.392E+7	5.430E+6	   -0.0026	   13.7937	   28.5240	   -4.1397	
 -150.0000	1.057E-11	5.348E-12	1.629E+7	6.645E+6	   -0.0051	   13.7890	   28.5101	   -4.1502	
 -160.0000	9.466E-12	5.162E-12	1.922E+7	8.253E+6	   -0.0026	   13.7919	   28.5092	   -4.1482	
 -170.0000	8.476E-12	5.029E-12	2.266E+7	1.029E+7	   -0.0026	   13.8033	   28.5199	   -4.1333	
 -180.0000	7.655E-12	4.937E-12	2.647E+7	1.268E+7	   -0.0102	   13.7903	   28.5202	   -4.1443	
 -190.0000	7.020E-12	4.874E-12	3.071E+7	1.528E+7	   -0.0102	   13.7891	   28.5066	   -4.1518	
 -200.0000	6.548E-12	4.828E-12	3.517E+7	1.808E+7	   -0.0077	   13.7646	   28.5003	   -4.1758	
 -220.0000	5.936E-12	4.774E-12	4.372E+7	2.330E+7	   -0.0051	   13.7797	   28.4687	   -4.1776	
 -240.0000	5.587E-12	4.743E-12	5.135E+7	2.799E+7	   -0.0026	   13.7771	   28.4592	   -4.1843	
 -260.0000	5.368E-12	4.724E-12	5.789E+7	3.187E+7	   -0.0051	   13.7823	   28.4171	   -4.1994	
 -280.0000	5.229E-12	4.711E-12	6.362E+7	3.515E+7	   -0.0026	   13.7768	   28.3893	   -4.2171	
 -300.0000	5.117E-12	4.702E-12	6.811E+7	3.803E+7	   -0.0000	   13.7771	   28.3773	   -4.2225	
 -320.0000	5.042E-12	4.694E-12	7.196E+7	4.032E+7	   -0.0026	   13.7673	   28.3741	   -4.2324	
 -340.0000	4.985E-12	4.689E-12	7.523E+7	4.230E+7	   -0.0000	   13.7604	   28.3567	   -4.2465	
 -360.0000	4.938E-12	4.684E-12	7.775E+7	4.385E+7	    0.0051	   13.7473	   28.3381	   -4.2666	
 -380.0000	4.893E-12	4.680E-12	7.965E+7	4.525E+7	    0.0051	   13.7442	   28.3403	   -4.2682	
 -400.0000	4.865E-12	4.676E-12	8.123E+7	4.631E+7	   -0.0026	   13.7511	   28.3327	   -4.2658	
 -440.0000	4.817E-12	4.671E-12	8.351E+7	4.813E+7	   -0.0000	   13.7403	   28.3251	   -4.2787	
 -480.0000	4.775E-12	4.665E-12	8.401E+7	4.910E+7	   -0.0026	   13.7340	   28.3147	   -4.2889	
 -520.0000	4.742E-12	4.660E-12	8.368E+7	4.952E+7	    0.0026	   13.7329	   28.3020	   -4.2958	
 -560.0000	4.719E-12	4.656E-12	8.240E+7	4.978E+7	   -0.0000	   13.7359	   28.3046	   -4.2921	
 -600.0000	4.693E-12	4.653E-12	8.080E+7	4.975E+7	    0.0051	   13.7446	   28.3023	   -4.2856	
 -640.0000	4.670E-12	4.649E-12	7.910E+7	4.953E+7	    0.0026	   13.7186	   28.3178	   -4.3007	
 -680.0000	4.645E-12	4.646E-12	7.620E+7	4.884E+7	   -0.0000	   13.7216	   28.3340	   -4.2906	
 -720.0000	4.615E-12	4.643E-12	7.396E+7	4.825E+7	   -0.0000	   13.6998	   28.3390	   -4.3070	
 -760.0000	4.606E-12	4.640E-12	7.112E+7	4.743E+7	    0.0051	   13.7106	   28.3289	   -4.3025	
 -800.0000	4.579E-12	4.636E-12	6.830E+7	4.656E+7	   -0.0000	   13.7089	   28.3219	   -4.3072	
 -840.0000	4.558E-12	4.634E-12	6.513E+7	4.519E+7	   -0.0000	   13.7070	   28.3128	   -4.3131	
 -880.0000	4.526E-12	4.631E-12	6.221E+7	4.406E+7	   -0.0000	   13.6938	   28.3080	   -4.3267	
 -920.0000	4.519E-12	4.628E-12	5.913E+7	4.251E+7	   -0.0077	   13.6938	   28.3071	   -4.3272	
 -960.0000	4.484E-12	4.625E-12	5.560E+7	4.103E+7	   -0.0051	   13.7059	   28.3058	   -4.3174	
-1000.0000	4.456E-12	4.621E-12	5.194E+7	3.918E+7	   -0.0026	   13.6888	   28.3299	   -4.3208	
