GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODEHALF_GR_Irradiated_Annealed_60C_20min
Date/Time: 3/3/2022 5:53:16 PM
Sensor Name: DIODEHALF
Type: 
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.296E-11	9.487E-12	2.418E+6	1.058E+6	    0.0026	   14.0382	   28.9494	   -3.7315	
  -20.0000	3.346E-11	9.620E-12	3.524E+6	1.367E+6	   -0.0026	   14.0393	   28.9304	   -3.7394	
  -30.0000	2.802E-11	9.342E-12	4.464E+6	1.654E+6	   -0.0026	   14.0441	   28.9298	   -3.7355	
  -40.0000	2.466E-11	9.024E-12	5.246E+6	1.907E+6	   -0.0000	   14.0513	   28.9292	   -3.7296	
  -50.0000	2.232E-11	8.674E-12	5.903E+6	2.145E+6	   -0.0000	   14.0488	   28.9140	   -3.7387	
  -60.0000	2.050E-11	8.353E-12	6.517E+6	2.362E+6	   -0.0000	   14.0539	   28.9143	   -3.7342	
  -70.0000	1.910E-11	8.046E-12	7.057E+6	2.569E+6	    0.0026	   14.0461	   28.9032	   -3.7460	
  -80.0000	1.792E-11	7.753E-12	7.564E+6	2.765E+6	    0.0051	   14.0319	   28.9070	   -3.7565	
  -90.0000	1.687E-11	7.450E-12	8.069E+6	2.964E+6	    0.0051	   14.0290	   28.8795	   -3.7717	
 -100.0000	1.599E-11	7.126E-12	8.523E+6	3.181E+6	    0.0051	   14.0257	   28.8738	   -3.7772	
 -110.0000	1.504E-11	6.770E-12	9.073E+6	3.444E+6	    0.0026	   14.0158	   28.8574	   -3.7933	
 -120.0000	1.412E-11	6.417E-12	9.878E+6	3.777E+6	   -0.0000	   14.0158	   28.8479	   -3.7977	
 -130.0000	1.302E-11	6.021E-12	1.093E+7	4.304E+6	    0.0026	   14.0168	   28.8362	   -3.8022	
 -140.0000	1.190E-11	5.671E-12	1.235E+7	5.072E+6	    0.0026	   14.0112	   28.8447	   -3.8031	
 -150.0000	1.073E-11	5.392E-12	1.431E+7	6.176E+6	   -0.0000	   13.9918	   28.8359	   -3.8240	
 -160.0000	9.626E-12	5.191E-12	1.671E+7	7.645E+6	    0.0051	   14.0047	   28.8482	   -3.8072	
 -170.0000	8.622E-12	5.053E-12	1.958E+7	9.438E+6	    0.0026	   13.9804	   28.8371	   -3.8333	
 -180.0000	7.811E-12	4.959E-12	2.267E+7	1.150E+7	   -0.0026	   13.9981	   28.8454	   -3.8142	
 -190.0000	7.175E-12	4.894E-12	2.604E+7	1.372E+7	   -0.0000	   13.9981	   28.8637	   -3.8057	
 -200.0000	6.689E-12	4.848E-12	2.963E+7	1.603E+7	   -0.0000	   13.9996	   28.8748	   -3.7993	
 -220.0000	6.048E-12	4.792E-12	3.643E+7	2.049E+7	    0.0051	   13.9903	   28.8808	   -3.8046	
 -240.0000	5.677E-12	4.760E-12	4.242E+7	2.433E+7	    0.0051	   13.9733	   28.9023	   -3.8094	
 -260.0000	5.445E-12	4.739E-12	4.741E+7	2.763E+7	   -0.0000	   13.9868	   28.8950	   -3.8010	
 -280.0000	5.285E-12	4.725E-12	5.175E+7	3.041E+7	   -0.0000	   13.9785	   28.8877	   -3.8116	
 -300.0000	5.169E-12	4.714E-12	5.525E+7	3.284E+7	   -0.0026	   13.9699	   28.8808	   -3.8222	
 -320.0000	5.086E-12	4.706E-12	5.845E+7	3.487E+7	   -0.0000	   13.9788	   28.8707	   -3.8192	
 -340.0000	5.020E-12	4.700E-12	6.083E+7	3.657E+7	   -0.0026	   13.9716	   28.8707	   -3.8254	
 -360.0000	4.956E-12	4.694E-12	6.322E+7	3.787E+7	   -0.0051	   13.9781	   28.8640	   -3.8229	
 -380.0000	4.913E-12	4.689E-12	6.443E+7	3.911E+7	   -0.0026	   13.9697	   28.8776	   -3.8238	
 -400.0000	4.881E-12	4.686E-12	6.565E+7	4.002E+7	   -0.0051	   13.9709	   28.8757	   -3.8236	
 -440.0000	4.822E-12	4.678E-12	6.690E+7	4.157E+7	   -0.0102	   13.9589	   28.8868	   -3.8290	
 -480.0000	4.775E-12	4.672E-12	6.762E+7	4.241E+7	   -0.0051	   13.9746	   28.8814	   -3.8178	
 -520.0000	4.742E-12	4.668E-12	6.752E+7	4.291E+7	   -0.0077	   13.9746	   28.9086	   -3.8053	
 -560.0000	4.699E-12	4.663E-12	6.620E+7	4.298E+7	   -0.0102	   13.9634	   28.9238	   -3.8080	
 -600.0000	4.675E-12	4.658E-12	6.509E+7	4.282E+7	   -0.0077	   13.9655	   28.9307	   -3.8030	
 -640.0000	4.640E-12	4.654E-12	6.325E+7	4.233E+7	   -0.0051	   13.9589	   28.9367	   -3.8059	
 -680.0000	4.610E-12	4.651E-12	6.126E+7	4.171E+7	   -0.0077	   13.9606	   28.9374	   -3.8041	
 -720.0000	4.591E-12	4.648E-12	5.934E+7	4.124E+7	   -0.0051	   13.9540	   28.9690	   -3.7953	
 -760.0000	4.559E-12	4.644E-12	5.712E+7	4.025E+7	   -0.0051	   13.9405	   28.9839	   -3.8002	
 -800.0000	4.541E-12	4.641E-12	5.489E+7	3.934E+7	   -0.0051	   13.9580	   29.0076	   -3.7742	
 -840.0000	4.503E-12	4.636E-12	5.207E+7	3.838E+7	   -0.0026	   13.9499	   29.0319	   -3.7700	
 -880.0000	4.471E-12	4.633E-12	4.966E+7	3.725E+7	   -0.0051	   13.9345	   29.0376	   -3.7807	
 -920.0000	4.442E-12	4.629E-12	4.714E+7	3.587E+7	   -0.0000	   13.9335	   29.0595	   -3.7715	
 -960.0000	4.425E-12	4.626E-12	4.438E+7	3.458E+7	   -0.0051	   13.9358	   29.0841	   -3.7582	
-1000.0000	4.401E-12	4.622E-12	4.160E+7	3.301E+7	   -0.0051	   13.9366	   29.0987	   -3.7509	
