GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODEHALF_GR_Irradiated_Annealed_60C_30min
Date/Time: 3/4/2022 10:37:25 AM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 30 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.230E-11	9.455E-12	2.464E+6	1.076E+6	   -0.0000	   13.0169	   29.1651	   -4.5164	
  -20.0000	3.285E-11	9.563E-12	3.627E+6	1.400E+6	   -0.0026	   13.0032	   29.1828	   -4.5202	
  -30.0000	2.776E-11	9.318E-12	4.589E+6	1.686E+6	    0.0026	   12.9936	   29.1977	   -4.5218	
  -40.0000	2.432E-11	8.980E-12	5.384E+6	1.943E+6	    0.0051	   12.9945	   29.2037	   -4.5183	
  -50.0000	2.203E-11	8.638E-12	6.060E+6	2.180E+6	    0.0026	   12.9862	   29.1983	   -4.5279	
  -60.0000	2.028E-11	8.316E-12	6.677E+6	2.398E+6	    0.0051	   12.9862	   29.1996	   -4.5273	
  -70.0000	1.894E-11	7.997E-12	7.203E+6	2.610E+6	   -0.0000	   13.0106	   29.2052	   -4.5037	
  -80.0000	1.777E-11	7.702E-12	7.726E+6	2.809E+6	    0.0051	   13.0161	   29.2201	   -4.4921	
  -90.0000	1.677E-11	7.392E-12	8.226E+6	3.016E+6	   -0.0000	   13.0185	   29.2211	   -4.4897	
 -100.0000	1.586E-11	7.073E-12	8.706E+6	3.234E+6	   -0.0000	   13.0041	   29.2287	   -4.4987	
 -110.0000	1.492E-11	6.725E-12	9.282E+6	3.499E+6	    0.0051	   12.9839	   29.2239	   -4.5183	
 -120.0000	1.400E-11	6.367E-12	1.013E+7	3.854E+6	   -0.0051	   12.9918	   29.2163	   -4.5149	
 -130.0000	1.293E-11	5.981E-12	1.120E+7	4.398E+6	    0.0026	   12.9964	   29.2268	   -4.5062	
 -140.0000	1.177E-11	5.636E-12	1.277E+7	5.206E+6	   -0.0026	   12.9812	   29.2179	   -4.5234	
 -150.0000	1.062E-11	5.363E-12	1.481E+7	6.370E+6	   -0.0051	   12.9885	   29.2075	   -4.5218	
 -160.0000	9.515E-12	5.168E-12	1.736E+7	7.906E+6	   -0.0000	   13.0014	   29.1980	   -4.5149	
 -170.0000	8.525E-12	5.034E-12	2.037E+7	9.795E+6	   -0.0026	   12.9937	   29.1768	   -4.5312	
 -180.0000	7.717E-12	4.946E-12	2.371E+7	1.190E+7	   -0.0026	   12.9797	   29.1629	   -4.5496	
 -190.0000	7.087E-12	4.883E-12	2.724E+7	1.424E+7	   -0.0000	   12.9843	   29.1467	   -4.5529	
 -200.0000	6.615E-12	4.838E-12	3.096E+7	1.669E+7	   -0.0026	   12.9884	   29.1464	   -4.5495	
 -220.0000	5.999E-12	4.784E-12	3.808E+7	2.123E+7	   -0.0026	   12.9736	   29.1249	   -4.5721	
 -240.0000	5.643E-12	4.753E-12	4.444E+7	2.530E+7	   -0.0026	   12.9725	   29.0971	   -4.5857	
 -260.0000	5.415E-12	4.734E-12	4.990E+7	2.860E+7	   -0.0000	   12.9832	   29.0857	   -4.5817	
 -280.0000	5.262E-12	4.719E-12	5.434E+7	3.160E+7	    0.0026	   12.9884	   29.0522	   -4.5924	
 -300.0000	5.151E-12	4.709E-12	5.822E+7	3.410E+7	   -0.0000	   12.9824	   29.0430	   -4.6018	
 -320.0000	5.069E-12	4.701E-12	6.126E+7	3.611E+7	   -0.0000	   12.9699	   29.0440	   -4.6121	
 -340.0000	5.004E-12	4.695E-12	6.412E+7	3.782E+7	   -0.0026	   12.9624	   29.0338	   -4.6232	
 -360.0000	4.946E-12	4.690E-12	6.626E+7	3.929E+7	   -0.0000	   12.9651	   29.0278	   -4.6237	
