GCD Test
Bias: 5000.000000
IV_N4789_20_UR_DIODEHALF_GR_Irradiated_Annealed_60C_80min
Date/Time: 3/5/2022 3:40:20 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-5.3500E-6	-5.3500E-6	-3.322761E-6	-3.322761E-6	   -0.0026	   13.0881	   29.1392	   -4.4666	
  -20.0000	-7.6090E-6	-7.6090E-6	-4.596016E-6	-4.596016E-6	   -0.0051	   13.0881	   29.1607	   -4.4666	
  -30.0000	-9.2330E-6	-9.2330E-6	-5.529496E-6	-5.529496E-6	   -0.0051	   13.0851	   29.1607	   -4.4594	
  -40.0000	-1.0540E-5	-1.0540E-5	-6.331445E-6	-6.331445E-6	   -0.0026	   13.0932	   29.1603	   -4.4525	
  -50.0000	-1.1690E-5	-1.1690E-5	-7.054517E-6	-7.054517E-6	   -0.0026	   13.0932	   29.1664	   -4.4525	
  -60.0000	-1.2710E-5	-1.2710E-5	-7.695643E-6	-7.695643E-6	   -0.0026	   13.0887	   29.1664	   -4.4536	
  -70.0000	-1.3660E-5	-1.3660E-5	-8.296042E-6	-8.296042E-6	   -0.0077	   13.0902	   29.1641	   -4.4534	
  -80.0000	-1.4540E-5	-1.4540E-5	-8.857127E-6	-8.857127E-6	   -0.0026	   13.0902	   29.1641	   -4.4534	
  -90.0000	-1.5330E-5	-1.5330E-5	-9.390792E-6	-9.390792E-6	   -0.0026	   13.0999	   29.1641	   -4.4450	
 -100.0000	-1.6110E-5	-1.6110E-5	-9.915292E-6	-9.915292E-6	    0.0026	   13.1091	   29.1600	   -4.4389	
 -110.0000	-1.6870E-5	-1.6870E-5	-1.037628E-5	-1.037628E-5	   -0.0026	   13.1091	   29.1600	   -4.4389	
 -120.0000	-1.7570E-5	-1.7570E-5	-1.083066E-5	-1.083066E-5	   -0.0026	   13.1217	   29.1578	   -4.4290	
 -130.0000	-1.8230E-5	-1.8230E-5	-1.123742E-5	-1.123742E-5	   -0.0026	   13.1217	   29.1550	   -4.4303	
 -140.0000	-1.8790E-5	-1.8790E-5	-1.155849E-5	-1.155849E-5	   -0.0026	   13.1217	   29.1550	   -4.4303	
 -150.0000	-1.9300E-5	-1.9300E-5	-1.189408E-5	-1.189408E-5	   -0.0000	   13.1291	   29.1433	   -4.4292	
 -160.0000	-1.9750E-5	-1.9750E-5	-1.216413E-5	-1.216413E-5	    0.0026	   13.1239	   29.1240	   -4.4425	
 -170.0000	-2.0150E-5	-2.0150E-5	-1.241426E-5	-1.241426E-5	    0.0026	   13.1239	   29.1240	   -4.4425	
 -180.0000	-2.0540E-5	-2.0540E-5	-1.260105E-5	-1.260105E-5	    0.0026	   13.1166	   29.1218	   -4.4498	
 -190.0000	-2.0860E-5	-2.0860E-5	-1.279367E-5	-1.279367E-5	    0.0051	   13.1273	   29.1050	   -4.4482	
 -200.0000	-2.1170E-5	-2.1170E-5	-1.293317E-5	-1.293317E-5	    0.0051	   13.1273	   29.1050	   -4.4482	
 -220.0000	-2.1730E-5	-2.1730E-5	-1.322391E-5	-1.322391E-5	    0.0026	   13.1277	   29.0841	   -4.4573	
 -240.0000	-2.2210E-5	-2.2210E-5	-1.347696E-5	-1.347696E-5	    0.0026	   13.1349	   29.0908	   -4.4481	
 -260.0000	-2.2700E-5	-2.2700E-5	-1.374888E-5	-1.374888E-5	    0.0026	   13.1349	   29.0908	   -4.4481	
 -280.0000	-2.3110E-5	-2.3110E-5	-1.391728E-5	-1.391728E-5	   -0.0000	   13.1290	   29.0791	   -4.4585	
 -300.0000	-2.3500E-5	-2.3500E-5	-1.413372E-5	-1.413372E-5	   -0.0000	   13.1376	   29.0746	   -4.4531	
 -320.0000	-2.3930E-5	-2.3930E-5	-1.434721E-5	-1.434721E-5	   -0.0000	   13.1376	   29.0746	   -4.4531	
