GCD Test
Bias: 5000.000000
IV_N4789_20_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_50min
Date/Time: 3/4/2022 1:39:54 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 50 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-1.6980E-6	-1.6980E-6	-7.447995E-7	-7.447995E-7	   -1.8417	   13.2400	   27.5430	   -5.0796	
  -20.0000	-2.4430E-6	-2.4430E-6	-1.035712E-6	-1.035712E-6	   -1.9773	   13.2423	   27.6195	   -5.0411	
  -30.0000	-2.9770E-6	-2.9770E-6	-1.251411E-6	-1.251411E-6	   -2.0974	   13.2423	   27.7192	   -5.0411	
  -40.0000	-3.4110E-6	-3.4110E-6	-1.433528E-6	-1.433528E-6	   -2.0974	   13.2307	   27.7192	   -5.0037	
  -50.0000	-3.7820E-6	-3.7820E-6	-1.594052E-6	-1.594052E-6	   -2.1639	   13.2261	   27.7824	   -4.9775	
  -60.0000	-4.1240E-6	-4.1240E-6	-1.743755E-6	-1.743755E-6	   -2.2330	   13.2261	   27.8596	   -4.9775	
  -70.0000	-4.4500E-6	-4.4500E-6	-1.893799E-6	-1.893799E-6	   -2.2330	   13.2181	   27.8596	   -4.9479	
  -80.0000	-4.7560E-6	-4.7560E-6	-2.031904E-6	-2.031904E-6	   -2.2611	   13.2361	   27.9054	   -4.9107	
  -90.0000	-5.0510E-6	-5.0510E-6	-2.164458E-6	-2.164458E-6	   -2.2713	   13.2361	   27.9750	   -4.9107	
 -100.0000	-5.3500E-6	-5.3500E-6	-2.289376E-6	-2.289376E-6	   -2.2713	   13.2221	   27.9750	   -4.8898	
 -110.0000	-5.6340E-6	-5.6340E-6	-2.418072E-6	-2.418072E-6	   -2.2509	   13.2221	   28.0459	   -4.8898	
 -120.0000	-5.9050E-6	-5.9050E-6	-2.534950E-6	-2.534950E-6	   -2.2509	   13.2268	   28.0459	   -4.8524	
 -130.0000	-6.1650E-6	-6.1650E-6	-2.650656E-6	-2.650656E-6	   -2.2509	   13.2268	   28.0459	   -4.8524	
 -140.0000	-6.4250E-6	-6.4250E-6	-2.757916E-6	-2.757916E-6	   -2.1946	   13.2087	   28.1078	   -4.8389	
 -150.0000	-6.6630E-6	-6.6630E-6	-2.851257E-6	-2.851257E-6	   -2.1358	   13.2087	   28.1392	   -4.8242	
 -160.0000	-6.8940E-6	-6.8940E-6	-2.941317E-6	-2.941317E-6	   -2.0386	   13.2087	   28.1392	   -4.8242	
 -170.0000	-7.1180E-6	-7.1180E-6	-3.026974E-6	-3.026974E-6	   -2.0386	   13.2180	   28.1686	   -4.8023	
 -180.0000	-7.3040E-6	-7.3040E-6	-3.101259E-6	-3.101259E-6	   -1.9594	   13.2180	   28.1818	   -4.7961	
 -190.0000	-7.5130E-6	-7.5130E-6	-3.167729E-6	-3.167729E-6	   -1.8443	   13.2180	   28.1818	   -4.7961	
 -200.0000	-7.6920E-6	-7.6920E-6	-3.241684E-6	-3.241684E-6	   -1.8443	   13.2208	   28.2084	   -4.7813	
 -220.0000	-7.9910E-6	-7.9910E-6	-3.330781E-6	-3.330781E-6	   -1.7497	   13.2208	   28.2309	   -4.7708	
 -240.0000	-8.2570E-6	-8.2570E-6	-3.424672E-6	-3.424672E-6	   -1.6244	   13.2208	   28.2653	   -4.7708	
 -260.0000	-8.5040E-6	-8.5040E-6	-3.512071E-6	-3.512071E-6	   -1.6244	   13.2237	   28.2653	   -4.7521	
 -280.0000	-8.7670E-6	-8.7670E-6	-3.595952E-6	-3.595952E-6	   -1.5297	   13.2182	   28.2966	   -4.7422	
 -300.0000	-9.0000E-6	-9.0000E-6	-3.674598E-6	-3.674598E-6	   -1.4121	   13.2182	   28.3121	   -4.7422	
 -320.0000	-9.2280E-6	-9.2280E-6	-3.748136E-6	-3.748136E-6	   -1.4121	   13.2196	   28.3121	   -4.7338	
 -340.0000	-9.4530E-6	-9.4530E-6	-3.835815E-6	-3.835815E-6	   -1.3175	   13.2151	   28.3374	   -4.7259	
 -360.0000	-9.6640E-6	-9.6640E-6	-3.905036E-6	-3.905036E-6	   -1.1972	   13.2151	   28.3555	   -4.7259	
 -380.0000	-9.8770E-6	-9.8770E-6	-3.962059E-6	-3.962059E-6	   -1.1972	   13.2219	   28.3555	   -4.7116	
 -400.0000	-1.0080E-5	-1.0080E-5	-4.043430E-6	-4.043430E-6	   -1.1154	   13.2273	   28.3697	   -4.7003	
 -440.0000	-1.0450E-5	-1.0450E-5	-4.168805E-6	-4.168805E-6	   -1.0233	   13.2169	   28.3884	   -4.7006	
 -480.0000	-1.0810E-5	-1.0810E-5	-4.297023E-6	-4.297023E-6	   -1.0233	   13.2169	   28.3884	   -4.7006	
 -520.0000	-1.1170E-5	-1.1170E-5	-4.421555E-6	-4.421555E-6	   -0.9159	   13.2305	   28.4137	   -4.6771	
 -560.0000	-1.1510E-5	-1.1510E-5	-4.552033E-6	-4.552033E-6	   -0.8315	   13.2569	   28.4336	   -4.6451	
 -600.0000	-1.1870E-5	-1.1870E-5	-4.679034E-6	-4.679034E-6	   -0.8315	   13.2569	   28.4336	   -4.6451	
 -640.0000	-1.2260E-5	-1.2260E-5	-4.816972E-6	-4.816972E-6	   -0.7215	   13.2592	   28.4428	   -4.6389	
 -680.0000	-1.2640E-5	-1.2640E-5	-4.962569E-6	-4.962569E-6	   -0.6447	   13.2590	   28.4589	   -4.6315	
 -720.0000	-1.3040E-5	-1.3040E-5	-5.116473E-6	-5.116473E-6	   -0.6447	   13.2590	   28.4589	   -4.6315	
 -760.0000	-1.3440E-5	-1.3440E-5	-5.276836E-6	-5.276836E-6	   -0.5347	   13.2559	   28.4693	   -4.6293	
 -800.0000	-1.3820E-5	-1.3820E-5	-5.441922E-6	-5.441922E-6	   -0.4708	   13.2645	   28.4731	   -4.6202	
 -840.0000	-1.4280E-5	-1.4280E-5	-5.605471E-6	-5.605471E-6	   -0.4708	   13.2645	   28.4731	   -4.6202	
 -880.0000	-1.4750E-5	-1.4750E-5	-5.795729E-6	-5.795729E-6	   -0.3633	   13.2546	   28.4807	   -4.6252	
 -920.0000	-1.5250E-5	-1.5250E-5	-5.994622E-6	-5.994622E-6	   -0.3045	   13.2464	   28.4877	   -4.6290	
 -960.0000	-1.5760E-5	-1.5760E-5	-6.222579E-6	-6.222579E-6	   -0.3045	   13.2464	   28.4877	   -4.6290	
-1000.0000	-1.6320E-5	-1.6320E-5	-6.448979E-6	-6.448979E-6	   -0.1970	   13.2560	   28.4927	   -4.6183	
