GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODE_GR_Irradiated_Annealed_60C_30min
Date/Time: 3/9/2022 7:16:13 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 30 minutes
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.621E-10	3.983E-11	5.960E+5	2.728E+5	    0.0077	   14.8705	   28.1009	   -3.4105	
  -20.0000	1.336E-10	4.058E-11	8.719E+5	3.420E+5	   -0.0000	   14.8725	   28.1401	   -3.3901	
  -30.0000	1.158E-10	3.977E-11	1.088E+6	4.033E+5	   -0.0051	   14.8668	   28.1436	   -3.3934	
  -40.0000	1.035E-10	3.861E-11	1.266E+6	4.602E+5	   -0.0051	   14.8581	   28.1714	   -3.3877	
  -50.0000	9.443E-11	3.745E-11	1.422E+6	5.133E+5	   -0.0154	   14.8507	   28.1939	   -3.3834	
  -60.0000	8.725E-11	3.634E-11	1.564E+6	5.636E+5	   -0.0205	   14.8475	   28.2018	   -3.3824	
  -70.0000	8.147E-11	3.526E-11	1.692E+6	6.121E+5	   -0.0256	   14.8441	   28.2119	   -3.3806	
  -80.0000	7.669E-11	3.426E-11	1.809E+6	6.581E+5	   -0.0281	   14.8357	   28.2460	   -3.3716	
  -90.0000	7.249E-11	3.325E-11	1.926E+6	7.046E+5	   -0.0307	   14.8234	   28.2802	   -3.3661	
 -100.0000	6.881E-11	3.226E-11	2.034E+6	7.504E+5	   -0.0281	   14.8011	   28.2941	   -3.3787	
 -110.0000	6.551E-11	3.120E-11	2.140E+6	8.006E+5	   -0.0333	   14.8011	   28.3264	   -3.3635	
 -120.0000	6.244E-11	3.015E-11	2.267E+6	8.558E+5	   -0.0333	   14.7962	   28.3355	   -3.3634	
 -130.0000	5.913E-11	2.900E-11	2.408E+6	9.235E+5	   -0.0333	   14.7858	   28.3552	   -3.3630	
 -140.0000	5.574E-11	2.780E-11	2.584E+6	1.013E+6	   -0.0333	   14.7843	   28.3700	   -3.3573	
 -150.0000	5.226E-11	2.661E-11	2.803E+6	1.134E+6	   -0.0333	   14.7812	   28.3861	   -3.3524	
 -160.0000	4.874E-11	2.557E-11	3.078E+6	1.289E+6	   -0.0307	   14.7765	   28.4295	   -3.3361	
 -170.0000	4.523E-11	2.468E-11	3.407E+6	1.494E+6	   -0.0333	   14.7715	   28.4554	   -3.3282	
 -180.0000	4.182E-11	2.398E-11	3.773E+6	1.746E+6	   -0.0307	   14.7715	   28.4775	   -3.3178	
 -190.0000	3.842E-11	2.340E-11	4.183E+6	2.045E+6	   -0.0256	   14.7464	   28.4962	   -3.3307	
 -200.0000	3.554E-11	2.299E-11	4.618E+6	2.391E+6	   -0.0205	   14.7444	   28.5294	   -3.3169	
 -220.0000	3.094E-11	2.244E-11	5.600E+6	3.190E+6	   -0.0230	   14.7273	   28.5417	   -3.3258	
 -240.0000	2.789E-11	2.212E-11	6.582E+6	4.054E+6	   -0.0179	   14.7272	   28.5734	   -3.3111	
 -260.0000	2.590E-11	2.193E-11	7.521E+6	4.898E+6	   -0.0154	   14.7167	   28.6059	   -3.3049	
 -280.0000	2.453E-11	2.180E-11	8.290E+6	5.660E+6	   -0.0102	   14.7115	   28.6268	   -3.2997	
 -300.0000	2.364E-11	2.172E-11	9.001E+6	6.322E+6	   -0.0077	   14.6988	   28.6376	   -3.3056	
 -320.0000	2.292E-11	2.166E-11	9.570E+6	6.883E+6	   -0.0051	   14.6658	   28.6654	   -3.3211	
 -340.0000	2.251E-11	2.162E-11	1.003E+7	7.358E+6	   -0.0051	   14.7167	   28.6935	   -3.2640	
 -360.0000	2.210E-11	2.158E-11	1.044E+7	7.744E+6	   -0.0026	   14.6904	   28.7239	   -3.2726	
 -380.0000	2.185E-11	2.156E-11	1.073E+7	8.111E+6	   -0.0051	   14.6990	   28.7372	   -3.2590	
 -400.0000	2.151E-11	2.153E-11	1.096E+7	8.367E+6	   -0.0000	   14.6698	   28.7596	   -3.2737	
 -440.0000	2.122E-11	2.149E-11	1.132E+7	8.800E+6	    0.0077	   14.6806	   28.7720	   -3.2587	
 -480.0000	2.083E-11	2.146E-11	1.134E+7	9.051E+6	    0.0102	   14.6617	   28.7780	   -3.2722	
 -520.0000	2.059E-11	2.144E-11	1.124E+7	9.159E+6	    0.0128	   14.6447	   28.7985	   -3.2773	
 -560.0000	2.047E-11	2.141E-11	1.119E+7	9.154E+6	    0.0154	   14.6402	   28.8318	   -3.2658	
 -600.0000	2.018E-11	2.139E-11	1.082E+7	9.132E+6	    0.0179	   14.6393	   28.8450	   -3.2604	
 -640.0000	2.013E-11	2.137E-11	1.060E+7	9.007E+6	    0.0154	   14.6445	   28.8476	   -3.2547	
 -680.0000	2.001E-11	2.135E-11	1.027E+7	8.821E+6	    0.0154	   14.6410	   28.8710	   -3.2469	
 -720.0000	1.972E-11	2.133E-11	1.003E+7	8.645E+6	    0.0154	   14.6321	   28.9070	   -3.2379	
 -760.0000	1.986E-11	2.131E-11	9.589E+6	8.391E+6	    0.0154	   14.6092	   28.9184	   -3.2524	
 -800.0000	1.934E-11	2.129E-11	9.057E+6	8.170E+6	    0.0154	   14.6275	   28.9443	   -3.2246	
 -840.0000	1.901E-11	2.127E-11	8.801E+6	7.890E+6	    0.0179	   14.6255	   29.0022	   -3.1995	
 -880.0000	1.946E-11	2.125E-11	8.534E+6	7.605E+6	    0.0154	   14.6125	   29.0070	   -3.2086	
 -920.0000	1.850E-11	2.123E-11	7.911E+6	7.270E+6	    0.0154	   14.6100	   29.0231	   -3.2034	
 -960.0000	1.854E-11	2.120E-11	7.563E+6	6.919E+6	    0.0128	   14.5942	   29.0405	   -3.2089	
-1000.0000	1.902E-11	2.118E-11	7.022E+6	6.558E+6	    0.0026	   14.5936	   29.0380	   -3.2107	
