GCD Test
Bias: 5000.000000
CV_N4789_20_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_10min
Date/Time: 3/7/2022 1:24:27 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Irradiated and Annealed at 60C for 10 minutes
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.193E-11	2.004E-12	1.275E+7	4.185E+6	   -0.0051	   13.9410	   30.5636	   -3.0907	
  -20.0000	9.682E-12	2.356E-12	1.870E+7	4.721E+6	   -0.0000	   13.9216	   30.5775	   -3.1015	
  -30.0000	8.360E-12	2.341E-12	2.367E+7	5.347E+6	   -0.0026	   13.9061	   30.5974	   -3.1063	
  -40.0000	7.555E-12	2.298E-12	2.709E+7	5.884E+6	   -0.0000	   13.9420	   30.6113	   -3.0690	
  -50.0000	6.952E-12	2.240E-12	2.997E+7	6.381E+6	   -0.0000	   13.9224	   30.6341	   -3.0760	
  -60.0000	6.493E-12	2.182E-12	3.236E+7	6.839E+6	    0.0026	   13.9191	   30.6445	   -3.0743	
  -70.0000	6.114E-12	2.122E-12	3.445E+7	7.279E+6	    0.0026	   13.9146	   30.6556	   -3.0734	
  -80.0000	5.804E-12	2.062E-12	3.632E+7	7.701E+6	    0.0051	   13.9217	   30.6850	   -3.0544	
  -90.0000	5.523E-12	2.009E-12	3.812E+7	8.092E+6	   -0.0000	   13.9124	   30.7192	   -3.0476	
 -100.0000	5.288E-12	1.956E-12	3.972E+7	8.477E+6	   -0.0000	   13.9124	   30.7217	   -3.0464	
 -110.0000	5.069E-12	1.904E-12	4.135E+7	8.859E+6	   -0.0000	   13.9059	   30.7160	   -3.0545	
 -120.0000	4.899E-12	1.844E-12	4.320E+7	9.162E+6	   -0.0051	   13.8842	   30.7103	   -3.0760	
 -130.0000	4.715E-12	1.813E-12	4.469E+7	9.575E+6	   -0.0051	   13.8914	   30.7242	   -3.0636	
 -140.0000	4.552E-12	1.762E-12	4.616E+7	9.964E+6	   -0.0026	   13.8738	   30.7306	   -3.0762	
 -150.0000	4.395E-12	1.719E-12	4.768E+7	1.034E+7	   -0.0000	   13.8835	   30.8061	   -3.0348	
 -160.0000	4.250E-12	1.676E-12	4.924E+7	1.072E+7	   -0.0000	   13.8960	   30.8188	   -3.0184	
 -170.0000	4.109E-12	1.634E-12	5.059E+7	1.110E+7	   -0.0000	   13.8930	   30.8577	   -3.0041	
 -180.0000	3.979E-12	1.594E-12	5.218E+7	1.147E+7	    0.0026	   13.8849	   30.8972	   -2.9940	
 -190.0000	3.860E-12	1.554E-12	5.368E+7	1.186E+7	    0.0026	   13.8663	   30.9058	   -3.0065	
 -200.0000	3.742E-12	1.514E-12	5.521E+7	1.224E+7	   -0.0000	   13.9111	   30.9077	   -2.9666	
 -220.0000	3.514E-12	1.437E-12	5.877E+7	1.306E+7	   -0.0000	   13.8891	   30.9279	   -2.9770	
 -240.0000	3.301E-12	1.362E-12	6.275E+7	1.396E+7	   -0.0051	   13.8916	   30.9282	   -2.9747	
 -260.0000	3.079E-12	1.285E-12	6.801E+7	1.500E+7	   -0.0051	   13.8773	   30.9352	   -2.9841	
 -280.0000	2.857E-12	1.204E-12	7.436E+7	1.628E+7	   -0.0077	   13.8714	   30.9178	   -2.9969	
 -300.0000	2.628E-12	1.120E-12	8.239E+7	1.789E+7	   -0.0026	   13.8664	   30.9260	   -2.9977	
 -320.0000	2.396E-12	1.033E-12	9.231E+7	1.993E+7	   -0.0051	   13.8664	   30.9386	   -2.9922	
 -340.0000	2.159E-12	9.462E-13	1.043E+8	2.266E+7	   -0.0026	   13.8745	   30.9728	   -2.9703	
 -360.0000	1.925E-12	8.611E-13	1.181E+8	2.652E+7	   -0.0026	   13.8832	   30.9674	   -2.9651	
 -380.0000	1.693E-12	7.846E-13	1.344E+8	3.212E+7	   -0.0026	   13.8559	   30.9886	   -2.9796	
 -400.0000	1.463E-12	7.237E-13	1.533E+8	3.981E+7	   -0.0051	   13.8634	   30.9949	   -2.9703	
 -440.0000	1.104E-12	6.516E-13	2.030E+8	6.035E+7	   -0.0051	   13.8645	   31.0149	   -2.9608	
 -480.0000	9.242E-13	6.238E-13	2.552E+8	7.884E+7	   -0.0000	   13.8688	   31.0297	   -2.9506	
 -520.0000	8.510E-13	6.140E-13	2.923E+8	8.947E+7	   -0.0000	   13.8380	   31.0664	   -2.9616	
 -560.0000	8.158E-13	6.095E-13	3.161E+8	9.496E+7	   -0.0000	   13.8184	   31.0775	   -2.9739	
 -600.0000	7.919E-13	6.069E-13	3.244E+8	9.773E+7	   -0.0026	   13.8387	   31.0876	   -2.9518	
 -640.0000	7.845E-13	6.054E-13	3.283E+8	9.964E+7	   -0.0026	   13.8387	   31.0797	   -2.9552	
 -680.0000	6.956E-13	5.943E-13	3.086E+8	1.031E+8	   -0.0051	   13.8363	   31.0882	   -2.9536	
 -720.0000	6.934E-13	5.930E-13	2.999E+8	1.033E+8	   -0.0051	   13.8253	   31.1047	   -2.9561	
 -760.0000	6.871E-13	5.923E-13	2.929E+8	1.027E+8	   -0.0051	   13.8146	   31.1186	   -2.9594	
 -800.0000	6.828E-13	5.914E-13	2.821E+8	1.020E+8	   -0.0051	   13.8412	   31.1300	   -2.9313	
 -840.0000	6.810E-13	5.902E-13	2.706E+8	1.011E+8	   -0.0077	   13.8407	   31.1139	   -2.9388	
 -880.0000	6.748E-13	5.900E-13	2.587E+8	9.960E+7	   -0.0051	   13.8411	   31.1471	   -2.9241	
 -920.0000	6.731E-13	5.889E-13	2.443E+8	9.824E+7	   -0.0026	   13.8347	   31.1910	   -2.9107	
 -960.0000	6.667E-13	5.879E-13	2.312E+8	9.618E+7	    0.0026	   13.8379	   31.2097	   -2.9000	
-1000.0000	6.622E-13	5.873E-13	2.175E+8	9.436E+7	   -0.0000	   13.8379	   31.2188	   -2.8960	
