GCD Test
Bias: 5000.000000
IV_N4789_20_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_30min
Date/Time: 3/9/2022 7:19:44 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 30 minutes
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-2.4550E-6	-2.4550E-6	-1.306771E-6	-1.306771E-6	   -0.0154	   14.5680	   29.6018	   -2.9751	
  -20.0000	-3.5220E-6	-3.5220E-6	-1.770270E-6	-1.770270E-6	   -0.0154	   14.5680	   29.5468	   -2.9751	
  -30.0000	-4.3400E-6	-4.3400E-6	-2.113593E-6	-2.113593E-6	   -0.0154	   14.5526	   29.5468	   -3.0134	
  -40.0000	-5.0190E-6	-5.0190E-6	-2.399616E-6	-2.399616E-6	   -0.0154	   14.5485	   29.5003	   -3.0381	
  -50.0000	-5.6180E-6	-5.6180E-6	-2.656680E-6	-2.656680E-6	   -0.0154	   14.5343	   29.4646	   -3.0666	
  -60.0000	-6.1590E-6	-6.1590E-6	-2.892922E-6	-2.892922E-6	   -0.0154	   14.5343	   29.4646	   -3.0666	
  -70.0000	-6.6420E-6	-6.6420E-6	-3.103481E-6	-3.103481E-6	   -0.0128	   14.5413	   29.4127	   -3.0841	
  -80.0000	-7.0890E-6	-7.0890E-6	-3.307136E-6	-3.307136E-6	   -0.0128	   14.5474	   29.3934	   -3.0876	
  -90.0000	-7.5350E-6	-7.5350E-6	-3.505892E-6	-3.505892E-6	   -0.0128	   14.5474	   29.3934	   -3.0876	
 -100.0000	-7.9400E-6	-7.9400E-6	-3.689957E-6	-3.689957E-6	   -0.0102	   14.5466	   29.3495	   -3.1084	
 -110.0000	-8.3330E-6	-8.3330E-6	-3.868851E-6	-3.868851E-6	   -0.0128	   14.5394	   29.3330	   -3.1222	
 -120.0000	-8.7150E-6	-8.7150E-6	-4.035649E-6	-4.035649E-6	   -0.0128	   14.5394	   29.3330	   -3.1222	
 -130.0000	-9.0840E-6	-9.0840E-6	-4.190023E-6	-4.190023E-6	   -0.0102	   14.5456	   29.2973	   -3.1331	
 -140.0000	-9.4220E-6	-9.4220E-6	-4.351971E-6	-4.351971E-6	   -0.0102	   14.5454	   29.2808	   -3.1408	
 -150.0000	-9.7440E-6	-9.7440E-6	-4.491861E-6	-4.491861E-6	   -0.0102	   14.5454	   29.2808	   -3.1408	
 -160.0000	-1.0050E-5	-1.0050E-5	-4.614894E-6	-4.614894E-6	   -0.0051	   14.5511	   29.2486	   -3.1506	
 -170.0000	-1.0340E-5	-1.0340E-5	-4.731555E-6	-4.731555E-6	   -0.0051	   14.5278	   29.2182	   -3.1847	
 -180.0000	-1.0620E-5	-1.0620E-5	-4.841358E-6	-4.841358E-6	   -0.0051	   14.5278	   29.2182	   -3.1847	
 -190.0000	-1.0860E-5	-1.0860E-5	-4.939061E-6	-4.939061E-6	   -0.0077	   14.5464	   29.1847	   -3.1840	
 -200.0000	-1.1130E-5	-1.1130E-5	-5.022085E-6	-5.022085E-6	   -0.0077	   14.5288	   29.1660	   -3.2078	
 -220.0000	-1.1580E-5	-1.1580E-5	-5.196630E-6	-5.196630E-6	   -0.0077	   14.5288	   29.1660	   -3.2078	
 -240.0000	-1.1950E-5	-1.1950E-5	-5.332287E-6	-5.332287E-6	   -0.0077	   14.5379	   29.1572	   -3.2040	
 -260.0000	-1.2320E-5	-1.2320E-5	-5.453760E-6	-5.453760E-6	   -0.0051	   14.5402	   29.1335	   -3.2129	
 -280.0000	-1.2680E-5	-1.2680E-5	-5.571615E-6	-5.571615E-6	   -0.0051	   14.5402	   29.1335	   -3.2129	
