GCD Test
Bias: 5000.000000
CV_N4789_24_UR_DIODEQUARTER_GR_Irradiated_Annealed_60C_40min
Date/Time: 3/9/2022 8:42:51 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 40 minutes
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.195E-11	2.166E-12	1.249E+7	3.977E+6	   -0.0051	   14.0917	   30.1654	   -3.1355	
  -20.0000	9.671E-12	2.279E-12	1.865E+7	4.748E+6	   -0.0000	   14.0905	   30.1550	   -3.1411	
  -30.0000	8.427E-12	2.281E-12	2.303E+7	5.344E+6	    0.0077	   14.0897	   30.1499	   -3.1440	
  -40.0000	7.607E-12	2.239E-12	2.644E+7	5.875E+6	    0.0281	   14.0738	   30.1170	   -3.1725	
  -50.0000	7.023E-12	2.187E-12	2.914E+7	6.357E+6	    0.0333	   14.0839	   30.1139	   -3.1651	
  -60.0000	6.562E-12	2.134E-12	3.148E+7	6.801E+6	    0.0358	   14.0710	   30.1028	   -3.1812	
  -70.0000	6.184E-12	2.079E-12	3.361E+7	7.229E+6	    0.0435	   14.0692	   30.0844	   -3.1910	
  -80.0000	5.861E-12	2.026E-12	3.547E+7	7.632E+6	    0.0435	   14.0730	   30.0579	   -3.1995	
  -90.0000	5.590E-12	1.973E-12	3.723E+7	8.022E+6	    0.0461	   14.0807	   30.0715	   -3.1867	
 -100.0000	5.343E-12	1.919E-12	3.884E+7	8.405E+6	    0.0461	   14.0743	   30.0705	   -3.1927	
 -110.0000	5.125E-12	1.868E-12	4.045E+7	8.782E+6	    0.0486	   14.0691	   30.0705	   -3.1972	
 -120.0000	4.951E-12	1.830E-12	4.225E+7	9.118E+6	    0.0486	   14.0691	   30.0702	   -3.1974	
 -130.0000	4.767E-12	1.779E-12	4.377E+7	9.498E+6	    0.0461	   14.0552	   30.0566	   -3.2155	
 -140.0000	4.593E-12	1.732E-12	4.524E+7	9.878E+6	    0.0486	   14.0552	   30.0569	   -3.2153	
 -150.0000	4.432E-12	1.689E-12	4.678E+7	1.025E+7	    0.0409	   14.0605	   30.0917	   -3.1953	
 -160.0000	4.282E-12	1.644E-12	4.835E+7	1.063E+7	    0.0358	   14.0465	   30.1025	   -3.2027	
 -170.0000	4.143E-12	1.603E-12	4.986E+7	1.102E+7	    0.0281	   14.0465	   30.0952	   -3.2059	
 -180.0000	4.011E-12	1.564E-12	5.136E+7	1.139E+7	    0.0256	   14.0294	   30.0750	   -3.2297	
 -190.0000	3.879E-12	1.525E-12	5.303E+7	1.178E+7	    0.0205	   14.0382	   30.0531	   -3.2318	
 -200.0000	3.761E-12	1.488E-12	5.455E+7	1.216E+7	    0.0179	   14.0334	   30.0541	   -3.2356	
 -220.0000	3.537E-12	1.414E-12	5.820E+7	1.298E+7	    0.0128	   14.0263	   30.0566	   -3.2406	
 -240.0000	3.313E-12	1.338E-12	6.256E+7	1.389E+7	    0.0077	   14.0315	   30.0835	   -3.2241	
 -260.0000	3.096E-12	1.262E-12	6.764E+7	1.494E+7	    0.0051	   14.0410	   30.0870	   -3.2143	
 -280.0000	2.869E-12	1.183E-12	7.440E+7	1.623E+7	   -0.0026	   14.0190	   30.0911	   -3.2316	
 -300.0000	2.637E-12	1.102E-12	8.245E+7	1.782E+7	   -0.0102	   14.0184	   30.0923	   -3.2316	
 -320.0000	2.406E-12	1.021E-12	9.257E+7	1.981E+7	   -0.0102	   14.0153	   30.0889	   -3.2358	
 -340.0000	2.176E-12	9.369E-13	1.042E+8	2.249E+7	   -0.0154	   13.9987	   30.0879	   -3.2506	
 -360.0000	1.944E-12	8.556E-13	1.179E+8	2.622E+7	   -0.0179	   14.0057	   30.0797	   -3.2482	
 -380.0000	1.718E-12	7.830E-13	1.331E+8	3.145E+7	   -0.0205	   13.9820	   30.0816	   -3.2680	
 -400.0000	1.496E-12	7.229E-13	1.506E+8	3.865E+7	   -0.0230	   13.9820	   30.0791	   -3.2691	
 -440.0000	1.125E-12	6.492E-13	1.981E+8	5.840E+7	   -0.0230	   13.9973	   30.0841	   -3.2535	
 -480.0000	9.321E-13	6.196E-13	2.514E+8	7.702E+7	   -0.0230	   13.9709	   30.0851	   -3.2760	
 -520.0000	8.476E-13	6.089E-13	2.905E+8	8.835E+7	   -0.0256	   13.9573	   30.0958	   -3.2831	
 -560.0000	8.115E-13	6.049E-13	3.138E+8	9.413E+7	   -0.0256	   13.9385	   30.0908	   -3.3016	
 -600.0000	7.890E-13	6.015E-13	3.261E+8	9.747E+7	   -0.0256	   13.9448	   30.0829	   -3.2997	
 -640.0000	7.806E-13	5.996E-13	3.293E+8	9.905E+7	   -0.0230	   13.9511	   30.0791	   -3.2940	
 -680.0000	7.733E-13	5.986E-13	3.233E+8	9.952E+7	   -0.0230	   13.9351	   30.0794	   -3.3096	
 -720.0000	6.864E-13	5.876E-13	3.042E+8	1.024E+8	   -0.0230	   13.9280	   30.0876	   -3.3121	
 -760.0000	6.844E-13	5.865E-13	2.944E+8	1.020E+8	   -0.0230	   13.9216	   30.0958	   -3.3141	
 -800.0000	6.799E-13	5.856E-13	2.848E+8	1.014E+8	   -0.0179	   13.9203	   30.1268	   -3.3014	
 -840.0000	6.773E-13	5.851E-13	2.718E+8	1.003E+8	   -0.0179	   13.9183	   30.1474	   -3.2941	
 -880.0000	6.732E-13	5.844E-13	2.605E+8	9.892E+7	   -0.0154	   13.9141	   30.1705	   -3.2875	
 -920.0000	6.658E-13	5.835E-13	2.472E+8	9.779E+7	   -0.0102	   13.9048	   30.2106	   -3.2777	
 -960.0000	6.635E-13	5.828E-13	2.317E+8	9.555E+7	   -0.0128	   13.9069	   30.2245	   -3.2697	
-1000.0000	6.582E-13	5.822E-13	2.182E+8	9.367E+7	   -0.0102	   13.9069	   30.2498	   -3.2585	
