GCD Test
Bias: 5000.000000
CV_34340_039_PSS_HM_XX_DIODE_Irradiated
Date/Time: 6/30/2021 3:27:34 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.430E-11	1.514E-11	3.040E+6	2.203E+6	  -20.0516	   10.5081	    2.9639	  -33.0303	
  -20.0000	3.450E-11	1.500E-11	3.828E+6	2.527E+6	  -20.0465	   10.4342	    2.9665	  -33.0719	
  -30.0000	3.352E-11	1.494E-11	4.510E+6	2.790E+6	  -20.0135	   10.4528	    2.9627	  -33.0723	
  -40.0000	3.222E-11	1.490E-11	5.221E+6	3.018E+6	  -20.0135	   10.4555	    2.9516	  -33.1087	
  -50.0000	3.103E-11	1.486E-11	5.953E+6	3.239E+6	  -20.0084	   10.4237	    2.9532	  -33.1249	
  -60.0000	3.025E-11	1.482E-11	6.603E+6	3.457E+6	  -19.9931	   10.3893	    2.9462	  -33.1724	
  -70.0000	2.937E-11	1.481E-11	7.244E+6	3.645E+6	  -20.0084	   10.4361	    2.9437	  -33.1493	
  -80.0000	2.865E-11	1.479E-11	7.825E+6	3.846E+6	  -20.0135	   10.4361	    2.9336	  -33.1844	
  -90.0000	2.792E-11	1.477E-11	8.405E+6	4.045E+6	  -20.0186	   10.3503	    2.9339	  -33.2417	
 -100.0000	2.723E-11	1.477E-11	8.980E+6	4.203E+6	  -20.0160	   10.3831	    2.9295	  -33.2348	
 -110.0000	2.668E-11	1.475E-11	9.509E+6	4.390E+6	  -20.0008	   10.4054	    2.9260	  -33.2317	
 -120.0000	2.622E-11	1.475E-11	1.003E+7	4.565E+6	  -20.0084	   10.4157	    2.9295	  -33.2126	
 -130.0000	2.575E-11	1.473E-11	1.053E+7	4.759E+6	  -19.9957	   10.4604	    2.9219	  -33.2086	
 -140.0000	2.526E-11	1.472E-11	1.104E+7	4.906E+6	  -19.9931	   10.4405	    2.9194	  -33.2310	
 -150.0000	2.482E-11	1.470E-11	1.154E+7	5.107E+6	  -19.9779	   10.4632	    2.9061	  -33.2620	
 -160.0000	2.437E-11	1.468E-11	1.205E+7	5.322E+6	  -19.9601	   10.3763	    2.9061	  -33.3211	
