GCD Test
Bias: 5000.000000
CV_37903_003_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 4/22/2022 12:48:03 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.045E-11	1.713E+9	   20.0502	   21.6842	   29.2577	    3.0131	
  -20.0000	7.082E-12	8.748E+9	   20.0476	   21.6782	   29.1841	    2.9724	
  -30.0000	5.664E-12	1.121E+10	   20.0425	   21.6751	   29.1186	    2.9380	
  -40.0000	4.815E-12	1.017E+10	   20.0425	   21.6751	   29.0740	    2.9164	
  -50.0000	4.226E-12	8.670E+9	   20.0399	   21.6757	   29.0383	    2.8996	
  -60.0000	3.794E-12	1.188E+10	   20.0373	   21.6717	   29.0063	    2.8807	
  -70.0000	3.453E-12	1.117E+10	   20.0347	   21.6758	   28.9794	    2.8711	
  -80.0000	3.185E-12	1.164E+10	   20.0347	   21.6670	   28.9583	    2.8533	
  -90.0000	2.963E-12	1.370E+10	   20.0322	   21.6705	   28.9349	    2.8449	
 -100.0000	2.767E-12	1.243E+10	   20.0296	   21.6705	   28.9061	    2.8309	
 -110.0000	2.604E-12	9.858E+9	   20.0270	   21.6713	   28.8966	    2.8270	
 -120.0000	2.462E-12	1.225E+10	   20.0270	   21.6728	   28.8798	    2.8201	
 -130.0000	2.338E-12	1.352E+10	   20.0245	   21.6696	   28.8482	    2.8019	
 -140.0000	2.227E-12	1.884E+10	   20.0219	   21.6693	   28.8261	    2.7908	
 -150.0000	2.128E-12	1.441E+10	   20.0219	   21.6667	   28.8036	    2.7776	
 -160.0000	2.040E-12	1.420E+10	   20.0193	   21.6623	   28.7868	    2.7656	
 -170.0000	1.951E-12	1.520E+10	   20.0167	   21.6656	   28.7609	    2.7558	
 -180.0000	1.872E-12	2.406E+10	   20.0167	   21.6646	   28.7470	    2.7482	
 -190.0000	1.805E-12	1.634E+10	   20.0142	   21.6619	   28.7097	    2.7275	
 -200.0000	1.730E-12	1.721E+10	   20.0142	   21.6642	   28.6828	    2.7163	
 -210.0000	1.665E-12	1.512E+10	   20.0116	   21.6614	   28.6531	    2.6993	
 -220.0000	1.610E-12	1.522E+10	   20.0116	   21.6614	   28.6325	    2.6892	
 -230.0000	1.582E-12	1.619E+10	   20.0090	   21.6562	   28.6139	    2.6756	
 -240.0000	1.570E-12	1.109E+10	   20.0090	   21.6588	   28.6009	    2.6714	
 -250.0000	1.564E-12	1.394E+10	   20.0064	   21.6562	   28.5775	    2.6577	
 -260.0000	1.558E-12	1.467E+10	   20.0064	   21.6564	   28.5734	    2.6559	
 -270.0000	1.556E-12	1.437E+10	   20.0039	   21.6553	   28.5557	    2.6462	
 -280.0000	1.554E-12	1.411E+10	   20.0039	   21.6553	   28.5373	    2.6372	
 -290.0000	1.550E-12	1.517E+10	   20.0039	   21.6526	   28.5079	    2.6203	
 -300.0000	1.550E-12	1.671E+10	   20.0039	   21.6524	   28.4965	    2.6146	
 -310.0000	1.548E-12	2.024E+10	   20.0013	   21.6499	   28.4801	    2.6043	
 -320.0000	1.549E-12	1.321E+10	   20.0013	   21.6525	   28.4583	    2.5958	
 -330.0000	1.551E-12	1.662E+10	   20.0013	   21.6530	   28.4364	    2.5854	
 -340.0000	1.548E-12	1.680E+10	   20.0013	   21.6501	   28.4156	    2.5726	
 -350.0000	1.548E-12	1.633E+10	   20.0013	   21.6531	   28.3893	    2.5622	
 -360.0000	1.545E-12	1.901E+10	   20.0013	   21.6489	   28.3659	    2.5470	
 -370.0000	1.546E-12	1.225E+10	   20.0013	   21.6489	   28.3536	    2.5409	
 -380.0000	1.545E-12	1.364E+10	   20.0013	   21.6491	   28.3194	    2.5241	
 -390.0000	1.546E-12	1.530E+10	   20.0013	   21.6491	   28.3194	    2.5241	
 -400.0000	1.544E-12	1.566E+10	   20.0013	   21.6467	   28.2843	    2.5047	
 -420.0000	1.543E-12	1.393E+10	   20.0013	   21.6448	   28.2802	    2.5010	
 -440.0000	1.541E-12	1.830E+10	   20.0013	   21.6468	   28.2641	    2.4947	
 -460.0000	1.540E-12	1.832E+10	   20.0013	   21.6416	   28.2378	    2.4772	
 -480.0000	1.539E-12	1.488E+10	   20.0013	   21.6457	   28.2163	    2.4700	
 -500.0000	1.541E-12	1.683E+10	   20.0013	   21.6369	   28.2103	    2.4595	
 -520.0000	1.543E-12	1.768E+10	   19.9987	   21.6404	   28.1809	    2.4478	
 -540.0000	1.538E-12	1.521E+10	   19.9987	   21.6423	   28.1651	    2.4416	
 -560.0000	1.540E-12	1.205E+10	   19.9987	   21.6388	   28.1464	    2.4293	
 -580.0000	1.538E-12	1.628E+10	   19.9987	   21.6388	   28.1293	    2.4208	
 -600.0000	1.539E-12	1.777E+10	   19.9987	   21.6389	   28.1066	    2.4094	
