GCD Test
Bias: 5000.000000
IV_37903_045_2-S_HM_XX_DIODEQUARTER
Date/Time: 4/22/2022 1:50:14 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.9000E-10	4.9000E-10	-4.199523E-11	-4.199523E-11	   19.9961	   21.5398	   22.9336	   -0.4873	
  -20.0000	2.8900E-10	2.8900E-10	-4.430533E-11	-4.430533E-11	   19.9961	   21.5423	   22.9336	   -0.4924	
  -30.0000	1.7600E-10	1.7600E-10	-4.661032E-11	-4.661032E-11	   19.9987	   21.5337	   22.9355	   -0.4985	
  -40.0000	1.5700E-10	1.5700E-10	-4.882488E-11	-4.882488E-11	   19.9987	   21.5343	   22.9282	   -0.5023	
  -50.0000	1.4000E-10	1.4000E-10	-5.073343E-11	-5.073343E-11	   20.0013	   21.5343	   22.9285	   -0.5022	
  -60.0000	-6.0000E-12	-6.0000E-12	-5.280134E-11	-5.280134E-11	   20.0039	   21.5382	   22.9269	   -0.4998	
  -70.0000	-6.8000E-11	-6.8000E-11	-5.423629E-11	-5.423629E-11	   20.0039	   21.5382	   22.9121	   -0.4998	
  -80.0000	-2.6000E-11	-2.6000E-11	-5.612957E-11	-5.612957E-11	   20.0039	   21.5328	   22.9244	   -0.5132	
  -90.0000	-1.6100E-10	-1.6100E-10	-5.838789E-11	-5.838789E-11	   20.0039	   21.5340	   22.9244	   -0.5048	
 -100.0000	-9.6000E-11	-9.6000E-11	-6.094594E-11	-6.094594E-11	   20.0039	   21.5380	   22.9159	   -0.5066	
 -110.0000	-1.3400E-10	-1.3400E-10	-6.387898E-11	-6.387898E-11	   20.0039	   21.5373	   22.9118	   -0.5096	
 -120.0000	-2.7100E-10	-2.7100E-10	-6.545876E-11	-6.545876E-11	   20.0013	   21.5366	   22.9140	   -0.5089	
 -130.0000	-2.5000E-10	-2.5000E-10	-6.745534E-11	-6.745534E-11	   19.9987	   21.5405	   22.9077	   -0.5094	
 -140.0000	-2.4100E-10	-2.4100E-10	-6.937796E-11	-6.937796E-11	   19.9987	   21.5452	   22.9089	   -0.5047	
 -150.0000	-3.7000E-10	-3.7000E-10	-7.134621E-11	-7.134621E-11	   19.9961	   21.5445	   22.9102	   -0.5046	
 -160.0000	-2.8700E-10	-2.8700E-10	-7.298549E-11	-7.298549E-11	   19.9936	   21.5460	   22.9118	   -0.5023	
 -170.0000	-3.5800E-10	-3.5800E-10	-7.486212E-11	-7.486212E-11	   19.9961	   21.5478	   22.9127	   -0.5003	
 -180.0000	-4.1000E-10	-4.1000E-10	-7.607236E-11	-7.607236E-11	   19.9961	   21.5451	   22.9064	   -0.5063	
 -190.0000	-3.6600E-10	-3.6600E-10	-7.777865E-11	-7.777865E-11	   19.9987	   21.5461	   22.9121	   -0.5021	
 -200.0000	-4.1800E-10	-4.1800E-10	-7.905653E-11	-7.905653E-11	   19.9987	   21.5473	   22.9029	   -0.5066	
 -210.0000	-4.3300E-10	-4.3300E-10	-8.074976E-11	-8.074976E-11	   20.0013	   21.5465	   22.9121	   -0.5017	
 -220.0000	-5.2000E-10	-5.2000E-10	-8.268179E-11	-8.268179E-11	   20.0013	   21.5461	   22.9105	   -0.5030	
 -230.0000	-5.4100E-10	-5.4100E-10	-8.433303E-11	-8.433303E-11	   20.0039	   21.5501	   22.9026	   -0.5044	
 -240.0000	-5.1500E-10	-5.1500E-10	-8.526262E-11	-8.526262E-11	   20.0039	   21.5515	   22.9026	   -0.5032	
 -250.0000	-5.9800E-10	-5.9800E-10	-8.649302E-11	-8.649302E-11	   20.0064	   21.5476	   22.8991	   -0.5085	
 -260.0000	-5.6300E-10	-5.6300E-10	-8.762222E-11	-8.762222E-11	   20.0039	   21.5476	   22.9089	   -0.5085	
 -270.0000	-6.1100E-10	-6.1100E-10	-8.856274E-11	-8.856274E-11	   20.0039	   21.5463	   22.9089	   -0.5038	
 -280.0000	-6.9100E-10	-6.9100E-10	-8.984492E-11	-8.984492E-11	   20.0013	   21.5474	   22.9039	   -0.5059	
 -290.0000	-5.9000E-10	-5.9000E-10	-8.991174E-11	-8.991174E-11	   20.0013	   21.5474	   22.8991	   -0.5059	
 -300.0000	-6.0900E-10	-6.0900E-10	-9.064104E-11	-9.064104E-11	   19.9987	   21.5430	   22.9114	   -0.5125	
 -310.0000	-6.2300E-10	-6.2300E-10	-9.074820E-11	-9.074820E-11	   19.9961	   21.5415	   22.9016	   -0.5063	
 -320.0000	-6.7400E-10	-6.7400E-10	-9.180095E-11	-9.180095E-11	   19.9936	   21.5427	   22.9118	   -0.5112	
 -330.0000	-7.1600E-10	-7.1600E-10	-9.211259E-11	-9.211259E-11	   19.9936	   21.5474	   22.9118	   -0.5012	
 -340.0000	-7.1400E-10	-7.1400E-10	-9.279670E-11	-9.279670E-11	   19.9987	   21.5439	   22.9140	   -0.5028	
 -350.0000	-7.3000E-10	-7.3000E-10	-9.340152E-11	-9.340152E-11	   19.9987	   21.5485	   22.9067	   -0.5033	
 -360.0000	-8.3400E-10	-8.3400E-10	-9.362442E-11	-9.362442E-11	   19.9987	   21.5506	   22.9061	   -0.5019	
 -370.0000	-8.7900E-10	-8.7900E-10	-9.449014E-11	-9.449014E-11	   20.0013	   21.5458	   22.9020	   -0.5084	
 -380.0000	-8.9100E-10	-8.9100E-10	-9.428484E-11	-9.428484E-11	   20.0039	   21.5469	   22.9099	   -0.5028	
 -390.0000	-8.7800E-10	-8.7800E-10	-9.504243E-11	-9.504243E-11	   20.0039	   21.5496	   22.9102	   -0.5003	
 -400.0000	-7.8400E-10	-7.8400E-10	-9.543216E-11	-9.543216E-11	   20.0064	   21.5490	   22.9178	   -0.4962	
 -420.0000	-9.9900E-10	-9.9900E-10	-9.597424E-11	-9.597424E-11	   20.0039	   21.5433	   22.9026	   -0.5101	
 -440.0000	-1.0410E-9	-1.0410E-9	-9.702986E-11	-9.702986E-11	   20.0039	   21.5447	   22.9105	   -0.5042	
 -460.0000	-1.3240E-9	-1.3240E-9	-9.784939E-11	-9.784939E-11	   20.0064	   21.5484	   22.9051	   -0.5043	
 -480.0000	-1.3190E-9	-1.3190E-9	-9.836560E-11	-9.836560E-11	   20.0013	   21.5474	   22.9070	   -0.5040	
 -500.0000	-1.3640E-9	-1.3640E-9	-9.903989E-11	-9.903989E-11	   19.9987	   21.5474	   22.9108	   -0.5040	
 -520.0000	-1.4820E-9	-1.4820E-9	-1.000894E-10	-1.000894E-10	   19.9987	   21.5526	   22.9108	   -0.4974	
 -540.0000	-1.6590E-9	-1.6590E-9	-1.004846E-10	-1.004846E-10	   20.0013	   21.5482	   22.9092	   -0.5020	
 -560.0000	-1.6140E-9	-1.6140E-9	-1.014636E-10	-1.014636E-10	   19.9987	   21.5482	   22.9083	   -0.5020	
 -580.0000	-1.6590E-9	-1.6590E-9	-1.020157E-10	-1.020157E-10	   19.9987	   21.5482	   22.9083	   -0.5026	
 -600.0000	-1.6820E-9	-1.6820E-9	-1.026653E-10	-1.026653E-10	   19.9987	   21.5496	   22.9096	   -0.5007	
 -620.0000	-1.6480E-9	-1.6480E-9	-1.036839E-10	-1.036839E-10	   19.9987	   21.5496	   22.9203	   -0.5007	
 -640.0000	-1.7120E-9	-1.7120E-9	-1.041928E-10	-1.041928E-10	   19.9987	   21.5496	   22.9203	   -0.4942	
 -660.0000	-1.7500E-9	-1.7500E-9	-1.049779E-10	-1.049779E-10	   20.0013	   21.5518	   22.9307	   -0.4862	
 -680.0000	-1.7800E-9	-1.7800E-9	-1.055295E-10	-1.055295E-10	   20.0013	   21.5503	   22.9238	   -0.4916	
 -700.0000	-1.8450E-9	-1.8450E-9	-1.065397E-10	-1.065397E-10	   20.0013	   21.5486	   22.9187	   -0.4961	
 -720.0000	-2.0520E-9	-2.0520E-9	-1.074091E-10	-1.074091E-10	   20.0039	   21.5510	   22.9231	   -0.4914	
 -740.0000	-1.9540E-9	-1.9540E-9	-1.086895E-10	-1.086895E-10	   20.0039	   21.5510	   22.9140	   -0.4914	
