38202_001_2-S_HM_XX_Unirrad
Date/Time: 4/15/2022 10:25:29 AM
Sensor Name: 38202_001_2-S_HM_XX
Station: Tesla
Annealing Status: Not Irradiated
Environment: 23.5C
Tester: Eric Spencer
Notes: Diced at Fermilab

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-1.2000E-9	-1.2000E-9	-1.2000E-9	-1.2000E-9	-1.2000E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -10.0000	-1.3800E-9	-1.3800E-9	-1.3800E-9	-1.3800E-9	-1.3800E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -15.0000	-1.4900E-9	-1.4900E-9	-1.4900E-9	-1.4900E-9	-1.4900E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -20.0000	-1.5800E-9	-1.5800E-9	-1.5800E-9	-1.5800E-9	-1.5800E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -25.0000	-1.6400E-9	-1.6400E-9	-1.6400E-9	-1.6400E-9	-1.6400E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -30.0000	-1.6700E-9	-1.6700E-9	-1.6700E-9	-1.6700E-9	-1.6700E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -35.0000	-1.7100E-9	-1.7100E-9	-1.7100E-9	-1.7100E-9	-1.7100E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -40.0000	-1.7500E-9	-1.7500E-9	-1.7500E-9	-1.7500E-9	-1.7500E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -45.0000	-1.7800E-9	-1.7800E-9	-1.7800E-9	-1.7800E-9	-1.7800E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -50.0000	-1.8000E-9	-1.8000E-9	-1.8000E-9	-1.8000E-9	-1.8000E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -55.0000	-1.8100E-9	-1.8100E-9	-1.8100E-9	-1.8100E-9	-1.8100E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -60.0000	-1.8300E-9	-1.8300E-9	-1.8300E-9	-1.8300E-9	-1.8300E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -65.0000	-1.8400E-9	-1.8400E-9	-1.8400E-9	-1.8400E-9	-1.8400E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -70.0000	-1.8500E-9	-1.8500E-9	-1.8500E-9	-1.8500E-9	-1.8500E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -75.0000	-1.8800E-9	-1.8800E-9	-1.8800E-9	-1.8800E-9	-1.8800E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -80.0000	-1.8900E-9	-1.8900E-9	-1.8900E-9	-1.8900E-9	-1.8900E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -85.0000	-1.9100E-9	-1.9100E-9	-1.9100E-9	-1.9100E-9	-1.9100E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -90.0000	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	-1.9300E-9	   23.5000	   26.9507	   11.3671	    0.0000	
  -95.0000	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	-1.9500E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -100.0000	-1.9600E-9	-1.9600E-9	-1.9600E-9	-1.9600E-9	-1.9600E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -105.0000	-1.9700E-9	-1.9700E-9	-1.9700E-9	-1.9700E-9	-1.9700E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -110.0000	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	-1.9900E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -115.0000	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	-2.0000E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -120.0000	-2.0100E-9	-2.0100E-9	-2.0100E-9	-2.0100E-9	-2.0100E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -125.0000	-2.0200E-9	-2.0200E-9	-2.0200E-9	-2.0200E-9	-2.0200E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -130.0000	-2.0300E-9	-2.0300E-9	-2.0300E-9	-2.0300E-9	-2.0300E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -135.0000	-2.0300E-9	-2.0300E-9	-2.0300E-9	-2.0300E-9	-2.0300E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -140.0000	-2.0500E-9	-2.0500E-9	-2.0500E-9	-2.0500E-9	-2.0500E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -145.0000	-2.0500E-9	-2.0500E-9	-2.0500E-9	-2.0500E-9	-2.0500E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -150.0000	-2.0600E-9	-2.0600E-9	-2.0600E-9	-2.0600E-9	-2.0600E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -155.0000	-2.0700E-9	-2.0700E-9	-2.0700E-9	-2.0700E-9	-2.0700E-9	   23.5000	   26.9507	   11.3671	    0.0000	
 -160.0000	-2.0800E-9	-2.0800E-9	-2.0800E-9	-2.0800E-9	-2.0800E-9	   23.5000	   26.9507	   11.3671	    0.0000	
