GCD Test
Bias: 5000.000000
IV_38202_028_2-S_HM_XX_DIODEHALF
Date/Time: 4/4/2022 9:53:05 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.8400E-10	2.8400E-10	-6.934067E-11	-6.934067E-11	   19.9910	   18.2325	   27.0262	   -1.0510	
  -20.0000	2.7300E-10	2.7300E-10	-7.542211E-11	-7.542211E-11	   19.9653	   18.2398	   27.0228	   -1.0465	
  -30.0000	6.0000E-11	6.0000E-11	-8.478351E-11	-8.478351E-11	   19.9550	   18.2498	   27.0338	   -1.0324	
  -40.0000	1.8000E-11	1.8000E-11	-9.518309E-11	-9.518309E-11	   19.9550	   18.2498	   27.0503	   -1.0324	
  -50.0000	-3.5000E-11	-3.5000E-11	-1.012568E-10	-1.012568E-10	   19.9550	   18.2597	   27.0503	   -1.0157	
  -60.0000	-6.4000E-11	-6.4000E-11	-1.063423E-10	-1.063423E-10	   19.9730	   18.2888	   27.0961	   -0.9676	
  -70.0000	-9.7000E-11	-9.7000E-11	-1.106294E-10	-1.106294E-10	   20.0090	   18.2888	   27.1066	   -0.9676	
  -80.0000	-2.4900E-10	-2.4900E-10	-1.123665E-10	-1.123665E-10	   20.0322	   18.2888	   27.1183	   -0.9623	
  -90.0000	-2.6600E-10	-2.6600E-10	-1.135987E-10	-1.135987E-10	   20.0553	   18.3190	   27.1281	   -0.9306	
 -100.0000	-3.3500E-10	-3.3500E-10	-1.143967E-10	-1.143967E-10	   20.0682	   18.3301	   27.1233	   -0.9162	
 -110.0000	-2.6100E-10	-2.6100E-10	-1.152068E-10	-1.152068E-10	   20.0734	   18.3401	   27.1306	   -0.9100	
 -120.0000	-3.8000E-10	-3.8000E-10	-1.153800E-10	-1.153800E-10	   20.0734	   18.3485	   27.1306	   -0.8991	
 -130.0000	-4.1000E-10	-4.1000E-10	-1.160710E-10	-1.160710E-10	   20.0631	   18.3581	   27.1224	   -0.8950	
 -140.0000	-4.0900E-10	-4.0900E-10	-1.162156E-10	-1.162156E-10	   20.0476	   18.3693	   27.1132	   -0.8901	
 -150.0000	-4.7500E-10	-4.7500E-10	-1.165636E-10	-1.165636E-10	   20.0296	   18.3747	   27.1176	   -0.8833	
 -160.0000	-5.0500E-10	-5.0500E-10	-1.174744E-10	-1.174744E-10	   20.0064	   18.3881	   27.1113	   -0.8749	
 -170.0000	-5.4500E-10	-5.4500E-10	-1.191739E-10	-1.191739E-10	   19.9858	   18.3924	   27.1078	   -0.8730	
 -180.0000	-5.3600E-10	-5.3600E-10	-1.212208E-10	-1.212208E-10	   19.9678	   18.4013	   27.1028	   -0.8680	
 -190.0000	-5.1700E-10	-5.1700E-10	-1.245807E-10	-1.245807E-10	   19.9575	   18.4119	   27.1151	   -0.8527	
 -200.0000	-5.3700E-10	-5.3700E-10	-1.279100E-10	-1.279100E-10	   19.9524	   18.4155	   27.1110	   -0.8517	
 -210.0000	-6.7100E-10	-6.7100E-10	-1.313295E-10	-1.313295E-10	   19.9550	   18.4238	   27.1142	   -0.8430	
 -220.0000	-6.9100E-10	-6.9100E-10	-1.348664E-10	-1.348664E-10	   19.9678	   18.4340	   27.0873	   -0.8478	
 -230.0000	-6.1600E-10	-6.1600E-10	-1.377137E-10	-1.377137E-10	   19.9833	   18.4489	   27.0838	   -0.8368	
 -240.0000	-7.5300E-10	-7.5300E-10	-1.398972E-10	-1.398972E-10	   20.0064	   18.4586	   27.0712	   -0.8349	
 -250.0000	-7.6600E-10	-7.6600E-10	-1.417409E-10	-1.417409E-10	   20.0296	   18.4682	   27.0433	   -0.8407	
 -260.0000	-6.8700E-10	-6.8700E-10	-1.436043E-10	-1.436043E-10	   20.0476	   18.4808	   27.0139	   -0.8448	
 -270.0000	-8.1100E-10	-8.1100E-10	-1.441860E-10	-1.441860E-10	   20.0631	   18.4822	   27.0101	   -0.8456	
 -280.0000	-7.7000E-10	-7.7000E-10	-1.460353E-10	-1.460353E-10	   20.0682	   18.4944	   27.0006	   -0.8399	
 -290.0000	-8.5300E-10	-8.5300E-10	-1.469592E-10	-1.469592E-10	   20.0656	   18.5019	   26.9760	   -0.8460	
 -300.0000	-8.1200E-10	-8.1200E-10	-1.475336E-10	-1.475336E-10	   20.0528	   18.5140	   26.9516	   -0.8480	
 -310.0000	-8.2400E-10	-8.2400E-10	-1.477514E-10	-1.477514E-10	   20.0347	   18.5258	   26.9241	   -0.8518	
 -320.0000	-7.9400E-10	-7.9400E-10	-1.484418E-10	-1.484418E-10	   19.9936	   18.5258	   26.8915	   -0.8518	
 -330.0000	-9.3800E-10	-9.3800E-10	-1.488883E-10	-1.488883E-10	   19.9781	   18.5341	   26.8754	   -0.8612	
 -340.0000	-9.5400E-10	-9.5400E-10	-1.502774E-10	-1.502774E-10	   19.9627	   18.5463	   26.8485	   -0.8590	
 -350.0000	-8.9800E-10	-8.9800E-10	-1.508941E-10	-1.508941E-10	   19.9550	   18.5513	   26.8333	   -0.8684	
 -360.0000	-9.4000E-10	-9.4000E-10	-1.526128E-10	-1.526128E-10	   19.9575	   18.5723	   26.8273	   -0.8612	
 -370.0000	-9.0600E-10	-9.0600E-10	-1.536827E-10	-1.536827E-10	   19.9704	   18.5723	   26.8245	   -0.8612	
