GCD Test
Bias: 5000.000000
CV_38202_031_2-S_HM_XX_DIODEHALF
Date/Time: 4/4/2022 10:46:06 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 0C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.853E-11	1.790E+9	   19.9936	   20.8859	   23.8014	   -0.5351	
  -20.0000	1.273E-11	4.143E+9	   20.0039	   20.8856	   23.7938	   -0.5397	
  -30.0000	9.672E-12	4.125E+9	   20.0039	   20.8856	   23.7938	   -0.5397	
  -40.0000	7.364E-12	4.192E+9	   20.0116	   20.8856	   23.7853	   -0.5446	
  -50.0000	6.247E-12	5.115E+9	   20.0167	   20.8893	   23.7862	   -0.5410	
  -60.0000	5.673E-12	4.828E+9	   20.0193	   20.8932	   23.7704	   -0.5468	
  -70.0000	5.194E-12	9.446E+8	   20.0167	   20.8886	   23.7593	   -0.5571	
  -80.0000	3.497E-12	3.278E+9	   20.0116	   20.8955	   23.7584	   -0.5518	
  -90.0000	3.290E-12	3.736E+9	   20.0064	   20.8931	   23.7441	   -0.5620	
 -100.0000	3.119E-12	4.260E+9	   19.9987	   20.8938	   23.7454	   -0.5607	
 -110.0000	2.973E-12	4.319E+9	   19.9936	   20.8982	   23.7410	   -0.5595	
 -120.0000	2.847E-12	5.381E+9	   19.9884	   20.8959	   23.7296	   -0.5680	
 -130.0000	2.736E-12	5.785E+9	   19.9858	   20.8955	   23.7315	   -0.5672	
 -140.0000	2.631E-12	5.163E+9	   19.9884	   20.8955	   23.7132	   -0.5778	
 -150.0000	2.540E-12	5.385E+9	   19.9910	   20.8994	   23.7192	   -0.5711	
 -160.0000	2.455E-12	5.116E+9	   19.9987	   20.9023	   23.7059	   -0.5764	
 -170.0000	2.375E-12	5.207E+9	   20.0064	   20.9023	   23.6879	   -0.5868	
 -180.0000	2.302E-12	5.695E+9	   20.0142	   20.9012	   23.6837	   -0.5900	
 -190.0000	2.229E-12	6.301E+9	   20.0193	   20.9048	   23.6698	   -0.5950	
 -200.0000	2.184E-12	5.976E+9	   20.0219	   20.9068	   23.6426	   -0.6091	
 -210.0000	2.150E-12	5.959E+9	   20.0193	   20.9078	   23.6505	   -0.6037	
 -220.0000	2.132E-12	6.565E+9	   20.0167	   20.9040	   23.6490	   -0.6078	
 -230.0000	2.124E-12	6.100E+9	   20.0116	   20.9110	   23.6414	   -0.6063	
 -240.0000	2.112E-12	6.048E+9	   20.0116	   20.9110	   23.6414	   -0.6063	
 -250.0000	2.112E-12	6.823E+9	   20.0039	   20.9057	   23.6417	   -0.6106	
 -260.0000	2.110E-12	7.240E+9	   19.9961	   20.9102	   23.6335	   -0.6116	
 -270.0000	2.102E-12	6.271E+9	   19.9858	   20.9128	   23.6521	   -0.5986	
 -280.0000	2.100E-12	6.487E+9	   19.9858	   20.9111	   23.6622	   -0.5941	
 -290.0000	2.097E-12	6.642E+9	   19.9884	   20.9130	   23.6610	   -0.5932	
 -300.0000	2.098E-12	6.479E+9	   19.9936	   20.9107	   23.6720	   -0.5888	
 -310.0000	2.096E-12	5.523E+9	   19.9961	   20.9158	   23.6739	   -0.5835	
 -320.0000	2.095E-12	6.732E+9	   19.9961	   20.9158	   23.6739	   -0.5835	
 -330.0000	2.093E-12	6.636E+9	   20.0064	   20.9150	   23.6844	   -0.5781	
 -340.0000	2.088E-12	5.909E+9	   20.0142	   20.9217	   23.6837	   -0.5728	
 -350.0000	2.093E-12	6.951E+9	   20.0167	   20.9136	   23.6973	   -0.5717	
 -360.0000	2.089E-12	6.899E+9	   20.0193	   20.9182	   23.6894	   -0.5724	
 -370.0000	2.088E-12	7.553E+9	   20.0193	   20.9173	   23.6923	   -0.5716	
 -380.0000	2.085E-12	7.055E+9	   20.0142	   20.9192	   23.7062	   -0.5620	
 -390.0000	2.084E-12	7.999E+9	   20.0090	   20.9192	   23.7109	   -0.5592	
 -400.0000	2.086E-12	6.562E+9	   20.0039	   20.9226	   23.7113	   -0.5561	
 -420.0000	2.086E-12	6.265E+9	   19.9987	   20.9205	   23.7132	   -0.5568	
 -440.0000	2.083E-12	7.710E+9	   19.9936	   20.9201	   23.7116	   -0.5581	
 -460.0000	2.084E-12	7.275E+9	   19.9884	   20.9214	   23.7306	   -0.5460	
 -480.0000	2.080E-12	6.230E+9	   19.9884	   20.9214	   23.7226	   -0.5506	
 -500.0000	2.083E-12	7.768E+9	   19.9910	   20.9203	   23.7198	   -0.5532	
 -520.0000	2.082E-12	6.809E+9	   19.9961	   20.9265	   23.7258	   -0.5444	
 -540.0000	2.080E-12	6.940E+9	   20.0013	   20.9194	   23.7211	   -0.5531	
 -560.0000	2.082E-12	6.549E+9	   20.0064	   20.9225	   23.7277	   -0.5467	
 -580.0000	2.081E-12	6.948E+9	   20.0116	   20.9214	   23.7290	   -0.5469	
 -600.0000	2.081E-12	7.554E+9	   20.0142	   20.9258	   23.7182	   -0.5495	
