GCD Test
Bias: 5000.000000
CV_38696_001_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 4/4/2022 11:55:57 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	9.831E-12	2.161E+9	   19.9936	   21.2005	   23.2321	   -0.6020	
  -20.0000	6.797E-12	5.887E+9	   19.9961	   21.1971	   23.2299	   -0.6061	
  -30.0000	5.434E-12	6.674E+9	   20.0013	   21.1992	   23.2312	   -0.6037	
  -40.0000	4.606E-12	5.808E+9	   20.0039	   21.1992	   23.2324	   -0.6029	
  -50.0000	4.045E-12	6.534E+9	   20.0090	   21.1955	   23.2334	   -0.6054	
  -60.0000	3.619E-12	6.903E+9	   20.0090	   21.1982	   23.2378	   -0.6006	
  -70.0000	3.296E-12	6.296E+9	   20.0116	   21.1931	   23.2302	   -0.6093	
  -80.0000	3.043E-12	5.593E+9	   20.0090	   21.2023	   23.2236	   -0.6055	
  -90.0000	2.828E-12	6.475E+9	   20.0039	   21.1942	   23.2226	   -0.6128	
 -100.0000	2.644E-12	6.883E+9	   20.0013	   21.1950	   23.2223	   -0.6124	
 -110.0000	2.487E-12	7.111E+9	   19.9987	   21.1968	   23.2081	   -0.6193	
 -120.0000	2.351E-12	7.692E+9	   19.9936	   21.1962	   23.2087	   -0.6194	
 -130.0000	2.230E-12	7.433E+9	   19.9910	   21.1949	   23.2081	   -0.6208	
 -140.0000	2.123E-12	8.475E+9	   19.9910	   21.1940	   23.2106	   -0.6201	
 -150.0000	2.032E-12	9.815E+9	   19.9910	   21.1895	   23.1996	   -0.6304	
 -160.0000	1.943E-12	6.517E+9	   19.9936	   21.1895	   23.1983	   -0.6312	
 -170.0000	1.857E-12	8.658E+9	   19.9961	   21.1930	   23.1992	   -0.6277	
 -180.0000	1.778E-12	8.410E+9	   20.0013	   21.1954	   23.1863	   -0.6333	
 -190.0000	1.701E-12	7.684E+9	   20.0039	   21.1908	   23.1869	   -0.6368	
 -200.0000	1.641E-12	9.691E+9	   20.0090	   21.1898	   23.1736	   -0.6454	
 -210.0000	1.593E-12	8.936E+9	   20.0116	   21.1938	   23.1635	   -0.6481	
 -220.0000	1.575E-12	7.694E+9	   20.0116	   21.1923	   23.1654	   -0.6483	
 -230.0000	1.566E-12	8.218E+9	   20.0090	   21.1911	   23.1616	   -0.6514	
 -240.0000	1.558E-12	9.734E+9	   20.0039	   21.1866	   23.1480	   -0.6633	
 -250.0000	1.556E-12	8.095E+9	   20.0013	   21.1866	   23.1452	   -0.6650	
 -260.0000	1.553E-12	8.716E+9	   19.9987	   21.1910	   23.1414	   -0.6635	
 -270.0000	1.551E-12	8.900E+9	   19.9936	   21.1910	   23.1316	   -0.6693	
 -280.0000	1.552E-12	7.814E+9	   19.9936	   21.1910	   23.1316	   -0.6693	
 -290.0000	1.551E-12	1.012E+10	   19.9910	   21.1865	   23.1328	   -0.6723	
 -300.0000	1.549E-12	7.937E+9	   19.9936	   21.1912	   23.1243	   -0.6735	
 -310.0000	1.546E-12	8.474E+9	   19.9936	   21.1897	   23.1164	   -0.6794	
 -320.0000	1.546E-12	8.827E+9	   20.0013	   21.1907	   23.1132	   -0.6804	
 -330.0000	1.549E-12	1.099E+10	   20.0064	   21.1904	   23.1107	   -0.6821	
 -340.0000	1.547E-12	8.283E+9	   20.0064	   21.1904	   23.1107	   -0.6821	
 -350.0000	1.544E-12	9.267E+9	   20.0116	   21.1893	   23.0977	   -0.6908	
 -360.0000	1.545E-12	8.065E+9	   20.0167	   21.1894	   23.0968	   -0.6912	
 -370.0000	1.545E-12	8.694E+9	   20.0142	   21.1917	   23.0838	   -0.6970	
 -380.0000	1.544E-12	7.893E+9	   20.0116	   21.1890	   23.0806	   -0.7011	
 -390.0000	1.541E-12	8.683E+9	   20.0090	   21.1913	   23.0705	   -0.7052	
 -400.0000	1.543E-12	7.527E+9	   20.0064	   21.1896	   23.0617	   -0.7119	
 -420.0000	1.541E-12	7.571E+9	   20.0013	   21.1926	   23.0620	   -0.7092	
 -440.0000	1.540E-12	7.988E+9	   19.9961	   21.1932	   23.0553	   -0.7126	
 -460.0000	1.542E-12	8.976E+9	   19.9936	   21.1912	   23.0459	   -0.7199	
 -480.0000	1.542E-12	7.239E+9	   19.9936	   21.1912	   23.0459	   -0.7199	
 -500.0000	1.543E-12	8.373E+9	   19.9910	   21.1918	   23.0452	   -0.7198	
 -520.0000	1.539E-12	7.458E+9	   19.9936	   21.1898	   23.0326	   -0.7290	
 -540.0000	1.537E-12	8.784E+9	   19.9987	   21.1877	   23.0250	   -0.7353	
 -560.0000	1.538E-12	1.031E+10	   20.0039	   21.1866	   23.0174	   -0.7406	
 -580.0000	1.538E-12	7.896E+9	   20.0064	   21.1897	   23.0164	   -0.7386	
 -600.0000	1.534E-12	8.315E+9	   20.0090	   21.1908	   23.0120	   -0.7403	
