GCD Test
Bias: 5000.000000
IV_38696_001_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 4/4/2022 11:51:39 PM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.9800E-10	2.9800E-10	-2.141266E-11	-2.141266E-11	   20.0064	   21.2161	   23.2381	   -0.6008	
  -20.0000	2.0200E-10	2.0200E-10	-2.200730E-11	-2.200730E-11	   20.0064	   21.2146	   23.2381	   -0.5866	
  -30.0000	2.3700E-10	2.3700E-10	-2.318659E-11	-2.318659E-11	   20.0013	   21.2177	   23.2565	   -0.5732	
  -40.0000	4.0000E-12	4.0000E-12	-2.429132E-11	-2.429132E-11	   19.9961	   21.2209	   23.2524	   -0.5729	
  -50.0000	6.6000E-11	6.6000E-11	-2.555026E-11	-2.555026E-11	   19.9910	   21.2155	   23.2717	   -0.5661	
  -60.0000	4.0000E-12	4.0000E-12	-2.694671E-11	-2.694671E-11	   19.9910	   21.2198	   23.2647	   -0.5666	
  -70.0000	-4.2000E-11	-4.2000E-11	-2.783999E-11	-2.783999E-11	   19.9910	   21.2186	   23.2758	   -0.5611	
  -80.0000	-2.1500E-10	-2.1500E-10	-2.867826E-11	-2.867826E-11	   19.9910	   21.2194	   23.2786	   -0.5587	
  -90.0000	-2.1500E-10	-2.1500E-10	-2.940572E-11	-2.940572E-11	   19.9936	   21.2194	   23.2805	   -0.5587	
 -100.0000	-2.3500E-10	-2.3500E-10	-2.997041E-11	-2.997041E-11	   20.0013	   21.2218	   23.2853	   -0.5556	
 -110.0000	-2.2300E-10	-2.2300E-10	-3.101933E-11	-3.101933E-11	   20.0013	   21.2187	   23.2834	   -0.5554	
 -120.0000	-2.4300E-10	-2.4300E-10	-3.233225E-11	-3.233225E-11	   20.0090	   21.2259	   23.2707	   -0.5505	
 -130.0000	-2.7000E-10	-2.7000E-10	-3.241170E-11	-3.241170E-11	   20.0090	   21.2213	   23.2707	   -0.5618	
 -140.0000	-2.8500E-10	-2.8500E-10	-3.324815E-11	-3.324815E-11	   20.0116	   21.2222	   23.2748	   -0.5586	
 -150.0000	-3.1700E-10	-3.1700E-10	-3.430582E-11	-3.430582E-11	   20.0116	   21.2175	   23.2830	   -0.5577	
 -160.0000	-3.4500E-10	-3.4500E-10	-3.596789E-11	-3.596789E-11	   20.0116	   21.2250	   23.2777	   -0.5546	
 -170.0000	-3.7800E-10	-3.7800E-10	-3.828575E-11	-3.828575E-11	   20.0090	   21.2221	   23.2755	   -0.5583	
 -180.0000	-4.0600E-10	-4.0600E-10	-4.227871E-11	-4.227871E-11	   20.0090	   21.2275	   23.2644	   -0.5603	
 -190.0000	-4.5200E-10	-4.5200E-10	-4.704947E-11	-4.704947E-11	   20.0039	   21.2214	   23.2761	   -0.5586	
 -200.0000	-4.8200E-10	-4.8200E-10	-5.391477E-11	-5.391477E-11	   20.0013	   21.2242	   23.2691	   -0.5604	
 -210.0000	-5.3500E-10	-5.3500E-10	-6.126368E-11	-6.126368E-11	   19.9961	   21.2219	   23.2691	   -0.5622	
 -220.0000	-5.7900E-10	-5.7900E-10	-6.757572E-11	-6.757572E-11	   19.9936	   21.2235	   23.2717	   -0.5594	
 -230.0000	-5.5300E-10	-5.5300E-10	-7.169520E-11	-7.169520E-11	   19.9884	   21.2227	   23.2720	   -0.5599	
 -240.0000	-5.8700E-10	-5.8700E-10	-7.529767E-11	-7.529767E-11	   19.9884	   21.2191	   23.2751	   -0.5611	
 -250.0000	-5.9600E-10	-5.9600E-10	-7.756353E-11	-7.756353E-11	   19.9910	   21.2193	   23.2676	   -0.5654	
 -260.0000	-6.7200E-10	-6.7200E-10	-7.978804E-11	-7.978804E-11	   19.9961	   21.2205	   23.2638	   -0.5666	
 -270.0000	-7.0400E-10	-7.0400E-10	-8.184188E-11	-8.184188E-11	   20.0013	   21.2205	   23.2638	   -0.5666	
 -280.0000	-7.1300E-10	-7.1300E-10	-8.350440E-11	-8.350440E-11	   20.0064	   21.2247	   23.2717	   -0.5567	
 -290.0000	-6.7300E-10	-6.7300E-10	-8.507564E-11	-8.507564E-11	   20.0090	   21.2247	   23.2789	   -0.5584	
 -300.0000	-7.1900E-10	-7.1900E-10	-8.589394E-11	-8.589394E-11	   20.0116	   21.2168	   23.2698	   -0.5608	
 -310.0000	-7.1300E-10	-7.1300E-10	-8.723353E-11	-8.723353E-11	   20.0116	   21.2201	   23.2698	   -0.5634	
 -320.0000	-7.9400E-10	-7.9400E-10	-8.787829E-11	-8.787829E-11	   20.0116	   21.2189	   23.2732	   -0.5624	
 -330.0000	-8.1200E-10	-8.1200E-10	-8.923214E-11	-8.923214E-11	   20.0090	   21.2190	   23.2710	   -0.5636	
 -340.0000	-8.0400E-10	-8.0400E-10	-8.990665E-11	-8.990665E-11	   20.0064	   21.2195	   23.2720	   -0.5626	
 -350.0000	-8.5400E-10	-8.5400E-10	-9.112792E-11	-9.112792E-11	   20.0039	   21.2215	   23.2698	   -0.5622	
 -360.0000	-8.3500E-10	-8.3500E-10	-9.187023E-11	-9.187023E-11	   20.0013	   21.2190	   23.2603	   -0.5699	
 -370.0000	-8.5100E-10	-8.5100E-10	-9.279508E-11	-9.279508E-11	   19.9987	   21.2217	   23.2669	   -0.5637	
 -380.0000	-9.2100E-10	-9.2100E-10	-9.340663E-11	-9.340663E-11	   19.9987	   21.2217	   23.2669	   -0.5637	
 -390.0000	-9.3300E-10	-9.3300E-10	-9.437997E-11	-9.437997E-11	   19.9910	   21.2210	   23.2464	   -0.5764	
 -400.0000	-9.4100E-10	-9.4100E-10	-9.515690E-11	-9.515690E-11	   19.9910	   21.2161	   23.2502	   -0.5783	
