GCD Test
Bias: 5000.000000
IV_38696_046_2-S_HM_XX_DIODEQUARTER
Date/Time: 4/5/2022 12:57:01 AM
Sensor Name: 
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	4.3800E-10	4.3800E-10	-4.440662E-11	-4.440662E-11	   20.0116	   21.2573	   23.1218	   -0.6333	
  -20.0000	2.2800E-10	2.2800E-10	-4.745824E-11	-4.745824E-11	   20.0116	   21.2564	   23.1218	   -0.6202	
  -30.0000	1.1400E-10	1.1400E-10	-5.028515E-11	-5.028515E-11	   20.0039	   21.2547	   23.1123	   -0.6273	
  -40.0000	4.5000E-11	4.5000E-11	-5.459528E-11	-5.459528E-11	   20.0039	   21.2547	   23.1240	   -0.6203	
  -50.0000	-7.0000E-12	-7.0000E-12	-6.244451E-11	-6.244451E-11	   19.9987	   21.2552	   23.1259	   -0.6188	
  -60.0000	4.0000E-12	4.0000E-12	-6.701723E-11	-6.701723E-11	   19.9987	   21.2541	   23.1214	   -0.6224	
  -70.0000	-1.3500E-10	-1.3500E-10	-7.026769E-11	-7.026769E-11	   19.9936	   21.2543	   23.1325	   -0.6157	
  -80.0000	-1.6400E-10	-1.6400E-10	-7.260954E-11	-7.260954E-11	   19.9936	   21.2454	   23.1335	   -0.6226	
  -90.0000	-2.0400E-10	-2.0400E-10	-7.388579E-11	-7.388579E-11	   19.9936	   21.2492	   23.1341	   -0.6190	
 -100.0000	-1.2000E-10	-1.2000E-10	-7.418666E-11	-7.418666E-11	   19.9961	   21.2481	   23.1293	   -0.6227	
 -110.0000	-1.7800E-10	-1.7800E-10	-7.572899E-11	-7.572899E-11	   19.9987	   21.2524	   23.1407	   -0.6124	
 -120.0000	-2.5100E-10	-2.5100E-10	-7.571595E-11	-7.571595E-11	   20.0013	   21.2518	   23.1429	   -0.6116	
 -130.0000	-2.0500E-10	-2.0500E-10	-7.621688E-11	-7.621688E-11	   20.0039	   21.2509	   23.1439	   -0.6118	
 -140.0000	-2.3300E-10	-2.3300E-10	-7.703765E-11	-7.703765E-11	   20.0064	   21.2469	   23.1398	   -0.6175	
 -150.0000	-3.1000E-10	-3.1000E-10	-7.739962E-11	-7.739962E-11	   20.0090	   21.2533	   23.1471	   -0.6079	
 -160.0000	-4.1300E-10	-4.1300E-10	-7.817210E-11	-7.817210E-11	   20.0116	   21.2531	   23.1509	   -0.6058	
 -170.0000	-3.1200E-10	-3.1200E-10	-7.864638E-11	-7.864638E-11	   20.0090	   21.2519	   23.1458	   -0.6098	
 -180.0000	-3.8200E-10	-3.8200E-10	-7.960744E-11	-7.960744E-11	   20.0090	   21.2542	   23.1426	   -0.6098	
 -190.0000	-4.3000E-10	-4.3000E-10	-8.145003E-11	-8.145003E-11	   20.0064	   21.2549	   23.1455	   -0.6074	
 -200.0000	-3.7100E-10	-3.7100E-10	-8.238058E-11	-8.238058E-11	   19.9987	   21.2533	   23.1518	   -0.6051	
 -210.0000	-4.0700E-10	-4.0700E-10	-8.469414E-11	-8.469414E-11	   19.9936	   21.2533	   23.1417	   -0.6051	
 -220.0000	-4.3600E-10	-4.3600E-10	-8.599832E-11	-8.599832E-11	   19.9910	   21.2534	   23.1404	   -0.6109	
 -230.0000	-4.4000E-10	-4.4000E-10	-8.750010E-11	-8.750010E-11	   19.9910	   21.2496	   23.1407	   -0.6149	
 -240.0000	-4.6200E-10	-4.6200E-10	-8.909373E-11	-8.909373E-11	   19.9910	   21.2489	   23.1493	   -0.6153	
 -250.0000	-5.3900E-10	-5.3900E-10	-9.013063E-11	-9.013063E-11	   19.9936	   21.2466	   23.1379	   -0.6122	
 -260.0000	-5.4900E-10	-5.4900E-10	-9.104815E-11	-9.104815E-11	   19.9961	   21.2507	   23.1357	   -0.6155	
