GCD Test
Bias: 5000.000000
CV_38873_003_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 3/9/2022 5:11:59 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	9.896E-12	1.687E+9	   19.9961	   21.6846	   18.6578	   -3.1692	
  -20.0000	6.972E-12	3.243E+9	   19.9961	   21.6873	   18.6477	   -3.1742	
  -30.0000	5.692E-12	3.406E+9	   19.9987	   21.6873	   18.6455	   -3.1758	
  -40.0000	4.937E-12	2.967E+9	   19.9987	   21.6901	   18.6312	   -3.1837	
  -50.0000	4.426E-12	3.132E+9	   19.9987	   21.6868	   18.6328	   -3.1853	
  -60.0000	4.055E-12	3.314E+9	   20.0013	   21.6889	   18.6271	   -3.1876	
  -70.0000	3.757E-12	3.256E+9	   20.0013	   21.6885	   18.6211	   -3.1923	
  -80.0000	3.515E-12	3.047E+9	   20.0013	   21.6887	   18.6085	   -3.2012	
  -90.0000	3.312E-12	3.397E+9	   20.0039	   21.6932	   18.6139	   -3.1937	
 -100.0000	3.132E-12	3.290E+9	   20.0039	   21.6907	   18.6088	   -3.1994	
 -110.0000	2.971E-12	3.486E+9	   20.0039	   21.6937	   18.6050	   -3.1996	
 -120.0000	2.829E-12	3.708E+9	   20.0039	   21.6897	   18.5977	   -3.2082	
 -130.0000	2.720E-12	3.610E+9	   20.0013	   21.6892	   18.6009	   -3.2063	
 -140.0000	2.617E-12	3.760E+9	   20.0013	   21.6934	   18.5904	   -3.2103	
 -150.0000	2.521E-12	3.702E+9	   19.9987	   21.6918	   18.5873	   -3.2139	
 -160.0000	2.436E-12	3.687E+9	   19.9987	   21.6916	   18.5829	   -3.2173	
 -170.0000	2.347E-12	3.746E+9	   19.9987	   21.6915	   18.5585	   -3.2349	
 -180.0000	2.286E-12	4.002E+9	   19.9961	   21.6915	   18.5626	   -3.2320	
 -190.0000	2.255E-12	3.921E+9	   19.9961	   21.6880	   18.5598	   -3.2369	
 -200.0000	2.235E-12	3.845E+9	   19.9961	   21.6888	   18.5582	   -3.2373	
 -210.0000	2.221E-12	3.988E+9	   19.9961	   21.6886	   18.5528	   -3.2414	
 -220.0000	2.210E-12	3.660E+9	   19.9987	   21.6886	   18.5541	   -3.2405	
 -230.0000	2.204E-12	4.145E+9	   20.0013	   21.6882	   18.5459	   -3.2467	
 -240.0000	2.199E-12	3.845E+9	   20.0013	   21.6877	   18.5386	   -3.2524	
 -250.0000	2.190E-12	3.978E+9	   20.0013	   21.6902	   18.5465	   -3.2447	
 -260.0000	2.186E-12	4.306E+9	   20.0013	   21.6902	   18.5465	   -3.2447	
 -270.0000	2.184E-12	4.363E+9	   20.0039	   21.6902	   18.5335	   -3.2540	
 -280.0000	2.180E-12	3.694E+9	   20.0039	   21.6884	   18.5307	   -3.2575	
 -290.0000	2.178E-12	3.658E+9	   20.0039	   21.6901	   18.5187	   -3.2648	
 -300.0000	2.177E-12	4.092E+9	   20.0039	   21.6861	   18.5183	   -3.2683	
 -310.0000	2.175E-12	3.942E+9	   20.0039	   21.6872	   18.5247	   -3.2628	
 -320.0000	2.172E-12	4.033E+9	   19.9987	   21.6888	   18.5098	   -3.2723	
 -330.0000	2.171E-12	3.814E+9	   19.9987	   21.6834	   18.5016	   -3.2826	
 -340.0000	2.172E-12	4.031E+9	   19.9961	   21.6828	   18.4994	   -3.2848	
 -350.0000	2.173E-12	3.970E+9	   19.9936	   21.6900	   18.4981	   -3.2798	
 -360.0000	2.168E-12	3.521E+9	   19.9936	   21.6858	   18.4918	   -3.2878	
 -370.0000	2.159E-12	3.296E+9	   19.9936	   21.6825	   18.5003	   -3.2843	
 -380.0000	2.142E-12	2.992E+9	   19.9936	   21.6822	   18.4921	   -3.2905	
 -390.0000	2.131E-12	3.777E+9	   19.9961	   21.6833	   18.4918	   -3.2898	
 -400.0000	2.130E-12	4.709E+9	   19.9987	   21.6777	   18.4991	   -3.2892	
 -420.0000	2.127E-12	5.057E+9	   20.0039	   21.6799	   18.4921	   -3.2924	
 -440.0000	2.123E-12	4.919E+9	   20.0039	   21.6787	   18.4953	   -3.2911	
 -460.0000	2.123E-12	5.070E+9	   20.0090	   21.6816	   18.5060	   -3.2810	
 -480.0000	2.121E-12	5.381E+9	   20.0064	   21.6771	   18.5038	   -3.2862	
 -500.0000	2.122E-12	6.204E+9	   20.0064	   21.6757	   18.4965	   -3.2926	
 -520.0000	2.116E-12	5.374E+9	   20.0039	   21.6789	   18.5066	   -3.2827	
 -540.0000	2.118E-12	5.546E+9	   20.0013	   21.6806	   18.5070	   -3.2811	
 -560.0000	2.115E-12	5.016E+9	   19.9987	   21.6809	   18.5079	   -3.2801	
 -580.0000	2.113E-12	5.408E+9	   19.9987	   21.6809	   18.5142	   -3.2756	
 -600.0000	2.119E-12	5.279E+9	   19.9961	   21.6786	   18.5041	   -3.2848	
