GCD Test
Bias: 5000.000000
CV_38874_011_2-S_HM_XX_DIODE
Date/Time: 3/9/2022 10:41:56 AM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freqNaN	LCR_Rp_freqNaN	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	5.112E-11	1.528E+9	   19.9910	   22.1164	   17.8491	   -3.4095	
  -20.0000	3.669E-11	2.067E+9	   19.9910	   22.1164	   17.8491	   -3.4095	
  -30.0000	2.994E-11	2.381E+9	   19.9936	   22.1142	   17.8634	   -3.4006	
  -40.0000	2.535E-11	2.291E+9	   19.9910	   22.1126	   17.8763	   -3.3922	
  -50.0000	2.154E-11	2.321E+9	   19.9910	   22.1117	   17.8672	   -3.3998	
  -60.0000	1.919E-11	2.830E+9	   19.9910	   22.1163	   17.8817	   -3.3852	
  -70.0000	1.779E-11	2.406E+9	   19.9910	   22.1118	   17.8817	   -3.3888	
  -80.0000	1.641E-11	2.308E+8	   19.9910	   22.1125	   17.8820	   -3.3881	
  -90.0000	1.360E-11	1.981E+9	   19.9910	   22.1125	   17.8906	   -3.3817	
 -100.0000	1.295E-11	2.849E+9	   19.9884	   22.1112	   17.8972	   -3.3778	
 -110.0000	1.240E-11	2.768E+9	   19.9910	   22.1074	   17.9039	   -3.3759	
 -120.0000	1.190E-11	3.038E+9	   19.9910	   22.1074	   17.9039	   -3.3759	
 -130.0000	1.148E-11	3.387E+9	   19.9910	   22.1079	   17.9032	   -3.3760	
 -140.0000	1.109E-11	3.254E+9	   19.9910	   22.1031	   17.9070	   -3.3771	
 -150.0000	1.072E-11	3.332E+9	   19.9884	   22.1043	   17.9124	   -3.3720	
 -160.0000	1.039E-11	3.298E+9	   19.9884	   22.1016	   17.9042	   -3.3804	
 -170.0000	1.009E-11	3.670E+9	   19.9884	   22.1010	   17.9127	   -3.3745	
 -180.0000	9.808E-12	3.729E+9	   19.9884	   22.1005	   17.9168	   -3.3719	
 -190.0000	9.536E-12	3.557E+9	   19.9884	   22.1032	   17.9156	   -3.3706	
 -200.0000	9.326E-12	3.628E+9	   19.9884	   22.0996	   17.9311	   -3.3620	
 -210.0000	9.226E-12	3.695E+9	   19.9884	   22.1005	   17.9282	   -3.3634	
 -220.0000	9.186E-12	4.070E+9	   19.9884	   22.0968	   17.9279	   -3.3666	
 -230.0000	9.162E-12	4.104E+9	   19.9884	   22.1009	   17.9269	   -3.3639	
 -240.0000	9.141E-12	4.062E+9	   19.9910	   22.1021	   17.9352	   -3.3569	
 -250.0000	9.132E-12	4.427E+9	   19.9884	   22.0974	   17.9386	   -3.3581	
 -260.0000	9.122E-12	4.096E+9	   19.9884	   22.0961	   17.9358	   -3.3613	
 -270.0000	9.116E-12	4.172E+9	   19.9858	   22.0976	   17.9349	   -3.3607	
 -280.0000	9.111E-12	4.334E+9	   19.9884	   22.0976	   17.9244	   -3.3685	
 -290.0000	9.101E-12	4.381E+9	   19.9884	   22.0914	   17.9475	   -3.3564	
 -300.0000	9.099E-12	4.387E+9	   19.9858	   22.0925	   17.9374	   -3.3630	
 -310.0000	9.099E-12	4.488E+9	   19.9884	   22.0947	   17.9260	   -3.3698	
 -320.0000	9.091E-12	4.242E+9	   19.9884	   22.1004	   17.9304	   -3.3618	
 -330.0000	9.092E-12	4.277E+9	   19.9858	   22.1004	   17.9228	   -3.3674	
 -340.0000	9.088E-12	5.272E+9	   19.9858	   22.0917	   17.9121	   -3.3826	
 -350.0000	9.084E-12	4.091E+9	   19.9858	   22.0917	   17.9121	   -3.3826	
 -360.0000	9.083E-12	4.264E+9	   19.9858	   22.0881	   17.9124	   -3.3852	
 -370.0000	9.084E-12	4.509E+9	   19.9858	   22.0904	   17.9178	   -3.3794	
 -380.0000	9.080E-12	4.086E+9	   19.9858	   22.0844	   17.9146	   -3.3866	
 -390.0000	9.079E-12	4.658E+9	   19.9858	   22.0830	   17.9067	   -3.3936	
 -400.0000	9.079E-12	4.308E+9	   19.9858	   22.0858	   17.8994	   -3.3968	
 -420.0000	9.075E-12	4.412E+9	   19.9858	   22.0852	   17.8887	   -3.4053	
 -440.0000	9.072E-12	4.556E+9	   19.9858	   22.0852	   17.8887	   -3.4053	
 -460.0000	9.069E-12	4.345E+9	   19.9858	   22.0777	   17.8865	   -3.4131	
 -480.0000	9.065E-12	4.539E+9	   19.9833	   22.0827	   17.8817	   -3.4126	
 -500.0000	9.066E-12	4.541E+9	   19.9833	   22.0803	   17.8789	   -3.4166	
 -520.0000	9.065E-12	4.762E+9	   19.9833	   22.0790	   17.8776	   -3.4186	
 -540.0000	9.061E-12	4.339E+9	   19.9833	   22.0811	   17.8694	   -3.4231	
 -560.0000	9.058E-12	4.407E+9	   19.9833	   22.0764	   17.8691	   -3.4271	
 -580.0000	9.059E-12	4.264E+9	   19.9833	   22.0795	   17.8567	   -3.4338	
 -600.0000	9.056E-12	4.322E+9	   19.9833	   22.0795	   17.8631	   -3.4291	
