GCD Test
Bias: 5000.000000
IV_38874_044_2-S_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 3/9/2022 12:02:50 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.9300E-10	1.9300E-10	-1.870995E-11	-1.870995E-11	   19.9987	   21.9486	   18.3767	   -3.1566	
  -20.0000	4.8000E-11	4.8000E-11	-2.037549E-11	-2.037549E-11	   19.9961	   21.9483	   18.3378	   -3.1853	
  -30.0000	-1.4000E-11	-1.4000E-11	-2.207384E-11	-2.207384E-11	   19.9961	   21.9463	   18.3017	   -3.2132	
  -40.0000	-1.0700E-10	-1.0700E-10	-2.334743E-11	-2.334743E-11	   19.9987	   21.9469	   18.2717	   -3.2347	
  -50.0000	-1.6900E-10	-1.6900E-10	-2.417289E-11	-2.417289E-11	   19.9987	   21.9474	   18.2362	   -3.2603	
  -60.0000	-1.4200E-10	-1.4200E-10	-2.512422E-11	-2.512422E-11	   19.9987	   21.9474	   18.1784	   -3.2603	
  -70.0000	-2.4700E-10	-2.4700E-10	-2.600426E-11	-2.600426E-11	   19.9987	   21.9488	   18.1660	   -3.3017	
  -80.0000	-1.7600E-10	-1.7600E-10	-2.686779E-11	-2.686779E-11	   19.9987	   21.9453	   18.1546	   -3.3136	
  -90.0000	-2.5600E-10	-2.5600E-10	-2.714098E-11	-2.714098E-11	   19.9987	   21.9450	   18.1227	   -3.3222	
 -100.0000	-2.4300E-10	-2.4300E-10	-2.755614E-11	-2.755614E-11	   20.0013	   21.9488	   18.1167	   -3.3427	
 -110.0000	-2.4700E-10	-2.4700E-10	-2.858243E-11	-2.858243E-11	   20.0013	   21.9512	   18.1167	   -3.3452	
 -120.0000	-3.6500E-10	-3.6500E-10	-2.901796E-11	-2.901796E-11	   20.0039	   21.9461	   18.0958	   -3.3648	
 -130.0000	-3.4800E-10	-3.4800E-10	-2.966128E-11	-2.966128E-11	   20.0039	   21.9477	   18.0895	   -3.3681	
