GCD Test
Bias: 5000.000000
IV_38875_004_2-S_HM_XX_DIODEHALF
Date/Time: 3/9/2022 12:34:00 PM
Sensor Name: 
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.2200E-10	3.2200E-10	-7.773793E-11	-7.773793E-11	   19.9961	   21.9339	   18.4801	   -3.0935	
  -20.0000	2.4900E-10	2.4900E-10	-8.347712E-11	-8.347712E-11	   19.9961	   21.9339	   18.4260	   -3.0935	
  -30.0000	2.1100E-10	2.1100E-10	-9.554742E-11	-9.554742E-11	   19.9961	   21.9341	   18.4260	   -3.1326	
  -40.0000	5.5000E-11	5.5000E-11	-1.071298E-10	-1.071298E-10	   19.9987	   21.9296	   18.3899	   -3.1625	
  -50.0000	7.9000E-11	7.9000E-11	-1.134858E-10	-1.134858E-10	   19.9987	   21.9326	   18.3675	   -3.1764	
  -60.0000	-8.1000E-11	-8.1000E-11	-1.162773E-10	-1.162773E-10	   20.0013	   21.9338	   18.3441	   -3.1925	
  -70.0000	-1.1200E-10	-1.1200E-10	-1.176020E-10	-1.176020E-10	   20.0013	   21.9330	   18.3270	   -3.2056	
  -80.0000	-4.8000E-11	-4.8000E-11	-1.191388E-10	-1.191388E-10	   20.0039	   21.9336	   18.3166	   -3.2128	
  -90.0000	-1.9400E-10	-1.9400E-10	-1.204385E-10	-1.204385E-10	   20.0039	   21.9369	   18.2897	   -3.2297	
 -100.0000	-1.3400E-10	-1.3400E-10	-1.215942E-10	-1.215942E-10	   20.0064	   21.9352	   18.2849	   -3.2345	
 -110.0000	-2.0100E-10	-2.0100E-10	-1.221984E-10	-1.221984E-10	   20.0064	   21.9352	   18.2849	   -3.2345	
 -120.0000	-2.9900E-10	-2.9900E-10	-1.226657E-10	-1.226657E-10	   20.0064	   21.9326	   18.2751	   -3.2439	
 -130.0000	-2.1800E-10	-2.1800E-10	-1.236672E-10	-1.236672E-10	   20.0013	   21.9326	   18.2606	   -3.2439	
 -140.0000	-2.2200E-10	-2.2200E-10	-1.250431E-10	-1.250431E-10	   20.0013	   21.9326	   18.2606	   -3.2545	
 -150.0000	-3.7900E-10	-3.7900E-10	-1.257161E-10	-1.257161E-10	   19.9987	   21.9306	   18.2470	   -3.2647	
 -160.0000	-2.8800E-10	-2.8800E-10	-1.273042E-10	-1.273042E-10	   19.9987	   21.9306	   18.2400	   -3.2661	
 -170.0000	-3.2700E-10	-3.2700E-10	-1.287059E-10	-1.287059E-10	   19.9987	   21.9337	   18.2400	   -3.2687	
 -180.0000	-3.6400E-10	-3.6400E-10	-1.312438E-10	-1.312438E-10	   19.9987	   21.9331	   18.2410	   -3.2685	
 -190.0000	-3.3600E-10	-3.3600E-10	-1.346371E-10	-1.346371E-10	   19.9987	   21.9317	   18.2217	   -3.2838	
 -200.0000	-5.0300E-10	-5.0300E-10	-1.379868E-10	-1.379868E-10	   20.0013	   21.9333	   18.2176	   -3.2855	
 -210.0000	-3.9200E-10	-3.9200E-10	-1.414312E-10	-1.414312E-10	   20.0013	   21.9356	   18.2081	   -3.2906	
 -220.0000	-4.9400E-10	-4.9400E-10	-1.450880E-10	-1.450880E-10	   20.0013	   21.9322	   18.2030	   -3.2971	
 -230.0000	-4.2800E-10	-4.2800E-10	-1.478318E-10	-1.478318E-10	   20.0013	   21.9283	   18.2075	   -3.2970	
 -240.0000	-4.5100E-10	-4.5100E-10	-1.500861E-10	-1.500861E-10	   20.0013	   21.9357	   18.2034	   -3.2940	
 -250.0000	-4.7400E-10	-4.7400E-10	-1.522838E-10	-1.522838E-10	   20.0013	   21.9316	   18.2030	   -3.2976	
 -260.0000	-5.1200E-10	-5.1200E-10	-1.543811E-10	-1.543811E-10	   20.0013	   21.9344	   18.2018	   -3.2962	
 -270.0000	-5.1800E-10	-5.1800E-10	-1.562196E-10	-1.562196E-10	   20.0013	   21.9351	   18.2046	   -3.2935	
 -280.0000	-5.7300E-10	-5.7300E-10	-1.576850E-10	-1.576850E-10	   20.0013	   21.9315	   18.2065	   -3.2951	
 -290.0000	-5.8700E-10	-5.8700E-10	-1.590375E-10	-1.590375E-10	   20.0013	   21.9364	   18.2100	   -3.2886	
 -300.0000	-5.9800E-10	-5.9800E-10	-1.604798E-10	-1.604798E-10	   20.0039	   21.9359	   18.2179	   -3.2831	
 -310.0000	-5.8400E-10	-5.8400E-10	-1.617988E-10	-1.617988E-10	   20.0039	   21.9359	   18.2179	   -3.2831	
 -320.0000	-7.0600E-10	-7.0600E-10	-1.633436E-10	-1.633436E-10	   20.0013	   21.9316	   18.2154	   -3.2885	
 -330.0000	-7.0200E-10	-7.0200E-10	-1.644204E-10	-1.644204E-10	   20.0013	   21.9316	   18.2271	   -3.2885	
 -340.0000	-6.3100E-10	-6.3100E-10	-1.655295E-10	-1.655295E-10	   20.0013	   21.9316	   18.2176	   -3.2799	
 -350.0000	-6.5600E-10	-6.5600E-10	-1.668607E-10	-1.668607E-10	   20.0013	   21.9371	   18.2287	   -3.2824	
 -360.0000	-6.4200E-10	-6.4200E-10	-1.677323E-10	-1.677323E-10	   19.9987	   21.9309	   18.2347	   -3.2793	
 -370.0000	-6.7100E-10	-6.7100E-10	-1.686668E-10	-1.686668E-10	   19.9987	   21.9311	   18.2347	   -3.2748	
 -380.0000	-8.1300E-10	-8.1300E-10	-1.699784E-10	-1.699784E-10	   19.9987	   21.9289	   18.2337	   -3.2772	
 -390.0000	-6.8400E-10	-6.8400E-10	-1.707554E-10	-1.707554E-10	   19.9961	   21.9310	   18.2318	   -3.2770	
 -400.0000	-7.1700E-10	-7.1700E-10	-1.715996E-10	-1.715996E-10	   19.9987	   21.9315	   18.2242	   -3.2821	
 -420.0000	-8.1100E-10	-8.1100E-10	-1.736053E-10	-1.736053E-10	   19.9961	   21.9317	   18.2318	   -3.2763	
 -440.0000	-9.5100E-10	-9.5100E-10	-1.758581E-10	-1.758581E-10	   19.9961	   21.9308	   18.2328	   -3.2764	
 -460.0000	-1.0180E-9	-1.0180E-9	-1.777879E-10	-1.777879E-10	   19.9987	   21.9269	   18.2170	   -3.2912	
 -480.0000	-1.1020E-9	-1.1020E-9	-1.789642E-10	-1.789642E-10	   19.9987	   21.9312	   18.2280	   -3.2795	
 -500.0000	-1.2850E-9	-1.2850E-9	-1.810374E-10	-1.810374E-10	   20.0013	   21.9222	   18.2287	   -3.2865	
 -520.0000	-1.3410E-9	-1.3410E-9	-1.822160E-10	-1.822160E-10	   20.0013	   21.9222	   18.2366	   -3.2865	
