GCD Test
Bias: 5000.000000
CV_34253_037_PSS_HM_XX_DIODE
Date/Time: 4/11/2021 4:01:32 PM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated, Not Annealed
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	9.330E-11	9.344E-11	7.944E+8	8.823E+7	   23.0141	   23.3215	   35.1948	    7.0885	
  -10.0000	6.818E-11	6.820E-11	1.039E+9	1.074E+8	   23.0141	   23.3174	   35.2261	    7.0979	
  -15.0000	5.660E-11	5.644E-11	1.088E+9	1.212E+8	   23.0141	   23.3173	   35.2261	    7.0978	
  -20.0000	4.945E-11	4.911E-11	1.001E+9	1.299E+8	   23.0141	   23.3177	   35.2195	    7.0954	
  -25.0000	4.416E-11	4.388E-11	1.071E+9	1.352E+8	   23.0141	   23.3219	   35.2160	    7.0976	
  -30.0000	4.006E-11	3.981E-11	1.170E+9	1.374E+8	   23.0141	   23.3208	   35.2343	    7.1043	
  -35.0000	3.668E-11	3.646E-11	1.191E+9	1.386E+8	   23.0141	   23.3213	   35.2287	    7.1024	
  -40.0000	3.385E-11	3.365E-11	1.278E+9	1.338E+8	   23.0115	   23.3204	   35.2211	    7.0984	
  -45.0000	3.166E-11	3.150E-11	1.431E+9	1.157E+8	   23.0141	   23.3179	   35.2299	    7.0999	
  -50.0000	3.007E-11	2.989E-11	1.288E+9	7.181E+7	   23.0141	   23.3212	   35.2315	    7.1035	
  -55.0000	2.876E-11	2.844E-11	8.687E+8	3.427E+7	   23.0115	   23.3238	   35.2309	    7.1054	
  -60.0000	2.754E-11	2.706E-11	5.997E+8	1.607E+7	   23.0141	   23.3244	   35.2302	    7.1058	
  -65.0000	2.656E-11	2.487E-11	2.913E+8	1.061E+7	   23.0141	   23.3240	   35.2340	    7.1069	
  -70.0000	2.517E-11	2.307E-11	1.242E+8	1.872E+7	   23.0141	   23.3210	   35.2369	    7.1055	
  -75.0000	2.315E-11	2.219E-11	1.192E+8	4.763E+7	   23.0115	   23.3232	   35.2315	    7.1052	
  -80.0000	2.184E-11	2.154E-11	2.701E+8	1.029E+8	   23.0141	   23.3232	   35.2375	    7.1077	
  -85.0000	2.116E-11	2.102E-11	5.996E+8	2.005E+8	   23.0141	   23.3229	   35.2372	    7.1073	
  -90.0000	2.066E-11	2.055E-11	9.854E+8	2.516E+8	   23.0141	   23.3236	   35.2321	    7.1058	
  -95.0000	2.022E-11	2.012E-11	1.101E+9	2.737E+8	   23.0141	   23.3252	   35.2394	    7.1103	
