GCD Test
Bias: 5000.000000
CV_34254_025_PSS_HM_XX_DIODEQUARTER
Date/Time: 4/13/2021 6:18:01 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.674E-11	1.670E-11	2.121E+9	1.492E+8	   23.0914	 -246.8610	   28.9339	 -246.8610	
  -10.0000	1.313E-11	1.308E-11	2.513E+9	1.865E+8	   23.0888	 -246.8610	   28.9333	 -246.8610	
  -15.0000	1.148E-11	1.140E-11	2.726E+9	1.967E+8	   23.0914	 -246.8610	   28.9314	 -246.8610	
  -20.0000	1.044E-11	1.037E-11	2.668E+9	2.015E+8	   23.0888	 -246.8610	   28.9311	 -246.8610	
  -25.0000	9.697E-12	9.625E-12	2.832E+9	2.089E+8	   23.0888	 -246.8610	   28.9390	 -246.8610	
  -30.0000	9.148E-12	9.071E-12	2.652E+9	2.020E+8	   23.0914	 -246.8610	   28.9349	 -246.8610	
  -35.0000	8.667E-12	8.572E-12	2.549E+9	2.159E+8	   23.0914	 -246.8610	   28.9386	 -246.8610	
  -40.0000	8.254E-12	8.160E-12	2.696E+9	2.200E+8	   23.0914	 -246.8610	   28.9405	 -246.8610	
  -45.0000	7.875E-12	7.785E-12	2.756E+9	2.228E+8	   23.0914	 -246.8610	   28.9447	 -246.8610	
  -50.0000	7.517E-12	7.422E-12	2.528E+9	2.236E+8	   23.0914	 -246.8610	   28.9323	 -246.8610	
  -55.0000	7.178E-12	7.083E-12	2.644E+9	2.215E+8	   23.0914	 -246.8610	   28.9405	 -246.8610	
  -60.0000	6.914E-12	6.828E-12	2.723E+9	2.082E+8	   23.0914	 -246.8610	   28.9399	 -246.8610	
  -65.0000	6.759E-12	6.660E-12	2.617E+9	1.454E+8	   23.0914	 -246.8610	   28.9352	 -246.8610	
  -70.0000	6.624E-12	6.450E-12	1.590E+9	1.196E+8	   23.0914	 -246.8610	   28.9402	 -246.8610	
  -75.0000	6.451E-12	6.328E-12	1.848E+9	6.908E+7	   23.0914	 -246.8610	   28.9516	 -246.8610	
  -80.0000	6.372E-12	6.119E-12	1.492E+9	4.108E+7	   23.0914	 -246.8610	   28.9437	 -246.8610	
  -85.0000	6.289E-12	5.775E-12	8.523E+8	3.580E+7	   23.0914	 -246.8610	   28.9412	 -246.8610	
  -90.0000	6.035E-12	5.459E-12	4.100E+8	6.399E+7	   23.0939	 -246.8610	   28.9535	 -246.8610	
  -95.0000	5.600E-12	5.361E-12	4.919E+8	1.457E+8	   23.0914	 -246.8610	   28.9456	 -246.8610	
 -100.0000	5.426E-12	5.307E-12	1.149E+9	2.350E+8	   23.0914	 -246.8610	   28.9491	 -246.8610	
 -105.0000	5.357E-12	5.277E-12	1.596E+9	3.014E+8	   23.0939	 -246.8610	   28.9421	 -246.8610	
