GCD Test
Bias: 5000.000000
IV_34331_042_2-S_HM_XX_DIODEHALFPSTOP
Date/Time: 9/9/2021 4:24:57 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	7.0100E-10	7.0100E-10	-4.663576E-11	-4.663576E-11	   19.8057	   19.8911	    8.2132	  -14.9643	
  -10.0000	5.4900E-10	5.4900E-10	-4.862133E-11	-4.862133E-11	   19.8057	   19.8898	    8.2132	  -15.0099	
  -15.0000	4.6600E-10	4.6600E-10	-5.060733E-11	-5.060733E-11	   19.8185	   19.8830	    8.1977	  -15.0378	
  -20.0000	3.6300E-10	3.6300E-10	-5.436824E-11	-5.436824E-11	   19.8623	   19.8824	    8.0867	  -15.2028	
  -25.0000	2.9500E-10	2.9500E-10	-5.818600E-11	-5.818600E-11	   19.9447	   19.8824	    8.1569	  -15.0985	
  -30.0000	1.9400E-10	1.9400E-10	-6.013856E-11	-6.013856E-11	   20.0502	   19.8899	    8.1720	  -15.0704	
  -35.0000	1.7700E-10	1.7700E-10	-6.176216E-11	-6.176216E-11	   20.1583	   19.8990	    8.3112	  -14.8595	
  -40.0000	8.4000E-11	8.4000E-11	-6.265521E-11	-6.265521E-11	   20.2484	   19.9022	    8.2843	  -14.8964	
  -45.0000	1.2800E-10	1.2800E-10	-6.339226E-11	-6.339226E-11	   20.3127	   19.9051	    8.2745	  -14.9085	
  -50.0000	6.7000E-11	6.7000E-11	-6.333870E-11	-6.333870E-11	   20.3153	   19.9096	    8.2710	  -14.9102	
  -55.0000	3.9000E-11	3.9000E-11	-6.379298E-11	-6.379298E-11	   20.2535	   19.9096	    8.2710	  -14.9102	
  -60.0000	6.9000E-11	6.9000E-11	-6.382964E-11	-6.382964E-11	   20.1634	   19.9110	    8.2448	  -14.9476	
  -65.0000	-8.1000E-11	-8.1000E-11	-6.435765E-11	-6.435765E-11	   20.0708	   19.9037	    8.2100	  -15.0041	
  -70.0000	-6.8000E-11	-6.8000E-11	-6.581687E-11	-6.581687E-11	   19.9678	   19.9007	    8.2562	  -15.0231	
  -75.0000	-6.5000E-11	-6.5000E-11	-6.740009E-11	-6.740009E-11	   19.8906	   19.9007	    8.3510	  -14.9386	
  -80.0000	-1.3800E-10	-1.3800E-10	-7.044132E-11	-7.044132E-11	   19.8314	   19.8927	    8.3216	  -14.8064	
  -85.0000	-9.6000E-11	-9.6000E-11	-7.441856E-11	-7.441856E-11	   19.8314	   19.8891	    8.3216	  -14.8518	
  -90.0000	-8.2000E-11	-8.2000E-11	-7.933454E-11	-7.933454E-11	   19.8108	   19.8795	    8.3106	  -14.8751	
