37399_049_PSS_HM_XX_Unirrad
Date/Time: 11/2/2021 2:58:00 PM
Sensor Name: 37399_049_PSS_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: 20C
Tester: Eric Spencer
Notes: Pre-irrad measurement

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	5.029E-10	4.910E-7	   20.0000	   27.0093	    1.3101	    0.0000	
  -10.0000	3.112E-10	6.536E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -15.0000	2.529E-10	4.374E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -20.0000	2.180E-10	3.242E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -25.0000	1.935E-10	2.873E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -30.0000	1.738E-10	2.351E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -35.0000	1.606E-10	1.817E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -40.0000	1.510E-10	1.756E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -45.0000	1.433E-10	1.935E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -50.0000	1.295E-10	1.639E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -55.0000	1.243E-10	1.312E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -60.0000	1.194E-10	1.454E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -65.0000	1.148E-10	1.195E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -70.0000	1.116E-10	9.154E-9	   20.0000	   27.0093	    1.3101	    0.0000	
  -75.0000	1.076E-10	1.155E-8	   20.0000	   27.0093	    1.3101	    0.0000	
  -80.0000	1.048E-10	6.981E-9	   20.0000	   27.0093	    1.3101	    0.0000	
  -85.0000	1.020E-10	6.857E-9	   20.0000	   27.0093	    1.3101	    0.0000	
  -90.0000	9.924E-11	8.520E-9	   20.0000	   27.0093	    1.3101	    0.0000	
  -95.0000	9.701E-11	8.767E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -100.0000	9.471E-11	7.567E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -105.0000	9.253E-11	8.599E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -110.0000	9.068E-11	7.508E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -115.0000	8.843E-11	8.352E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -120.0000	8.662E-11	6.755E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -125.0000	8.526E-11	8.027E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -130.0000	8.387E-11	7.313E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -135.0000	8.222E-11	8.714E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -140.0000	8.117E-11	5.353E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -145.0000	7.959E-11	6.613E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -150.0000	7.850E-11	1.890E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -155.0000	7.756E-11	6.265E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -160.0000	7.657E-11	4.332E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -165.0000	7.522E-11	4.181E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -170.0000	7.431E-11	5.959E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -175.0000	7.345E-11	5.107E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -180.0000	7.233E-11	3.613E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -185.0000	7.162E-11	4.074E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -190.0000	7.081E-11	4.188E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -195.0000	6.976E-11	3.332E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -200.0000	6.924E-11	4.180E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -205.0000	6.831E-11	5.201E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -210.0000	6.749E-11	3.197E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -215.0000	6.680E-11	4.002E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -220.0000	6.586E-11	4.577E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -225.0000	6.516E-11	1.319E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -230.0000	6.453E-11	4.890E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -235.0000	6.411E-11	4.675E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -240.0000	6.311E-11	3.839E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -245.0000	6.279E-11	2.227E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -250.0000	6.213E-11	5.618E-10	   20.0000	   27.0093	    1.3101	    0.0000	
 -255.0000	6.177E-11	3.855E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -260.0000	6.064E-11	5.387E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -265.0000	6.020E-11	4.382E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -270.0000	5.980E-11	1.606E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -275.0000	5.921E-11	2.463E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -280.0000	5.889E-11	1.840E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -285.0000	5.883E-11	2.661E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -290.0000	5.846E-11	1.753E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -295.0000	5.840E-11	2.896E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -300.0000	5.788E-11	3.413E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -305.0000	5.789E-11	2.195E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -310.0000	5.809E-11	4.544E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -315.0000	5.802E-11	1.629E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -320.0000	5.825E-11	2.795E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -325.0000	5.757E-11	2.987E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -330.0000	5.759E-11	2.803E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -335.0000	5.772E-11	3.589E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -340.0000	5.746E-11	4.958E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -345.0000	5.788E-11	2.208E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -350.0000	5.777E-11	1.101E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -355.0000	5.777E-11	3.950E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -360.0000	5.751E-11	2.774E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -365.0000	5.800E-11	2.159E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -370.0000	5.753E-11	1.692E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -375.0000	5.763E-11	2.063E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -380.0000	5.749E-11	2.176E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -385.0000	5.753E-11	2.685E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -390.0000	5.757E-11	3.832E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -395.0000	5.773E-11	3.526E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -400.0000	5.732E-11	4.341E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -410.0000	5.780E-11	2.230E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -420.0000	5.762E-11	2.099E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -430.0000	5.764E-11	2.966E-10	   20.0000	   27.0093	    1.3101	    0.0000	
 -440.0000	5.756E-11	2.580E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -450.0000	5.762E-11	4.010E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -460.0000	5.733E-11	1.265E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -470.0000	5.735E-11	2.067E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -480.0000	5.763E-11	2.992E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -490.0000	5.723E-11	2.827E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -500.0000	5.711E-11	4.124E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -510.0000	5.727E-11	5.941E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -520.0000	5.711E-11	4.185E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -530.0000	5.744E-11	4.440E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -540.0000	5.758E-11	3.471E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -550.0000	5.763E-11	1.047E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -560.0000	5.753E-11	4.133E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -570.0000	5.772E-11	2.864E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -580.0000	5.758E-11	4.255E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -590.0000	5.759E-11	3.094E-9	   20.0000	   27.0093	    1.3101	    0.0000	
 -600.0000	5.719E-11	1.420E-9	   20.0000	   27.0093	    1.3101	    0.0000	
