GCD Test
Bias: 5000.000000
IV_37399_033_2-S_HM_XX_DIODE
Date/Time: 11/3/2021 3:52:33 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-2.1100E-10	-2.1100E-10	-1.402852E-10	-1.402852E-10	   20.1326	   21.5093	    6.7669	  -16.1394	
  -10.0000	-1.2700E-10	-1.2700E-10	-1.449144E-10	-1.449144E-10	   20.1223	   21.5093	    6.7600	  -16.1394	
  -15.0000	-2.2600E-10	-2.2600E-10	-1.515686E-10	-1.515686E-10	   20.1223	   21.5053	    6.7600	  -16.1546	
  -20.0000	-2.1200E-10	-2.1200E-10	-1.635892E-10	-1.635892E-10	   20.1145	   21.5032	    6.7571	  -16.1612	
  -25.0000	-2.1700E-10	-2.1700E-10	-1.857598E-10	-1.857598E-10	   20.1094	   21.5046	    6.7612	  -16.1529	
  -30.0000	-2.3900E-10	-2.3900E-10	-1.925450E-10	-1.925450E-10	   20.1017	   21.4964	    6.7577	  -16.1650	
  -35.0000	-3.2600E-10	-3.2600E-10	-1.983098E-10	-1.983098E-10	   20.0965	   21.4917	    6.7647	  -16.1561	
  -40.0000	-4.2100E-10	-4.2100E-10	-2.050450E-10	-2.050450E-10	   20.0914	   21.4919	    6.7666	  -16.1526	
  -45.0000	-3.4300E-10	-3.4300E-10	-2.071951E-10	-2.071951E-10	   20.0837	   21.4949	    6.7565	  -16.1684	
  -50.0000	-4.2900E-10	-4.2900E-10	-2.087868E-10	-2.087868E-10	   20.0759	   21.4886	    6.7603	  -16.1663	
