GCD Test
Bias: 5000.000000
IV_37399_049_PSS_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 11/3/2021 7:26:00 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.2100E-10	1.2100E-10	-1.618172E-11	-1.618172E-11	   19.9961	   21.4335	    8.0206	  -13.8752	
  -10.0000	4.8000E-11	4.8000E-11	-1.667410E-11	-1.667410E-11	   19.9961	   21.4308	    8.0206	  -14.1467	
  -15.0000	1.4500E-10	1.4500E-10	-1.724796E-11	-1.724796E-11	   19.9987	   21.4310	    7.8346	  -14.4318	
  -20.0000	7.9000E-11	7.9000E-11	-1.800821E-11	-1.800821E-11	   20.0013	   21.4328	    7.7100	  -14.6249	
  -25.0000	-7.4000E-11	-7.4000E-11	-1.857147E-11	-1.857147E-11	   20.0039	   21.4330	    7.5835	  -14.8251	
  -30.0000	-4.1000E-11	-4.1000E-11	-1.936025E-11	-1.936025E-11	   20.0064	   21.4329	    7.4738	  -15.0014	
  -35.0000	-9.7000E-11	-9.7000E-11	-1.973345E-11	-1.973345E-11	   20.0064	   21.4325	    7.3779	  -15.1575	
  -40.0000	-1.1600E-10	-1.1600E-10	-2.009809E-11	-2.009809E-11	   20.0064	   21.4330	    7.2995	  -15.2860	
  -45.0000	-5.8000E-11	-5.8000E-11	-2.069925E-11	-2.069925E-11	   20.0064	   21.4328	    7.2211	  -15.4163	
  -50.0000	-1.3100E-10	-1.3100E-10	-2.063406E-11	-2.063406E-11	   20.0064	   21.4319	    7.1562	  -15.5254	
  -55.0000	-1.4700E-10	-1.4700E-10	-2.118571E-11	-2.118571E-11	   20.0039	   21.4351	    7.0996	  -15.6185	
  -60.0000	-1.7200E-10	-1.7200E-10	-2.133381E-11	-2.133381E-11	   19.9987	   21.4351	    7.0247	  -15.6185	
  -65.0000	-1.7900E-10	-1.7900E-10	-2.097833E-11	-2.097833E-11	   19.9987	   21.4403	    7.0247	  -15.7421	
  -70.0000	-1.1700E-10	-1.1700E-10	-2.138657E-11	-2.138657E-11	   19.9936	   21.4375	    6.9605	  -15.8543	
  -75.0000	-1.8200E-10	-1.8200E-10	-2.186224E-11	-2.186224E-11	   19.9936	   21.4375	    6.9605	  -15.8543	
  -80.0000	-2.1700E-10	-2.1700E-10	-2.212971E-11	-2.212971E-11	   19.9884	   21.4430	    6.9010	  -15.9531	
  -85.0000	-1.3800E-10	-1.3800E-10	-2.208571E-11	-2.208571E-11	   19.9884	   21.4430	    6.8741	  -15.9531	
