GCD Test
Bias: 5000.000000
IV_37895_001_PSS_HM_XX_DIODEHALFPSTOP_GR
Date/Time: 12/17/2021 10:42:03 AM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	2.5400E-10	2.5400E-10	-2.144982E-11	-2.144982E-11	   20.0219	   21.6264	   23.3163	   -0.2239	
  -10.0000	3.2300E-10	3.2300E-10	-1.764159E-11	-1.764159E-11	   20.0219	   21.6278	   23.3163	   -0.1937	
  -15.0000	8.8000E-11	8.8000E-11	-1.822706E-11	-1.822706E-11	   20.0219	   21.6310	   23.3517	   -0.1702	
  -20.0000	2.3600E-10	2.3600E-10	-1.911383E-11	-1.911383E-11	   20.0219	   21.6332	   23.3820	   -0.1505	
  -25.0000	2.0000E-10	2.0000E-10	-1.927313E-11	-1.927313E-11	   20.0219	   21.6332	   23.4114	   -0.1505	
  -30.0000	9.4000E-11	9.4000E-11	-2.007454E-11	-2.007454E-11	   20.0219	   21.6332	   23.4282	   -0.1332	
  -35.0000	7.4000E-11	7.4000E-11	-2.009125E-11	-2.009125E-11	   20.0219	   21.6406	   23.4282	   -0.1172	
  -40.0000	3.8000E-11	3.8000E-11	-2.055430E-11	-2.055430E-11	   20.0193	   21.6363	   23.4390	   -0.1145	
  -45.0000	-4.5000E-11	-4.5000E-11	-2.137790E-11	-2.137790E-11	   20.0193	   21.6423	   23.4513	   -0.1022	
  -50.0000	-4.0000E-11	-4.0000E-11	-2.121167E-11	-2.121167E-11	   20.0193	   21.6377	   23.4573	   -0.1026	
  -55.0000	-7.7000E-11	-7.7000E-11	-2.203773E-11	-2.203773E-11	   20.0193	   21.6401	   23.4605	   -0.0988	
  -60.0000	-2.0500E-10	-2.0500E-10	-2.190898E-11	-2.190898E-11	   20.0193	   21.6401	   23.4605	   -0.0988	
  -65.0000	-1.7000E-11	-1.7000E-11	-2.237304E-11	-2.237304E-11	   20.0193	   21.6404	   23.4817	   -0.0899	
  -70.0000	-1.8500E-10	-1.8500E-10	-2.272710E-11	-2.272710E-11	   20.0167	   21.6404	   23.4832	   -0.0861	
  -75.0000	-1.1200E-10	-1.1200E-10	-2.319339E-11	-2.319339E-11	   20.0193	   21.6402	   23.4880	   -0.0853	
