GCD Test
Bias: 5000.000000
IV_37895_001_PSS_HM_XX_DIODE
Date/Time: 12/17/2021 9:31:03 AM
Sensor Name: DIODE
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	-2.5700E-10	-2.5700E-10	-1.694798E-10	-1.694798E-10	   20.1326	   22.2423	   21.3805	   -0.9040	
  -10.0000	-1.7400E-10	-1.7400E-10	-1.744623E-10	-1.744623E-10	   20.1326	   22.2297	   21.3805	   -0.8778	
  -15.0000	-1.9800E-10	-1.9800E-10	-1.791023E-10	-1.791023E-10	   20.1454	   22.2124	   21.4266	   -0.8628	
  -20.0000	-3.5900E-10	-3.5900E-10	-1.857206E-10	-1.857206E-10	   20.1531	   22.1929	   21.4690	   -0.8520	
  -25.0000	-3.5300E-10	-3.5300E-10	-1.948837E-10	-1.948837E-10	   20.1634	   22.1919	   21.5016	   -0.8321	
  -30.0000	-4.1100E-10	-4.1100E-10	-2.073167E-10	-2.073167E-10	   20.1763	   22.1789	   21.5361	   -0.8211	
  -35.0000	-4.2900E-10	-4.2900E-10	-2.200075E-10	-2.200075E-10	   20.1840	   22.1675	   21.5727	   -0.8073	
  -40.0000	-4.5800E-10	-4.5800E-10	-2.307493E-10	-2.307493E-10	   20.1918	   22.1618	   21.5977	   -0.7962	
  -45.0000	-4.8000E-10	-4.8000E-10	-2.400803E-10	-2.400803E-10	   20.1995	   22.1492	   21.6256	   -0.7891	
  -50.0000	-4.8800E-10	-4.8800E-10	-2.472279E-10	-2.472279E-10	   20.2098	   22.1466	   21.6512	   -0.7751	
  -55.0000	-5.6600E-10	-5.6600E-10	-2.519133E-10	-2.519133E-10	   20.2252	   22.1466	   21.7015	   -0.7751	
  -60.0000	-4.2000E-10	-4.2000E-10	-2.566558E-10	-2.566558E-10	   20.2304	   22.1358	   21.7372	   -0.7523	
  -65.0000	-5.2800E-10	-5.2800E-10	-2.577971E-10	-2.577971E-10	   20.2355	   22.1264	   21.7540	   -0.7377	
  -70.0000	-5.5300E-10	-5.5300E-10	-2.598161E-10	-2.598161E-10	   20.2407	   22.1110	   21.7742	   -0.7400	
  -75.0000	-4.7700E-10	-4.7700E-10	-2.616563E-10	-2.616563E-10	   20.2458	   22.1141	   21.8027	   -0.7247	
  -80.0000	-5.8600E-10	-5.8600E-10	-2.638943E-10	-2.638943E-10	   20.2458	   22.1061	   21.8027	   -0.7135	
  -85.0000	-6.1400E-10	-6.1400E-10	-2.655009E-10	-2.655009E-10	   20.2535	   22.1024	   21.8355	   -0.6960	
  -90.0000	-6.2400E-10	-6.2400E-10	-2.672396E-10	-2.672396E-10	   20.2587	   22.0936	   21.8504	   -0.6940	
  -95.0000	-6.2500E-10	-6.2500E-10	-2.690515E-10	-2.690515E-10	   20.2638	   22.0903	   21.8713	   -0.6837	
