GCD Test
Bias: 5000.000000
CV_37895_046_PSS_HM_XX_DIODEQUARTER
Date/Time: 12/16/2021 7:31:55 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated 
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	1.094E-11	4.423E+9	   20.0013	   21.3811	   22.7770	   -0.7212	
  -10.0000	7.705E-12	7.936E+9	   20.0013	   21.3823	   22.7764	   -0.7205	
  -15.0000	6.068E-12	6.326E+9	   20.0013	   21.3823	   22.7764	   -0.7205	
  -20.0000	4.868E-12	7.504E+9	   20.0039	   21.3786	   22.7676	   -0.7289	
  -25.0000	3.713E-12	6.587E+9	   20.0013	   21.3828	   22.7615	   -0.7290	
  -30.0000	2.849E-12	8.662E+9	   20.0013	   21.3828	   22.7615	   -0.7290	
  -35.0000	2.430E-12	1.084E+10	   20.0013	   21.3810	   22.7707	   -0.7250	
  -40.0000	2.196E-12	8.976E+9	   20.0013	   21.3788	   22.7742	   -0.7248	
  -45.0000	2.021E-12	1.323E+9	   20.0013	   21.3829	   22.7726	   -0.7224	
  -50.0000	8.717E-13	4.439E+9	   20.0013	   21.3837	   22.7726	   -0.7216	
  -55.0000	8.090E-13	4.237E+9	   19.9987	   21.3818	   22.7704	   -0.7246	
  -60.0000	7.632E-13	5.450E+9	   20.0013	   21.3805	   22.7821	   -0.7186	
  -65.0000	7.246E-13	6.203E+9	   20.0013	   21.3803	   22.7812	   -0.7194	
  -70.0000	6.847E-13	4.924E+9	   19.9987	   21.3814	   22.7925	   -0.7116	
  -75.0000	6.502E-13	5.399E+9	   20.0013	   21.3822	   22.7989	   -0.7071	
  -80.0000	6.176E-13	5.140E+9	   19.9987	   21.3848	   22.7913	   -0.7095	
  -85.0000	5.854E-13	5.477E+9	   19.9987	   21.3832	   22.7976	   -0.7071	
  -90.0000	5.655E-13	6.354E+9	   19.9987	   21.3804	   22.7922	   -0.7126	
