GCD Test
Bias: 5000.000000
IV_37896_001_PSS_HM_XX_DIODEQUARTER
Date/Time: 12/21/2021 2:16:14 PM
Sensor Name: DIODEQUARTER
Type: P
Annealing Status: Unirradiated
Environment: 20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.3400E-10	3.3400E-10	-4.590055E-11	-4.590055E-11	   20.0039	   21.7028	   22.1120	   -0.8572	
  -20.0000	1.9000E-10	1.9000E-10	-4.918402E-11	-4.918402E-11	   20.0039	   21.7032	   22.1214	   -0.8510	
  -30.0000	1.0700E-10	1.0700E-10	-5.761001E-11	-5.761001E-11	   20.0039	   21.7044	   22.1246	   -0.8480	
  -40.0000	-3.0000E-11	-3.0000E-11	-6.375523E-11	-6.375523E-11	   20.0039	   21.7053	   22.1486	   -0.8324	
  -50.0000	-9.2000E-11	-9.2000E-11	-6.647376E-11	-6.647376E-11	   20.0039	   21.7029	   22.1597	   -0.8276	
  -60.0000	-1.1000E-11	-1.1000E-11	-6.860459E-11	-6.860459E-11	   20.0039	   21.7007	   22.1771	   -0.8187	
  -70.0000	-1.9100E-10	-1.9100E-10	-6.875985E-11	-6.875985E-11	   20.0013	   21.7007	   22.1920	   -0.8187	
  -80.0000	-2.0100E-10	-2.0100E-10	-6.928946E-11	-6.928946E-11	   20.0013	   21.7038	   22.1920	   -0.8070	
  -90.0000	-1.7000E-10	-1.7000E-10	-6.946937E-11	-6.946937E-11	   20.0013	   21.7002	   22.1951	   -0.8081	
 -100.0000	-2.1800E-10	-2.1800E-10	-6.975230E-11	-6.975230E-11	   20.0013	   21.7002	   22.2075	   -0.8081	
 -110.0000	-1.8700E-10	-1.8700E-10	-7.053845E-11	-7.053845E-11	   20.0013	   21.7002	   22.2116	   -0.8005	
 -120.0000	-3.3300E-10	-3.3300E-10	-7.020965E-11	-7.020965E-11	   20.0013	   21.7015	   22.2271	   -0.7968	
 -130.0000	-3.3800E-10	-3.3800E-10	-7.051482E-11	-7.051482E-11	   20.0013	   21.7051	   22.2271	   -0.7844	
 -140.0000	-3.1200E-10	-3.1200E-10	-7.154153E-11	-7.154153E-11	   20.0013	   21.7018	   22.2255	   -0.7881	
 -150.0000	-3.3900E-10	-3.3900E-10	-7.125978E-11	-7.125978E-11	   20.0039	   21.7073	   22.2163	   -0.7891	
 -160.0000	-2.9700E-10	-2.9700E-10	-7.179594E-11	-7.179594E-11	   20.0039	   21.7106	   22.2318	   -0.7768	
 -170.0000	-3.2100E-10	-3.2100E-10	-7.140340E-11	-7.140340E-11	   20.0039	   21.7061	   22.2277	   -0.7831	
 -180.0000	-3.5400E-10	-3.5400E-10	-7.238084E-11	-7.238084E-11	   20.0039	   21.7031	   22.2245	   -0.7875	
 -190.0000	-4.9800E-10	-4.9800E-10	-7.296386E-11	-7.296386E-11	   20.0013	   21.7085	   22.2296	   -0.7800	
 -200.0000	-3.7800E-10	-3.7800E-10	-7.263667E-11	-7.263667E-11	   20.0013	   21.7056	   22.2255	   -0.7849	
 -210.0000	-3.9500E-10	-3.9500E-10	-7.371920E-11	-7.371920E-11	   20.0013	   21.7052	   22.2315	   -0.7815	
 -220.0000	-4.2200E-10	-4.2200E-10	-7.445746E-11	-7.445746E-11	   20.0013	   21.7064	   22.2264	   -0.7836	
 -230.0000	-5.1200E-10	-5.1200E-10	-7.599631E-11	-7.599631E-11	   20.0013	   21.7047	   22.2290	   -0.7835	
 -240.0000	-4.5900E-10	-4.5900E-10	-7.623402E-11	-7.623402E-11	   20.0039	   21.7042	   22.2214	   -0.7886	
 -250.0000	-6.1500E-10	-6.1500E-10	-7.750110E-11	-7.750110E-11	   20.0013	   21.7049	   22.2255	   -0.7854	
 -260.0000	-4.8800E-10	-4.8800E-10	-7.755713E-11	-7.755713E-11	   20.0039	   21.7066	   22.2274	   -0.7829	
 -270.0000	-6.1200E-10	-6.1200E-10	-7.852517E-11	-7.852517E-11	   20.0013	   21.7012	   22.2312	   -0.7850	
 -280.0000	-5.5100E-10	-5.5100E-10	-7.897415E-11	-7.897415E-11	   20.0039	   21.7012	   22.2312	   -0.7850	
 -290.0000	-6.6800E-10	-6.6800E-10	-8.028365E-11	-8.028365E-11	   20.0039	   21.7000	   22.2220	   -0.7862	
 -300.0000	-6.1100E-10	-6.1100E-10	-8.014530E-11	-8.014530E-11	   20.0039	   21.7000	   22.2268	   -0.7917	
 -310.0000	-7.0200E-10	-7.0200E-10	-8.090779E-11	-8.090779E-11	   20.0039	   21.7053	   22.2312	   -0.7844	
 -320.0000	-5.9000E-10	-5.9000E-10	-8.122476E-11	-8.122476E-11	   20.0039	   21.7007	   22.2312	   -0.7855	
 -330.0000	-6.2400E-10	-6.2400E-10	-8.162360E-11	-8.162360E-11	   20.0013	   21.7047	   22.2416	   -0.7757	
 -340.0000	-7.6500E-10	-7.6500E-10	-8.236615E-11	-8.236615E-11	   20.0013	   21.7021	   22.2407	   -0.7785	
 -350.0000	-7.3200E-10	-7.3200E-10	-8.288542E-11	-8.288542E-11	   20.0013	   21.7057	   22.2287	   -0.7829	
