#Open Capacitance 1000Hz:4.536980E-12
#Open Capacitance 1000000Hz:Not Measured
#strips_36795_024_2-S_MAIN0
#Date/Time: 10/1/2021 3:41:57 PM
#Sensor Name: 36795_024_2-S_MAIN0
#Type: P
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Farrah Simpson

#Notes: Notes

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3715962186.084356	1.302420	-20.000000	25.217086	-1.166300E-5	-5.248522E-11	7.921170E-11	-1.683753E-7	-1.672955E-7	-1.668448E-7	-1.661620E-7	-1.671694E-7	-1.670701E-7	-1.946629E-6
2	3715962202.441562	1.308807	-20.000000	25.214332	-1.166500E-5	-4.867997E-11	7.920150E-11	-1.630267E-7	-1.630249E-7	-1.630236E-7	-1.630160E-7	-1.630228E-7	-1.630242E-7	-1.952136E-6
3	3715962218.423761	1.294538	-20.000000	25.219208	-1.166200E-5	-4.842962E-11	7.918930E-11	-1.711115E-7	-1.627806E-7	-1.635132E-7	-1.683364E-7	-1.664354E-7	-1.659248E-7	-1.920896E-6
4	3715962234.519989	1.284927	-20.000000	25.204068	-1.166000E-5	-4.847965E-11	7.917090E-11	-1.611283E-7	-1.611333E-7	-1.611408E-7	-1.611518E-7	-1.611386E-7	-1.611370E-7	-1.953949E-6
5	3715962251.056314	1.293917	-20.000000	25.187878	-1.165500E-5	-5.048240E-11	7.916140E-11	-1.609113E-7	-1.608965E-7	-1.608927E-7	-1.608916E-7	-1.608980E-7	-1.608946E-7	-1.953650E-6
6	3715962266.813286	1.300516	-20.000000	25.181496	-1.165400E-5	-5.198445E-11	7.914760E-11	-1.620975E-7	-1.620702E-7	-1.620685E-7	-1.620353E-7	-1.620679E-7	-1.620693E-7	-1.952218E-6
7	3715962282.714283	1.291118	-20.000000	25.184351	-1.165000E-5	-4.532529E-11	7.914420E-11	-1.606543E-7	-1.606569E-7	-1.606576E-7	-1.606628E-7	-1.606579E-7	-1.606572E-7	-1.953417E-6
8	3715962298.719010	1.294860	-20.000000	25.176681	-1.164800E-5	-5.233487E-11	7.914010E-11	-1.605203E-7	-1.605077E-7	-1.604899E-7	-1.604585E-7	-1.604941E-7	-1.604988E-7	-1.952968E-6
9	3715962314.733324	1.301729	-20.000000	25.159917	-1.164500E-5	-5.058242E-11	7.913160E-11	-3.267755E-7	-3.355870E-7	-2.547651E-7	-2.623832E-7	-2.948777E-7	-2.945794E-7	-1.953538E-6
10	3715962330.773785	1.301864	-20.000000	25.169626	-1.164600E-5	-5.033208E-11	7.913800E-11	-1.600174E-7	-1.600165E-7	-1.600236E-7	-1.600301E-7	-1.600219E-7	-1.600205E-7	-1.953986E-6
11	3715962346.788210	1.307698	-20.000000	25.163722	-1.164100E-5	-4.367296E-11	7.913620E-11	-1.604681E-7	-1.605315E-7	-1.606131E-7	-1.607221E-7	-1.605837E-7	-1.605723E-7	-1.954529E-6
12	3715962362.817320	1.292082	-20.000000	25.158390	-1.163900E-5	-4.797885E-11	7.913470E-11	-1.597336E-7	-1.597294E-7	-1.597257E-7	-1.597215E-7	-1.597275E-7	-1.597276E-7	-1.954071E-6
13	3715962378.869503	1.289196	-20.000000	25.159875	-1.162800E-5	-5.078266E-11	7.913500E-11	-1.600963E-7	-1.602244E-7	-1.604498E-7	-1.606570E-7	-1.603569E-7	-1.603371E-7	-1.949884E-6
14	3715962394.909751	1.293550	-20.000000	25.144083	-1.163200E-5	-5.388688E-11	7.912980E-11	-1.669806E-7	-1.669374E-7	-1.669081E-7	-1.668855E-7	-1.669279E-7	-1.669227E-7	-1.946742E-6
15	3715962410.914371	1.306098	-20.000000	25.146896	-1.163400E-5	-5.018181E-11	7.913410E-11	-1.651165E-7	-1.650937E-7	-1.650771E-7	-1.651175E-7	-1.651012E-7	-1.651051E-7	-1.948041E-6
16	3715962426.989769	1.287171	-20.000000	25.160748	-1.163000E-5	-4.767838E-11	7.913710E-11	-1.655821E-7	-1.655234E-7	-1.655396E-7	-1.655718E-7	-1.655542E-7	-1.655557E-7	-1.946125E-6
17	3715962443.017523	1.285629	-20.000000	25.145590	-1.163100E-5	-5.478803E-11	7.912750E-11	-1.642978E-7	-1.642771E-7	-1.642850E-7	-1.642991E-7	-1.642897E-7	-1.642914E-7	-1.955134E-6
18	3715962459.416850	1.285676	-20.000000	25.128982	-1.162900E-5	-5.143347E-11	7.913760E-11	-1.641523E-7	-1.641638E-7	-1.641997E-7	-1.641900E-7	-1.641764E-7	-1.641769E-7	-1.947732E-6
19	3715962475.185466	1.287420	-20.000000	25.120143	-1.162400E-5	-5.108295E-11	7.913930E-11	-1.633042E-7	-1.640369E-7	-1.640627E-7	-1.640555E-7	-1.638648E-7	-1.640462E-7	-1.949494E-6
20	3715962491.604870	1.286908	-20.000000	25.123990	-1.162500E-5	-4.602605E-11	7.914120E-11	-2.731599E-7	-3.083039E-7	-2.691050E-7	-2.467149E-7	-2.743209E-7	-2.711325E-7	-1.787183E-6
21	3715962507.244839	1.274001	-20.000000	25.122145	-1.162300E-5	-4.677706E-11	7.914640E-11	-2.525502E-7	-2.466511E-7	-2.385164E-7	-2.272190E-7	-2.412342E-7	-2.425838E-7	-1.882221E-6
22	3715962523.136538	1.281920	-20.000000	25.103319	-1.162400E-5	-5.063232E-11	7.914060E-11	-1.637564E-7	-1.637435E-7	-1.637338E-7	-1.637160E-7	-1.637374E-7	-1.637386E-7	-1.947759E-6
23	3715962539.399657	1.281235	-20.000000	25.099218	-1.162200E-5	-4.737784E-11	7.914220E-11	-1.672353E-7	-1.665159E-7	-1.665077E-7	-1.663155E-7	-1.666436E-7	-1.665118E-7	-1.940627E-6
24	3715962555.645474	1.279530	-20.000000	25.106174	-1.162300E-5	-5.138330E-11	7.914990E-11	-1.646104E-7	-1.644594E-7	-1.643238E-7	-1.642104E-7	-1.644010E-7	-1.643916E-7	-1.950175E-6
