GCD Test
Bias: 5000.000000
IV_38695_002_2-S_HM_XX_DIODEHALFPSTOP_GR_Irradiated_Annealed_60C_80min
Date/Time: 3/20/2022 5:00:45 PM
Sensor Name: 
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	Total Current_Avg	Total Current_0	Total Current_1	Total Current_2	Total Current_3	Bias Current_Avg	Bias Current_0	Bias Current_1	Bias Current_2	Bias Current_3	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	-3.3277E-7	-3.3380E-7	-3.3400E-7	-3.3230E-7	-3.3100E-7	-1.828221E-7	-1.825770E-7	-1.826256E-7	-1.829384E-7	-1.831474E-7	  -19.7693	    7.7779	    6.8941	  -26.0612	
  -20.0000	-4.4450E-7	-4.4460E-7	-4.4520E-7	-4.4460E-7	-4.4360E-7	-2.433337E-7	-2.431345E-7	-2.435300E-7	-2.432721E-7	-2.433982E-7	  -19.8812	    7.7882	    6.6676	  -26.4176	
  -30.0000	-5.2687E-7	-5.2820E-7	-5.2650E-7	-5.2560E-7	-5.2720E-7	-2.908580E-7	-2.911699E-7	-2.911607E-7	-2.909121E-7	-2.901893E-7	  -20.0465	    7.8467	    6.3498	  -26.9045	
  -40.0000	-5.9645E-7	-5.9960E-7	-5.9780E-7	-5.9470E-7	-5.9370E-7	-3.300965E-7	-3.301003E-7	-3.300554E-7	-3.300864E-7	-3.301439E-7	  -20.1127	    7.8467	    6.2745	  -27.0335	
  -50.0000	-6.5412E-7	-6.5710E-7	-6.5470E-7	-6.5380E-7	-6.5090E-7	-3.613549E-7	-3.615195E-7	-3.614792E-7	-3.620468E-7	-3.603740E-7	  -20.2068	    7.8542	    6.1556	  -27.2348	
  -60.0000	-7.0472E-7	-7.0570E-7	-7.0520E-7	-7.0300E-7	-7.0500E-7	-3.937257E-7	-3.929486E-7	-3.947053E-7	-3.935245E-7	-3.937245E-7	  -20.2780	    7.8669	    6.0844	  -27.3509	
  -70.0000	-7.5640E-7	-7.5570E-7	-7.5540E-7	-7.5790E-7	-7.5660E-7	-4.229677E-7	-4.232006E-7	-4.239785E-7	-4.229792E-7	-4.217125E-7	  -20.3721	    7.8780	    5.9314	  -27.6172	
  -80.0000	-8.0168E-7	-8.0460E-7	-8.0420E-7	-8.0050E-7	-7.9740E-7	-4.453964E-7	-4.471267E-7	-4.455049E-7	-4.452833E-7	-4.436709E-7	  -20.4153	    7.8780	    5.8972	  -27.6793	
  -90.0000	-8.3500E-7	-8.3730E-7	-8.3460E-7	-8.3360E-7	-8.3450E-7	-4.654402E-7	-4.659997E-7	-4.652280E-7	-4.647032E-7	-4.658300E-7	  -20.4611	    7.9483	    5.8675	  -27.6822	
 -100.0000	-8.6693E-7	-8.6750E-7	-8.6550E-7	-8.6760E-7	-8.6710E-7	-4.875317E-7	-4.884794E-7	-4.868409E-7	-4.873828E-7	-4.874237E-7	  -20.4942	    7.9254	    5.8520	  -27.7274	
 -110.0000	-9.1005E-7	-9.1150E-7	-9.0880E-7	-9.1150E-7	-9.0840E-7	-5.116179E-7	-5.110769E-7	-5.116901E-7	-5.124360E-7	-5.112688E-7	  -20.5451	    7.9114	    5.8330	  -27.7725	
 -120.0000	-9.4555E-7	-9.4780E-7	-9.4390E-7	-9.4620E-7	-9.4430E-7	-5.299460E-7	-5.318605E-7	-5.302251E-7	-5.292664E-7	-5.284318E-7	  -20.5629	    7.9114	    5.8210	  -27.7947	
 -130.0000	-9.6933E-7	-9.7060E-7	-9.7000E-7	-9.6790E-7	-9.6880E-7	-5.445361E-7	-5.462480E-7	-5.445747E-7	-5.432797E-7	-5.440419E-7	  -20.5807	    7.9211	    5.7688	  -27.8842	
 -140.0000	-9.9150E-7	-1.0000E-6	-9.9500E-7	-9.8700E-7	-9.8400E-7	-5.569942E-7	-5.571545E-7	-5.573376E-7	-5.571785E-7	-5.563062E-7	  -20.5756	    7.8954	    5.7353	  -27.9656	
 -150.0000	-1.0240E-6	-1.0300E-6	-1.0240E-6	-1.0200E-6	-1.0220E-6	-5.777004E-7	-5.785576E-7	-5.775661E-7	-5.783384E-7	-5.763395E-7	  -20.5603	    7.9276	    5.7027	  -28.0030	
 -160.0000	-1.0453E-6	-1.0480E-6	-1.0470E-6	-1.0440E-6	-1.0420E-6	-5.893704E-7	-5.891821E-7	-5.893780E-7	-5.895114E-7	-5.894100E-7	  -20.5603	    7.9276	    5.6973	  -28.0132	
 -170.0000	-1.0687E-6	-1.0700E-6	-1.0690E-6	-1.0680E-6	-1.0680E-6	-6.057948E-7	-6.063829E-7	-6.061043E-7	-6.065407E-7	-6.041514E-7	  -20.5400	    7.9661	    5.6777	  -28.0220	
 -180.0000	-1.0917E-6	-1.0930E-6	-1.0950E-6	-1.0890E-6	-1.0900E-6	-6.165321E-7	-6.195735E-7	-6.175233E-7	-6.155723E-7	-6.134593E-7	  -20.5120	    7.9528	    5.6638	  -28.0580	
 -190.0000	-1.1137E-6	-1.1120E-6	-1.1160E-6	-1.1140E-6	-1.1130E-6	-6.267177E-7	-6.290364E-7	-6.269143E-7	-6.253385E-7	-6.255818E-7	  -20.4916	    7.9344	    5.6373	  -28.1218	
 -200.0000	-1.1293E-6	-1.1340E-6	-1.1310E-6	-1.1270E-6	-1.1250E-6	-6.367637E-7	-6.378952E-7	-6.383054E-7	-6.362010E-7	-6.346532E-7	  -20.4408	    7.9344	    5.6350	  -28.1260	
 -210.0000	-1.1413E-6	-1.1400E-6	-1.1420E-6	-1.1400E-6	-1.1430E-6	-6.486182E-7	-6.491508E-7	-6.489578E-7	-6.485917E-7	-6.477723E-7	  -20.4128	    7.9089	    5.6392	  -28.1368	
 -220.0000	-1.1620E-6	-1.1640E-6	-1.1650E-6	-1.1600E-6	-1.1590E-6	-6.581120E-7	-6.582497E-7	-6.571369E-7	-6.579086E-7	-6.591526E-7	  -20.3416	    7.8901	    5.6651	  -28.1013	
 -230.0000	-1.1845E-6	-1.1900E-6	-1.1880E-6	-1.1800E-6	-1.1800E-6	-6.679405E-7	-6.683846E-7	-6.686220E-7	-6.678798E-7	-6.668755E-7	  -20.3111	    7.9177	    5.6483	  -28.1130	
 -240.0000	-1.2028E-6	-1.2020E-6	-1.2040E-6	-1.2020E-6	-1.2030E-6	-6.788445E-7	-6.795416E-7	-6.791664E-7	-6.781319E-7	-6.785381E-7	  -20.2729	    7.9682	    5.6316	  -28.1080	
 -250.0000	-1.2117E-6	-1.2090E-6	-1.2080E-6	-1.2120E-6	-1.2180E-6	-6.904326E-7	-6.906624E-7	-6.912928E-7	-6.905841E-7	-6.891913E-7	  -20.1966	    8.0004	    5.6705	  -28.0108	
 -260.0000	-1.2260E-6	-1.2310E-6	-1.2280E-6	-1.2240E-6	-1.2210E-6	-6.918078E-7	-6.903311E-7	-6.912696E-7	-6.941374E-7	-6.914931E-7	  -20.1457	    7.9754	    5.6879	  -27.9962	
 -270.0000	-1.2400E-6	-1.2360E-6	-1.2370E-6	-1.2420E-6	-1.2450E-6	-6.992769E-7	-7.008972E-7	-6.999188E-7	-6.982638E-7	-6.980279E-7	  -20.1025	    7.9528	    5.7065	  -27.9776	
 -280.0000	-1.2515E-6	-1.2510E-6	-1.2500E-6	-1.2520E-6	-1.2530E-6	-7.061254E-7	-7.059676E-7	-7.055967E-7	-7.070764E-7	-7.058609E-7	  -20.0694	    7.9532	    5.6951	  -27.9986	
 -290.0000	-1.2637E-6	-1.2640E-6	-1.2640E-6	-1.2620E-6	-1.2650E-6	-7.131647E-7	-7.142907E-7	-7.142779E-7	-7.123253E-7	-7.117649E-7	  -20.0033	    7.9200	    5.6752	  -28.0605	
 -300.0000	-1.2820E-6	-1.2790E-6	-1.2780E-6	-1.2830E-6	-1.2880E-6	-7.286944E-7	-7.301615E-7	-7.275264E-7	-7.279934E-7	-7.290963E-7	  -19.9295	    7.9611	    5.6638	  -28.0520	
 -310.0000	-1.3078E-6	-1.3090E-6	-1.3090E-6	-1.3070E-6	-1.3060E-6	-7.339528E-7	-7.364789E-7	-7.348270E-7	-7.326843E-7	-7.318209E-7	  -19.8838	    8.0156	    5.6815	  -27.9788	
 -320.0000	-1.2985E-6	-1.3020E-6	-1.3000E-6	-1.2990E-6	-1.2930E-6	-7.293671E-7	-7.283020E-7	-7.282578E-7	-7.306464E-7	-7.302622E-7	  -19.8609	    7.9788	    5.6682	  -28.0307	
