#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.281420E-12
#38713_049_2-S_HM_XX_Irrad_20min_Interstrip
#Date/Time: 4/21/2022 12:50:01 PM
#Sensor Name: 38713_049_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
1	3733404680.345047	1.346687	-20.000000	26.529125	-1.379400E-5	5.280540E-12	-1.873226E-7	-1.890414E-7	-1.911121E-7
2	3733404702.107154	1.344459	-20.000000	26.525221	-1.376700E-5	5.347030E-12	-1.865996E-7	-1.883404E-7	-1.901508E-7
3	3733404723.180122	1.355613	-20.000000	26.535327	-1.376200E-5	5.367920E-12	-1.861803E-7	-1.880394E-7	-1.897870E-7
4	3733404744.090831	1.334837	-20.000000	26.539171	-1.378100E-5	5.377500E-12	-1.862351E-7	-1.880785E-7	-1.901037E-7
5	3733404765.152089	1.326122	-20.000000	26.510478	-1.377500E-5	5.381520E-12	-2.946241E-7	-7.916060E-7	-9.983776E-7
6	3733404786.171905	1.351757	-20.000000	26.510834	-1.376400E-5	5.401370E-12	-9.240491E-7	-8.941261E-7	-7.840525E-7
7	3733404807.195226	1.349587	-20.000000	26.513273	-1.376300E-5	5.398500E-12	-6.948053E-7	-7.917677E-7	-9.965092E-7
8	3733404828.237537	1.366730	-20.000000	26.512044	-1.375900E-5	5.399960E-12	-8.288866E-7	-9.453335E-7	-3.828094E-7
9	3733404849.540354	1.332158	-20.000000	26.495577	-1.355500E-5	5.397990E-12	-7.475063E-7	-9.369813E-7	-1.898793E-7
10	3733404870.369200	1.329575	-20.000000	26.473143	-1.373500E-5	5.388300E-12	-1.875217E-7	-9.393605E-7	-9.057385E-7
11	3733404891.294431	1.320142	-20.000000	26.462501	-1.375000E-5	5.399240E-12	-1.861788E-7	-9.674976E-7	-5.933138E-7
12	3733404912.312217	1.315088	-20.000000	26.451423	-1.374400E-5	5.400130E-12	-9.088947E-7	-1.015507E-6	-2.204032E-7
13	3733404933.818571	1.340466	-20.000000	26.451997	-1.375500E-5	5.397350E-12	-2.094151E-7	-4.194526E-7	-1.931226E-7
14	3733404955.547329	1.338765	-20.000000	26.460044	-1.374200E-5	5.387960E-12	-1.864831E-7	-1.882451E-7	-1.902779E-7
15	3733404976.457538	1.353719	-20.000000	26.453366	-1.376400E-5	5.386030E-12	-1.871593E-7	-1.892607E-7	-9.627133E-7
16	3733404997.629879	1.360086	-20.000000	26.443003	-1.365400E-5	5.399570E-12	-8.769230E-7	-9.037145E-7	-9.879769E-7
17	3733405018.661613	1.374296	-20.000000	26.441278	-1.368200E-5	5.399000E-12	-8.512143E-7	-8.956242E-7	-9.581323E-7
18	3733405039.734210	1.318961	-20.000000	26.416091	-1.363800E-5	5.397960E-12	-8.885981E-7	-8.355690E-7	-9.555012E-7
19	3733405060.662196	1.302989	-20.000000	26.401922	-1.373300E-5	5.396380E-12	-7.887117E-7	-9.876850E-7	-9.955886E-7
20	3733405081.643051	1.327777	-20.000000	26.411631	-1.373300E-5	5.399220E-12	-9.062261E-7	-1.023636E-6	-1.972861E-7
21	3733405103.316466	1.340761	-20.000000	26.407590	-1.374600E-5	5.388770E-12	-2.883814E-7	-1.953914E-7	-1.979721E-7
22	3733405124.941649	1.344444	-20.000000	26.385969	-1.371200E-5	5.395310E-12	-2.916152E-7	-3.029666E-7	-3.689432E-7
23	3733405145.823376	1.327005	-20.000000	26.371623	-1.373400E-5	5.394110E-12	-5.291655E-7	-2.030079E-7	-1.978262E-7
24	3733405167.325713	1.330119	-20.000000	26.354540	-1.371700E-5	5.388990E-12	-8.655898E-7	-9.789510E-7	-1.004363E-6
25	3733405189.081309	1.303294	-20.000000	26.337597	-1.369300E-5	5.387470E-12	-1.897168E-7	-1.912016E-7	-1.927372E-7
26	3733405210.135960	1.290903	-20.000000	26.317740	-1.369600E-5	5.385420E-12	-1.877388E-7	-1.895042E-7	-1.914073E-7
27	3733405231.191035	1.301648	-20.000000	26.329135	-1.369800E-5	5.385280E-12	-1.874438E-7	-1.892936E-7	-1.910383E-7
28	3733405252.120043	1.284266	-20.000000	26.313857	-1.371700E-5	5.385620E-12	-1.874012E-7	-1.891603E-7	-1.910846E-7
29	3733405273.440805	1.311041	-20.000000	26.326382	-1.366300E-5	5.385530E-12	-1.874410E-7	-1.893677E-7	-1.912911E-7
30	3733405294.332884	1.331843	-20.000000	26.330839	-1.369800E-5	5.385080E-12	-1.878823E-7	-1.897906E-7	-1.917570E-7
31	3733405315.253794	1.310391	-20.000000	26.329016	-1.371800E-5	5.384150E-12	-1.885646E-7	-1.905100E-7	-1.928207E-7
32	3733405336.262460	1.327588	-20.000000	26.312013	-1.371100E-5	5.384600E-12	-1.901343E-7	-1.925735E-7	-1.959407E-7
33	3733405357.294630	1.316741	-20.000000	26.308369	-1.370900E-5	5.385910E-12	-1.997746E-7	-2.028003E-7	-2.063091E-7
34	3733405378.711942	1.324658	-20.000000	26.283795	-1.370600E-5	5.387170E-12	-2.002041E-7	-2.033670E-7	-2.049383E-7
35	3733405400.481076	1.319860	-20.000000	26.299449	-1.368300E-5	5.387760E-12	-1.994028E-7	-2.035273E-7	-2.064635E-7
36	3733405421.785192	1.325885	-20.000000	26.296299	-1.370000E-5	5.388330E-12	-2.026276E-7	-5.527123E-7	-5.823803E-7
37	3733405443.445936	1.322777	-20.000000	26.292792	-1.369200E-5	5.398450E-12	-6.095029E-7	-6.079978E-7	-6.321258E-7
38	3733405464.461170	1.301517	-20.000000	26.247888	-1.368600E-5	5.398090E-12	-4.462887E-7	-4.621253E-7	-5.593080E-7
39	3733405485.625851	1.320036	-20.000000	26.241348	-1.364500E-5	5.397280E-12	-4.571400E-7	-4.924831E-7	-5.134625E-7
40	3733405506.560296	1.330605	-20.000000	26.247709	-1.369300E-5	5.397640E-12	-4.199626E-7	-4.849727E-7	-6.412667E-7
41	3733405527.588118	1.298031	-20.000000	26.227894	-1.369800E-5	5.398380E-12	-4.504963E-7	-6.428134E-7	-6.248655E-7
42	3733405548.593320	1.285384	-20.000000	26.222860	-1.370500E-5	5.398260E-12	-5.206082E-7	-4.374246E-7	-2.401577E-7
43	3733405569.629991	1.300298	-20.000000	26.212296	-1.371400E-5	5.390490E-12	-2.014450E-7	-1.927618E-7	-1.945608E-7
44	3733405591.100586	1.286719	-20.000000	26.197810	-1.371500E-5	5.385280E-12	-1.930853E-7	-5.160159E-7	-1.915064E-7
45	3733405612.739619	1.262988	-20.000000	26.163112	-1.370400E-5	5.384640E-12	-1.881584E-7	-1.899958E-7	-1.917879E-7
46	3733405633.758499	1.281521	-20.000000	26.170047	-1.369900E-5	5.404570E-12	-8.226590E-7	-1.091709E-6	-1.003956E-6
47	3733405654.786599	1.276426	-20.000000	26.155958	-1.368000E-5	5.401070E-12	-7.567743E-7	-7.958589E-7	-1.080160E-6
48	3733405675.804962	1.299715	-20.000000	26.177875	-1.367600E-5	5.402060E-12	-9.858246E-7	-1.029390E-6	-1.092520E-6
49	3733405696.851153	1.296392	-20.000000	26.175457	-1.366800E-5	5.401170E-12	-9.758228E-7	-1.031821E-6	-9.893887E-7
50	3733405717.883928	1.305381	-20.000000	26.152906	-1.365900E-5	5.400490E-12	-9.101892E-7	-9.521556E-7	-1.915456E-7
51	3733405738.953321	1.295913	-20.000000	26.138738	-1.367000E-5	5.400980E-12	-8.978252E-7	-1.047918E-6	-1.060524E-6
52	3733405759.970000	1.290801	-20.000000	26.118704	-1.365800E-5	5.400180E-12	-9.234298E-7	-9.918118E-7	-9.526432E-7
53	3733405780.940384	1.320065	-20.000000	26.112797	-1.365500E-5	5.400740E-12	-9.026970E-7	-1.133145E-6	-3.145538E-7
54	3733405802.064775	1.319455	-20.000000	26.127403	-1.367100E-5	5.395220E-12	-2.395193E-7	-2.395627E-7	-2.588665E-7
55	3733405823.178575	1.328778	-20.000000	26.135091	-1.366300E-5	5.394500E-12	-2.881976E-7	-3.002218E-7	-3.128448E-7
56	3733405844.081235	1.289561	-20.000000	26.107644	-1.366900E-5	5.394710E-12	-3.261645E-7	-3.487834E-7	-3.649459E-7
57	3733405865.248450	1.295383	-20.000000	26.103127	-1.362900E-5	5.390920E-12	-3.449359E-7	-3.599152E-7	-3.725324E-7
58	3733405886.138366	1.298510	-20.000000	26.101403	-1.366600E-5	5.379080E-12	-3.466276E-7	-3.603292E-7	-3.788034E-7
59	3733405907.548991	1.279763	-20.000000	26.076257	-1.366700E-5	5.333930E-12	-3.518109E-7	-3.665369E-7	-3.802086E-7
