38713_049_2-S_HM_XX_Irrad_20min
Date/Time: 4/21/2022 12:45:58 PM
Sensor Name: 38713_049_2-S_HM_XX
Station: Tesla
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.667E-10	1.403E-6	  -20.0000	   27.0038	    1.3721	    0.0000	
  -20.0000	1.648E-10	1.082E-6	  -20.0000	   27.0038	    1.3721	    0.0000	
  -30.0000	1.575E-10	8.990E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -40.0000	1.505E-10	7.748E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -50.0000	1.439E-10	6.830E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -60.0000	1.379E-10	6.121E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -70.0000	1.327E-10	5.559E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -80.0000	1.279E-10	5.136E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
  -90.0000	1.235E-10	4.689E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -100.0000	1.205E-10	4.438E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -110.0000	1.164E-10	4.092E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -120.0000	1.137E-10	3.930E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -130.0000	1.115E-10	3.702E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -140.0000	1.078E-10	3.502E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -150.0000	1.053E-10	3.278E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -160.0000	1.022E-10	3.204E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -170.0000	1.001E-10	3.034E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -180.0000	9.840E-11	2.900E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -190.0000	9.632E-11	2.825E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -200.0000	9.372E-11	2.680E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -210.0000	9.165E-11	2.496E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -220.0000	8.979E-11	2.495E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -230.0000	8.850E-11	2.383E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -240.0000	8.707E-11	2.352E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -250.0000	8.475E-11	2.201E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -260.0000	8.461E-11	2.186E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -270.0000	8.382E-11	2.026E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -280.0000	7.882E-11	1.930E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -290.0000	7.997E-11	1.899E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -300.0000	7.665E-11	1.764E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -310.0000	7.531E-11	1.739E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -320.0000	7.546E-11	1.629E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -330.0000	7.432E-11	1.658E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -340.0000	7.265E-11	1.486E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -350.0000	6.743E-11	1.516E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -360.0000	6.928E-11	1.349E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -370.0000	7.026E-11	1.167E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -380.0000	6.700E-11	1.250E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -390.0000	6.480E-11	1.160E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -400.0000	6.483E-11	1.243E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -410.0000	6.077E-11	1.183E-7	  -20.0000	   27.0038	    1.3721	    0.0000	
 -420.0000	6.456E-11	9.534E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -430.0000	6.264E-11	9.630E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -440.0000	6.047E-11	9.042E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -450.0000	5.823E-11	8.528E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -460.0000	6.012E-11	8.698E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -470.0000	5.640E-11	8.851E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
 -480.0000	5.688E-11	6.497E-8	  -20.0000	   27.0038	    1.3721	    0.0000	
