#Open Capacitance 1000Hz:4.466210E-12
#Open Capacitance 1000000Hz:Not Measured
#38875_004_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 4/22/2022 3:38:21 PM
#Sensor Name: 38875_004_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3733501180.545126	1.510200	-20.000000	23.597873	-1.235600E-5	-5.548580E-11	8.047080E-11	-1.707845E-7	-1.707807E-7	-1.707739E-7	-1.707672E-7	-1.707766E-7	-1.707773E-7	-4.266026E-7	-2.815728E-6
2	3733501196.982123	1.549340	-20.000000	23.611623	-1.234500E-5	-5.263213E-11	8.043890E-11	-1.680325E-7	-1.680357E-7	-1.680467E-7	-1.680507E-7	-1.680414E-7	-1.680412E-7	-4.303950E-7	-2.823831E-6
3	3733501212.825663	1.545239	-20.000000	23.587091	-1.234000E-5	-5.728808E-11	8.040160E-11	-1.668489E-7	-1.668404E-7	-1.668370E-7	-1.668322E-7	-1.668396E-7	-1.668387E-7	-4.308725E-7	-2.821218E-6
4	3733501229.066082	1.514718	-20.000000	23.579758	-1.233700E-5	-5.373356E-11	8.036160E-11	-1.663795E-7	-1.663843E-7	-1.663937E-7	-1.664101E-7	-1.663919E-7	-1.663890E-7	-4.317657E-7	-2.824093E-6
5	3733501245.246714	1.517122	-20.000000	23.574091	-1.233300E-5	-5.513527E-11	8.032110E-11	-1.661529E-7	-1.661630E-7	-1.661777E-7	-1.661812E-7	-1.661687E-7	-1.661704E-7	-4.316151E-7	-2.822377E-6
6	3733501261.049526	1.543910	-20.000000	23.550452	-1.233300E-5	-5.393381E-11	8.028990E-11	-1.660767E-7	-1.660858E-7	-1.660872E-7	-1.660788E-7	-1.660821E-7	-1.660823E-7	-4.318778E-7	-2.823284E-6
7	3733501277.018611	1.529925	-20.000000	23.528751	-1.232500E-5	-5.418410E-11	8.025870E-11	-1.660740E-7	-1.660737E-7	-1.660726E-7	-1.660695E-7	-1.660724E-7	-1.660731E-7	-4.314756E-7	-2.821307E-6
8	3733501293.035704	1.538818	-20.000000	23.528732	-1.232100E-5	-5.493506E-11	8.023490E-11	-1.660242E-7	-1.660330E-7	-1.660393E-7	-1.660270E-7	-1.660309E-7	-1.660300E-7	-4.312534E-7	-2.820000E-6
9	3733501309.287642	1.525577	-20.000000	23.547340	-1.232100E-5	-5.168090E-11	8.022020E-11	-1.660667E-7	-1.660673E-7	-1.660629E-7	-1.660571E-7	-1.660635E-7	-1.660648E-7	-4.310062E-7	-2.818937E-6
10	3733501325.318191	1.549439	-20.000000	23.579483	-1.232200E-5	-5.248190E-11	8.020570E-11	-1.661436E-7	-1.661401E-7	-1.661558E-7	-1.661637E-7	-1.661508E-7	-1.661497E-7	-4.313833E-7	-2.821196E-6
11	3733501341.232813	1.591274	-20.000000	23.574151	-1.232700E-5	-5.904036E-11	8.019810E-11	-1.661374E-7	-1.661277E-7	-1.661242E-7	-1.661215E-7	-1.661277E-7	-1.661259E-7	-4.315146E-7	-2.821608E-6
12	3733501357.360469	1.546877	-20.000000	23.556831	-1.232000E-5	-4.987858E-11	8.019150E-11	-1.662987E-7	-1.662969E-7	-1.662969E-7	-1.662913E-7	-1.662959E-7	-1.662969E-7	-4.307707E-7	-2.818672E-6
13	3733501373.371459	1.515833	-20.000000	23.537371	-1.232100E-5	-5.563599E-11	8.019050E-11	-1.662315E-7	-1.662306E-7	-1.662376E-7	-1.662480E-7	-1.662369E-7	-1.662345E-7	-4.309219E-7	-2.819097E-6
14	3733501389.392973	1.472783	-20.000000	23.524332	-1.231600E-5	-5.433427E-11	8.018830E-11	-1.663296E-7	-1.663315E-7	-1.663339E-7	-1.663380E-7	-1.663333E-7	-1.663327E-7	-4.310871E-7	-2.820491E-6
15	3733501405.246810	1.476307	-20.000000	23.526691	-1.232000E-5	-5.238183E-11	8.018600E-11	-1.664132E-7	-1.664136E-7	-1.664090E-7	-1.664081E-7	-1.664110E-7	-1.664111E-7	-4.305814E-7	-2.817975E-6
16	3733501421.446190	1.473111	-20.000000	23.521618	-1.231900E-5	-5.348323E-11	8.018520E-11	-1.664279E-7	-1.664258E-7	-1.664300E-7	-1.664339E-7	-1.664294E-7	-1.664289E-7	-4.302822E-7	-2.816772E-6
17	3733501437.538380	1.500086	-20.000000	23.534875	-1.231400E-5	-5.518542E-11	8.018690E-11	-1.664880E-7	-1.664901E-7	-1.664862E-7	-1.664830E-7	-1.664868E-7	-1.664871E-7	-4.303084E-7	-2.817085E-6
18	3733501453.509974	1.508343	-20.000000	23.508319	-1.231300E-5	-5.418409E-11	8.018690E-11	-1.665433E-7	-1.665382E-7	-1.665368E-7	-1.665373E-7	-1.665389E-7	-1.665377E-7	-4.304235E-7	-2.817993E-6
