GCD Test
Bias: 5000.000000
CV_34331_042_2-S_HM_XX_DIODEHALFPSTOP_Irradiated
Date/Time: 10/21/2021 2:12:54 PM
Sensor Name: DIODEHALFPSTOP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -15C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.738E-12	1.367E-12	9.493E+6	3.156E+7	  -14.9501	    8.0556	   11.9111	  -19.7009	
  -20.0000	2.380E-12	1.347E-12	8.672E+6	3.078E+7	  -14.8733	    8.2239	   11.9214	  -19.5583	
  -30.0000	2.725E-12	1.350E-12	8.143E+6	3.303E+7	  -14.7900	    8.0497	   11.9187	  -19.6981	
  -40.0000	2.081E-12	1.316E-12	7.618E+6	3.366E+7	  -14.7900	    8.0497	   11.9187	  -19.6981	
  -50.0000	3.648E-12	1.294E-12	7.216E+6	2.979E+7	  -14.7773	    8.1154	   11.9506	  -19.6153	
  -60.0000	3.370E-12	1.290E-12	7.210E+6	3.130E+7	  -14.7830	    7.9416	   11.9114	  -19.7903	
  -70.0000	4.353E-12	1.240E-12	6.853E+6	3.080E+7	  -14.7926	    8.1075	   11.9187	  -19.6526	
  -80.0000	5.338E-12	1.240E-12	6.683E+6	3.018E+7	  -14.8348	    8.0989	   11.9295	  -19.6488	
  -90.0000	4.998E-12	1.205E-12	6.584E+6	2.969E+7	  -14.8348	    8.0989	   11.9295	  -19.6488	
 -100.0000	5.176E-12	1.158E-12	6.604E+6	2.920E+7	  -14.8796	    8.2066	   11.9276	  -19.5659	
 -110.0000	6.311E-12	1.151E-12	6.492E+6	2.875E+7	  -14.9237	    8.0596	   11.9348	  -19.6746	
 -120.0000	6.250E-12	1.162E-12	6.186E+6	2.602E+7	  -14.9677	    8.0946	   11.9244	  -19.6572	
 -130.0000	6.666E-12	1.159E-12	6.223E+6	2.650E+7	  -15.0079	    8.2513	   11.8997	  -19.5578	
 -140.0000	8.046E-12	1.154E-12	6.242E+6	2.481E+7	  -15.0079	    8.2513	   11.8997	  -19.5578	
 -150.0000	8.403E-12	1.110E-12	6.113E+6	2.477E+7	  -15.0295	    8.0734	   11.8879	  -19.7094	
 -160.0000	9.035E-12	1.097E-12	6.080E+6	2.386E+7	  -15.0180	    8.4388	   11.9342	  -19.3765	
