GCD Test
Bias: 5000.000000
CV_34331_042_2-S_HM_XX_DIODEHALF_Irradiated
Date/Time: 10/25/2021 6:02:54 PM
Sensor Name: DIODEHALF
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.284E-11	5.631E-12	4.457E+6	3.231E+6	  -19.9168	    9.1827	    3.1708	  -33.2489	
  -20.0000	2.319E-11	5.663E-12	4.932E+6	3.344E+6	  -19.9575	    9.2081	    3.1724	  -33.2264	
  -30.0000	2.290E-11	5.690E-12	5.270E+6	3.416E+6	  -19.9855	    9.2914	    3.1733	  -33.1661	
  -40.0000	2.277E-11	5.714E-12	5.483E+6	3.472E+6	  -19.9728	    9.2801	    3.1626	  -33.2085	
  -50.0000	2.255E-11	5.734E-12	5.656E+6	3.507E+6	  -19.9855	    9.2611	    3.1597	  -33.2307	
  -60.0000	2.248E-11	5.747E-12	5.784E+6	3.535E+6	  -20.0084	    9.2673	    3.1524	  -33.2500	
  -70.0000	2.229E-11	5.757E-12	5.907E+6	3.576E+6	  -19.9423	    9.2768	    3.1664	  -33.1985	
  -80.0000	2.217E-11	5.765E-12	6.008E+6	3.597E+6	  -19.8812	    9.2384	    3.1572	  -33.2545	
  -90.0000	2.204E-11	5.772E-12	6.079E+6	3.624E+6	  -19.8965	    9.2384	    3.1664	  -33.2249	
 -100.0000	2.205E-11	5.779E-12	6.142E+6	3.618E+6	  -19.9321	    9.2418	    3.1733	  -33.1820	
 -110.0000	2.206E-11	5.785E-12	6.174E+6	3.640E+6	  -19.9346	    9.2336	    3.1834	  -33.1734	
 -120.0000	2.189E-11	5.798E-12	6.251E+6	3.658E+6	  -19.9753	    9.2558	    3.1806	  -33.1673	
 -130.0000	2.198E-11	5.805E-12	6.266E+6	3.647E+6	  -19.9652	    9.2370	    3.1945	  -33.1356	
 -140.0000	2.185E-11	5.804E-12	6.317E+6	3.679E+6	  -19.9677	    9.2277	    3.1951	  -33.1400	
 -150.0000	2.182E-11	5.806E-12	6.335E+6	3.692E+6	  -19.9753	    9.2277	    3.2071	  -33.1017	
 -160.0000	2.177E-11	5.805E-12	6.375E+6	3.717E+6	  -19.9321	    9.2506	    3.2277	  -33.0207	
 -170.0000	2.172E-11	5.806E-12	6.401E+6	3.726E+6	  -19.9016	    9.2474	    3.2337	  -33.0039	
 -180.0000	2.171E-11	5.807E-12	6.414E+6	3.733E+6	  -19.9575	    9.2191	    3.2391	  -33.0064	
 -190.0000	2.157E-11	5.808E-12	6.462E+6	3.748E+6	  -19.8990	    9.2291	    3.2486	  -32.9697	
 -200.0000	2.165E-11	5.813E-12	6.457E+6	3.729E+6	  -19.9677	    9.2309	    3.2521	  -32.9575	
 -210.0000	2.156E-11	5.808E-12	6.492E+6	3.763E+6	  -19.9092	    9.2514	    3.2505	  -32.9483	
 -220.0000	2.155E-11	5.811E-12	6.497E+6	3.761E+6	  -19.9473	    9.2670	    3.2423	  -32.9635	
 -230.0000	2.153E-11	5.813E-12	6.520E+6	3.761E+6	  -19.9448	    9.2670	    3.2302	  -33.0014	
 -240.0000	2.149E-11	5.810E-12	6.540E+6	3.784E+6	  -19.9931	    9.1962	    3.2388	  -33.0232	
 -250.0000	2.148E-11	5.809E-12	6.543E+6	3.801E+6	  -19.9906	    9.2156	    3.2318	  -33.0318	
 -260.0000	2.136E-11	5.809E-12	6.576E+6	3.799E+6	  -19.9982	    9.2364	    3.2372	  -33.0005	
 -270.0000	2.142E-11	5.809E-12	6.585E+6	3.809E+6	  -19.9626	    9.2467	    3.2426	  -32.9765	
 -280.0000	2.144E-11	5.808E-12	6.598E+6	3.823E+6	  -19.9652	    9.2976	    3.2268	  -32.9913	
 -290.0000	2.123E-11	5.805E-12	6.632E+6	3.851E+6	  -19.9880	    9.2879	    3.2340	  -32.9750	
 -300.0000	2.123E-11	5.805E-12	6.647E+6	3.857E+6	  -19.9702	    9.2553	    3.2460	  -32.9596	
 -310.0000	2.119E-11	5.805E-12	6.670E+6	3.867E+6	  -20.0618	    9.2553	    3.2473	  -32.9556	
 -320.0000	2.114E-11	5.805E-12	6.680E+6	3.873E+6	  -20.0059	    9.2648	    3.2647	  -32.8944	
 -330.0000	2.112E-11	5.804E-12	6.701E+6	3.875E+6	  -20.0287	    9.2589	    3.2761	  -32.8629	
 -340.0000	2.121E-11	5.806E-12	6.684E+6	3.872E+6	  -20.0516	    9.2774	    3.2739	  -32.8570	
 -350.0000	2.112E-11	5.806E-12	6.714E+6	3.877E+6	  -20.0974	    9.2617	    3.2707	  -32.8777	
 -360.0000	2.120E-11	5.805E-12	6.720E+6	3.896E+6	  -20.0822	    9.3224	    3.2796	  -32.8082	
 -370.0000	2.111E-11	5.804E-12	6.744E+6	3.908E+6	  -20.0822	    9.3343	    3.2808	  -32.7961	
 -380.0000	2.103E-11	5.803E-12	6.766E+6	3.912E+6	  -20.1051	    9.3046	    3.2840	  -32.8067	
 -390.0000	2.106E-11	5.804E-12	6.764E+6	3.920E+6	  -20.1432	    9.3285	    3.2815	  -32.7981	
 -400.0000	2.104E-11	5.803E-12	6.769E+6	3.932E+6	  -20.0644	    9.3369	    3.2666	  -32.8388	
 -410.0000	2.095E-11	5.804E-12	6.793E+6	3.939E+6	  -20.0720	    9.2960	    3.2615	  -32.8828	
 -420.0000	2.090E-11	5.807E-12	6.816E+6	3.931E+6	  -20.0796	    9.3010	    3.2770	  -32.8309	
 -430.0000	2.088E-11	5.804E-12	6.820E+6	3.944E+6	  -20.0440	    9.2951	    3.2571	  -32.8974	
 -440.0000	2.098E-11	5.805E-12	6.818E+6	3.949E+6	  -20.0389	    9.3291	    3.2612	  -32.8610	
