GCD Test
Bias: 5000.000000
CV_34331_042_2-S_HM_XX_DIODE_Irradiated
Date/Time: 10/26/2021 2:26:28 PM
Sensor Name: DIODE
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 Minutes
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	3.168E-11	5.548E-12	2.526E+6	2.075E+6	  -20.2195	   14.5615	    5.4826	  -23.6195	
  -20.0000	3.124E-11	5.698E-12	3.084E+6	2.270E+6	  -20.1814	   14.4896	    5.4744	  -23.6881	
  -30.0000	2.992E-11	5.795E-12	3.452E+6	2.397E+6	  -20.2068	   14.5028	    5.4665	  -23.6948	
  -40.0000	2.893E-11	5.879E-12	3.724E+6	2.476E+6	  -20.2500	   14.5028	    5.4658	  -23.6961	
  -50.0000	2.814E-11	5.940E-12	3.960E+6	2.568E+6	  -20.2170	   14.5305	    5.4573	  -23.6935	
  -60.0000	2.785E-11	5.997E-12	4.132E+6	2.593E+6	  -20.2856	   14.5033	    5.4548	  -23.7183	
  -70.0000	2.736E-11	6.037E-12	4.282E+6	2.649E+6	  -20.1814	   14.4407	    5.4583	  -23.7564	
  -80.0000	2.683E-11	6.060E-12	4.422E+6	2.715E+6	  -20.2068	   14.4369	    5.4453	  -23.7856	
  -90.0000	2.634E-11	6.078E-12	4.568E+6	2.771E+6	  -20.2119	   14.3785	    5.4317	  -23.8556	
 -100.0000	2.617E-11	6.098E-12	4.645E+6	2.804E+6	  -20.1941	   14.4165	    5.4260	  -23.8399	
 -110.0000	2.582E-11	6.113E-12	4.749E+6	2.835E+6	  -20.1432	   14.3920	    5.4298	  -23.8497	
 -120.0000	2.550E-11	6.127E-12	4.846E+6	2.893E+6	  -20.1407	   14.3966	    5.4219	  -23.8626	
 -130.0000	2.534E-11	6.131E-12	4.901E+6	2.936E+6	  -20.1788	   14.3769	    5.4336	  -23.8528	
 -140.0000	2.502E-11	6.135E-12	4.950E+6	2.966E+6	  -20.1534	   14.4607	    5.4532	  -23.7522	
 -150.0000	2.472E-11	6.140E-12	5.050E+6	3.004E+6	  -20.1585	   14.4130	    5.4738	  -23.7447	
 -160.0000	2.487E-11	6.135E-12	5.062E+6	3.037E+6	  -20.0465	   14.3985	    5.4946	  -23.7127	
 -170.0000	2.461E-11	6.142E-12	5.116E+6	3.061E+6	  -20.2042	   14.3402	    5.4924	  -23.7593	
 -180.0000	2.467E-11	6.171E-12	5.121E+6	3.096E+6	  -20.1203	   14.3510	    5.4845	  -23.7676	
 -190.0000	2.663E-11	6.373E-12	4.968E+6	2.874E+6	  -20.0694	   14.3567	    5.4475	  -23.8389	
 -200.0000	2.642E-11	6.369E-12	5.003E+6	2.906E+6	  -20.0567	   14.3301	    5.4456	  -23.8620	
 -210.0000	2.432E-11	6.130E-12	5.231E+6	3.157E+6	  -20.0872	   14.2931	    5.4383	  -23.9035	
 -220.0000	2.404E-11	6.118E-12	5.274E+6	3.212E+6	  -20.0389	   14.2925	    5.4111	  -23.9598	
 -230.0000	2.363E-11	6.112E-12	5.338E+6	3.245E+6	  -20.0262	   14.2896	    5.4156	  -23.9528	
 -240.0000	2.363E-11	6.109E-12	5.358E+6	3.267E+6	  -20.0160	   14.2689	    5.4108	  -23.9775	
 -250.0000	2.360E-11	6.099E-12	5.410E+6	3.309E+6	  -19.9931	   14.2444	    5.4159	  -23.9847	
 -260.0000	2.339E-11	6.096E-12	5.440E+6	3.328E+6	  -20.0618	   14.2329	    5.4032	  -24.0190	
 -270.0000	2.331E-11	6.086E-12	5.454E+6	3.366E+6	  -20.0491	   14.2329	    5.4175	  -23.9898	
 -280.0000	2.321E-11	6.080E-12	5.485E+6	3.396E+6	  -20.0109	   14.2198	    5.2998	  -24.2784	
 -290.0000	2.316E-11	6.073E-12	5.511E+6	3.432E+6	  -20.0109	   14.2326	    5.2944	  -24.2453	
 -300.0000	2.290E-11	6.071E-12	5.553E+6	3.441E+6	  -19.9677	   14.1994	    5.2571	  -24.3477	
 -310.0000	2.296E-11	6.069E-12	5.568E+6	3.462E+6	  -19.9906	   14.2022	    5.3564	  -24.1379	
 -320.0000	2.271E-11	6.059E-12	5.616E+6	3.519E+6	  -19.9626	   14.2100	    5.4080	  -24.0258	
 -330.0000	2.259E-11	6.053E-12	5.653E+6	3.552E+6	  -19.9753	   14.1876	    5.4032	  -24.0516	
 -340.0000	2.256E-11	6.054E-12	5.694E+6	3.559E+6	  -19.9524	   14.1816	    5.3735	  -24.1174	
 -350.0000	2.251E-11	6.054E-12	5.694E+6	3.582E+6	  -20.0008	   14.1797	    5.3545	  -24.1581	
 -360.0000	2.274E-11	6.054E-12	5.681E+6	3.570E+6	  -19.9423	   14.1885	    5.3378	  -24.1866	
 -370.0000	2.285E-11	6.055E-12	5.695E+6	3.604E+6	  -19.9372	   14.1519	    5.3197	  -24.2505	
 -380.0000	2.240E-11	6.045E-12	5.769E+6	3.684E+6	  -19.9575	   14.1492	    5.2897	  -24.3152	
 -390.0000	2.218E-11	6.042E-12	5.841E+6	3.722E+6	  -20.0186	   14.1396	    5.2789	  -24.3448	
 -400.0000	2.199E-11	6.044E-12	5.857E+6	3.718E+6	  -20.0237	   14.2032	    5.2723	  -24.3130	
 -410.0000	2.203E-11	6.044E-12	5.893E+6	3.737E+6	  -19.9855	   14.1941	    5.2802	  -24.3029	
 -420.0000	2.197E-11	6.041E-12	5.923E+6	3.765E+6	  -20.0084	   14.1958	    5.2849	  -24.2917	
 -430.0000	2.195E-11	6.043E-12	5.927E+6	3.762E+6	  -19.9931	   14.1753	    5.2916	  -24.2925	
 -440.0000	2.180E-11	6.046E-12	5.949E+6	3.772E+6	  -19.9931	   14.1419	    5.2862	  -24.3278	
 -450.0000	2.180E-11	6.043E-12	5.955E+6	3.797E+6	  -20.0211	   14.1227	    5.2720	  -24.3715	
 -460.0000	2.165E-11	6.044E-12	6.015E+6	3.831E+6	  -20.0389	   14.0485	    5.2596	  -24.4508	
 -470.0000	2.184E-11	6.051E-12	6.009E+6	3.794E+6	  -19.9830	   14.0369	    5.2546	  -24.4698	
 -480.0000	2.168E-11	6.042E-12	6.057E+6	3.845E+6	  -20.0389	   13.9972	    5.2388	  -24.5317	
 -490.0000	2.161E-11	6.043E-12	6.076E+6	3.843E+6	  -19.9957	   14.0381	    5.2163	  -24.5499	
 -500.0000	2.139E-11	6.041E-12	6.132E+6	3.873E+6	  -20.0109	   14.0529	    5.1954	  -24.5837	
 -510.0000	2.141E-11	6.045E-12	6.137E+6	3.854E+6	  -19.9702	   14.0803	    5.1667	  -24.6255	
 -520.0000	2.149E-11	6.042E-12	6.108E+6	3.894E+6	  -19.9906	   14.0371	    5.1632	  -24.6639	
 -530.0000	2.158E-11	6.043E-12	6.131E+6	3.890E+6	  -19.9931	   14.0371	    5.1496	  -24.6931	
 -540.0000	2.156E-11	6.045E-12	6.149E+6	3.880E+6	  -20.0211	   14.0394	    5.1290	  -24.7105	
 -550.0000	2.156E-11	6.048E-12	6.121E+6	3.880E+6	  -20.0389	   13.9840	    5.1164	  -24.8027	
 -560.0000	2.145E-11	6.046E-12	6.158E+6	3.885E+6	  -20.0923	   14.0781	    5.1126	  -24.7434	
 -570.0000	2.157E-11	6.044E-12	6.140E+6	3.891E+6	  -20.0287	   14.0627	    5.0879	  -24.8079	
 -580.0000	2.143E-11	6.041E-12	6.158E+6	3.916E+6	  -20.1127	   14.0095	    5.0838	  -24.8550	
 -590.0000	2.140E-11	6.043E-12	6.196E+6	3.919E+6	  -20.0796	   14.0047	    5.0753	  -24.8770	
 -600.0000	2.128E-11	6.046E-12	6.179E+6	3.898E+6	  -20.0186	   14.0183	    5.0822	  -24.8520	
 -610.0000	2.158E-11	6.043E-12	6.180E+6	3.908E+6	  -19.9906	   13.9995	    5.0651	  -24.9027	
 -620.0000	2.153E-11	6.044E-12	6.183E+6	3.893E+6	  -20.0160	   13.9888	    5.0949	  -24.8458	
 -630.0000	2.146E-11	6.043E-12	6.204E+6	3.916E+6	  -20.0593	   14.0457	    5.1056	  -24.7817	
 -640.0000	2.141E-11	6.047E-12	6.171E+6	3.894E+6	  -20.0186	   14.0079	    5.1237	  -24.7699	
 -650.0000	2.154E-11	6.045E-12	6.192E+6	3.913E+6	  -19.9728	   13.9552	    5.1366	  -24.7797	
 -660.0000	2.154E-11	6.048E-12	6.185E+6	3.888E+6	  -20.0771	   13.9552	    5.1648	  -24.7193	
 -670.0000	2.146E-11	6.040E-12	6.174E+6	3.922E+6	  -20.0669	   13.9620	    5.1809	  -24.6800	
 -680.0000	2.156E-11	6.043E-12	6.167E+6	3.940E+6	  -20.0745	   13.8997	    5.1961	  -24.6923	
 -690.0000	2.141E-11	6.042E-12	6.227E+6	3.932E+6	  -20.1610	   13.9035	    5.1983	  -24.6849	
 -700.0000	2.123E-11	6.045E-12	6.248E+6	3.925E+6	  -20.1305	   13.8979	    5.1875	  -24.7118	
 -710.0000	2.142E-11	6.047E-12	6.222E+6	3.921E+6	  -20.1432	   13.8870	    5.1850	  -24.7250	
 -720.0000	2.130E-11	6.043E-12	6.238E+6	3.940E+6	  -20.0923	   13.8621	    5.1815	  -24.7503	
 -730.0000	2.113E-11	6.042E-12	6.254E+6	3.946E+6	  -20.0872	   13.8882	    5.1973	  -24.6979	
 -740.0000	2.124E-11	6.042E-12	6.213E+6	3.955E+6	  -20.0872	   13.8456	    5.1910	  -24.7419	
 -750.0000	2.122E-11	6.042E-12	6.237E+6	3.946E+6	  -20.1305	   13.8361	    5.1831	  -24.7656	
 -760.0000	2.134E-11	6.042E-12	6.233E+6	3.946E+6	  -20.0949	   13.8520	    5.1872	  -24.7454	
 -770.0000	2.128E-11	6.044E-12	6.233E+6	3.943E+6	  -20.0974	   13.8295	    5.1720	  -24.7940	
 -780.0000	2.131E-11	6.041E-12	6.206E+6	3.945E+6	  -20.1152	   13.8425	    5.1695	  -24.7900	
 -790.0000	2.142E-11	6.042E-12	6.228E+6	3.938E+6	  -20.0669	   13.8344	    5.1455	  -24.8473	
 -800.0000	2.123E-11	6.041E-12	6.223E+6	3.961E+6	  -20.1051	   13.7772	    5.1392	  -24.9019	
 -810.0000	2.121E-11	6.039E-12	6.244E+6	3.959E+6	  -20.0338	   13.8422	    5.1278	  -24.8798	
 -820.0000	2.138E-11	6.044E-12	6.217E+6	3.927E+6	  -20.0567	   13.8422	    5.1385	  -24.8567	
 -830.0000	2.129E-11	6.042E-12	6.221E+6	3.945E+6	  -20.0465	   13.7569	    5.1461	  -24.9450	
 -840.0000	2.127E-11	6.044E-12	6.231E+6	3.930E+6	  -19.9601	   13.7675	    5.1436	  -24.8994	
 -850.0000	2.134E-11	6.041E-12	6.212E+6	3.932E+6	  -20.0211	   13.7458	    5.1404	  -24.9217	
 -860.0000	2.147E-11	6.044E-12	6.234E+6	3.938E+6	  -19.9906	   13.7175	    5.1227	  -24.9801	
 -870.0000	2.136E-11	6.045E-12	6.200E+6	3.936E+6	  -19.9855	   13.7435	    5.0968	  -25.0174	
 -880.0000	2.145E-11	6.043E-12	6.223E+6	3.932E+6	  -20.0872	   13.7553	    5.0876	  -25.0288	
 -890.0000	2.139E-11	6.045E-12	6.195E+6	3.932E+6	  -20.0211	   13.7498	    5.0787	  -25.0519	
 -900.0000	2.123E-11	6.041E-12	6.228E+6	3.970E+6	  -20.0593	   13.7387	    5.0519	  -25.1184	
 -910.0000	2.114E-11	6.043E-12	6.263E+6	3.960E+6	  -20.0872	   13.7197	    5.0487	  -25.1388	
 -920.0000	2.133E-11	6.044E-12	6.224E+6	3.949E+6	  -19.9931	   13.7432	    5.0247	  -25.1746	
 -930.0000	2.127E-11	6.044E-12	6.224E+6	3.949E+6	  -20.0084	   13.7206	    5.0199	  -25.2012	
 -940.0000	2.137E-11	6.048E-12	6.255E+6	3.939E+6	  -20.0160	   13.6725	    5.0174	  -25.2411	
 -950.0000	2.134E-11	6.044E-12	6.207E+6	3.946E+6	  -20.0618	   13.6725	    5.0196	  -25.2363	
 -960.0000	2.115E-11	6.046E-12	6.238E+6	3.944E+6	  -20.0415	   13.7582	    5.0155	  -25.1840	
 -970.0000	2.153E-11	6.049E-12	6.190E+6	3.911E+6	  -19.9855	   13.6955	    5.0253	  -25.2073	
 -980.0000	2.145E-11	6.048E-12	6.214E+6	3.923E+6	  -19.9753	   13.6691	    5.0130	  -25.2533	
 -990.0000	2.134E-11	6.044E-12	6.208E+6	3.946E+6	  -20.0593	   13.6801	    5.0155	  -25.2398	
-1000.0000	2.144E-11	6.047E-12	6.209E+6	3.922E+6	  -19.9982	   13.6283	    5.0035	  -25.3033	
